,Affiliation,Year,Q1,Q2,Q3,Q4,Top10
0,МГУ,2008,952,640,1123,1875,481
1,Курчатовский институт,2008,138,92,93,229,62
2,УГАТУ,2008,21,15,43,54,13
3,СФУ,2008,31,33,55,78,16
4,ЮУрГУ,2008,3,2,30,42,2
5,ТГУ,2008,36,35,72,159,19
6,ВятГУ,2008,1,0,5,16,0
7,МФТИ,2008,53,46,80,100,27
8,НГУ,2008,109,97,152,149,57
9,ВлГУ,2008,5,1,14,45,3
10,ЮФУ,2008,49,36,106,168,22
11,ПНИПУ,2008,1,2,4,26,0
12,ЛИТ ОИЯИ,2008,400,205,244,272,190
13,ИПХФ РАН,2008,74,61,157,200,42
14,СПбГУ,2008,304,206,265,507,153
15,КазНЦ РАН,2008,0,4,8,17,0
16,ОИВТ РАН,2008,43,37,80,109,25
17,ИПРИМ РАН,2008,0,0,2,1,0
18,ННГУ,2008,70,51,116,180,28
19,ИВМ РАН,2008,6,1,4,32,3
20,СПбГПУ,2008,80,59,107,169,31
21,ИТПМ СО РАН,2008,14,22,24,60,9
22,ИДСТУ СО РАН,2008,3,1,4,19,2
23,МИЭТ,2008,4,7,29,45,2
24,ИВМиМГ СО РАН,2008,8,9,15,36,3
25,ТПУ,2008,25,36,55,106,15
26,НИЦЭМ им. Н.Ф. Гамалеи,2008,6,6,4,25,2
