,Affiliation,Year,Cpu,Cores,Nodes,Memory,Nets,Linpack,Peak,GRPperCapita,Num of Systems,Q1,Q2,Q3,Q4,Top10
0,ИВМиМГ СО РАН,2014,656.0,5088.0,328.0,9437.184000000001,20.0,60.13,115.7,332683.2,2,8,4,36,53,2
1,ИДСТУ СО РАН,2014,220.0,3520.0,110.0,7040.0,10.0,25.12,33.7,379171.6,1,2,5,17,15,0
2,ИММ УРО РАН,2014,92.0,6184.0,46.0,4521.984,20.0,109.88,225.85,383847.2,1,7,8,55,82,3
3,ИПА РАН,2014,80.0,1680.0,40.0,2560.0,56.25,65.53,106.91,515556.9,1,0,1,5,5,0
4,ИПМ им. М.В.Келдыша РАН,2014,128.0,3456.0,64.0,6144.0,32.0,41.14,107.9,1051559.6,1,17,24,50,82,1
5,Курчатовский институт,2014,3600.0,18080.0,512.0,6769.664000000001,41.0,195.89,291.82,1051559.6,3,234,132,211,174,153
6,МГУ,2014,15976.0,102060.0,7088.0,106236.89600000001,78.75,1292.8799999999999,2211.46,1051559.6,4,1647,916,1471,1805,972
7,МИСиС,2014,128.0,1024.0,64.0,2816.0,56.25,18.09,21.25,1051559.6,1,238,86,182,269,166
8,МФТИ,2014,448.0,3584.0,224.0,14336.0,10.0,70.12,83.15,381892.9,1,538,289,301,305,369
9,ННГУ,2014,360.0,31360.0,180.0,12451.84,66.25,301.52000000000004,548.03,308152.1,2,231,164,234,204,132
10,СВФУ,2014,320.0,1920.0,160.0,7864.32,10.0,20.21,23.5,688540.1,1,38,34,56,38,16
11,СПбГУ,2014,48.0,1536.0,24.0,2359.2960000000003,10.0,17.66,40.14,515556.9,1,642,464,614,714,331
12,ТГУ,2014,1280.0,5424.0,640.0,12091.392,10.0,47.88,62.35,401259.7,1,293,172,393,509,181
13,ФГУП ЦНИИ Крылова,2014,290.0,3610.0,145.0,9280.0,10.0,32.04,56.15,515556.9,1,3,2,10,16,3
14,ЮУрГУ,2014,2240.0,36864.0,384.0,9437.184000000001,70.0,388.54999999999995,591.28,284486.7,2,19,19,60,105,14
