,Affiliation,Year,Cpu,Cores,Nodes,Memory,Nets,Linpack,Peak,GRPperCapita,Num of Systems,Q1,Q2,Q3,Q4,Top10
0,ВятГУ,2011,480.0,1920.0,240.0,983.04,20.0,13.96,17.89,146451.8,1,0,0,3,17,0
1,ИММ УРО РАН,2011,416.0,1664.0,208.0,3584.0,20.0,14.62,19.5,300068.8,1,0,3,5,92,0
2,ИПМ им. М.В.Келдыша РАН,2011,128.0,3456.0,64.0,6144.0,32.0,41.14,107.9,859355.1,1,18,13,35,67,8
3,Курчатовский институт,2011,3440.0,13760.0,432.0,4849.664000000001,40.0,126.28999999999999,157.92000000000002,859355.1,2,193,120,143,206,101
4,МГУ,2011,15144.0,86028.0,6556.0,89656.288,32.5,757.2700000000001,1487.6699999999998,859355.1,4,1195,715,1242,2145,642
5,НГУ,2011,532.0,2752.0,262.0,7299.376,1.0,17.32,29.28,223623.0,1,208,180,306,288,122
6,ННГУ,2011,32.0,576.0,16.0,384.0,10.0,10.01,17.57,233405.3,1,55,56,108,178,29
7,СВФУ,2011,346.0,2622.0,173.0,8503.296,20.0,29.01,45.489999999999995,508674.4,2,6,7,8,10,2
8,СГАУ,2011,224.0,896.0,112.0,1344.0,10.0,8.54,10.0,259480.6,1,17,20,31,74,10
9,СПбГУ,2011,168.0,2256.0,84.0,8257.536,20.0,25.060000000000002,48.75,424643.7,2,361,233,310,600,200
10,СФУ,2011,452.0,1808.0,226.0,0.0,2.5,13.06,16.87,413172.4,1,45,46,117,127,20
11,ТГУ,2011,1280.0,5424.0,640.0,12091.392000000002,10.0,42.53,62.35,317037.4,1,53,41,85,211,37
12,ТюмГУ,2011,164.0,984.0,82.0,2015.232,10.0,9.21,11.53,1198186.0,1,1,2,3,9,0
13,УГАТУ,2011,532.0,2128.0,266.0,2179.072,2.5,15.33,19.86,231314.0,1,16,7,49,69,10
14,ЮУрГУ,2011,1804.0,10160.0,166.0,1359.872,62.5,112.71,133.58,222664.2,2,8,5,24,70,1
15,ЮФУ,2011,518.0,2072.0,131.0,4120.0,20.0,14.51,18.84,179470.3,1,62,63,142,167,28
