,Affiliation,Year,Cpu,Cores,Nodes,Memory,Nets,Linpack,Peak,GRPperCapita,Num of Systems,Q1,Q2,Q3,Q4,Top10
0,ИВМиМГ СО РАН,2018,70.0,2016.0,43.0,5248.0,100.0,56.95,91.24,0.0,1,12,22,38,42,4
1,ИДСТУ СО РАН,2018,240.0,4080.0,120.0,11520.0,10.0,77.51,90.24,0.0,1,14,20,25,36,6
2,ИММ УРО РАН,2018,92.0,6184.0,46.0,4521.984,20.0,109.88,225.85,0.0,1,15,31,80,50,5
3,ИПА РАН,2018,80.0,1680.0,40.0,2560.0,56.25,85.34,106.91,0.0,1,8,4,15,1,2
4,Курчатовский институт,2018,4302.0,44794.0,883.0,127624.0,180.375,1126.78,1720.48,0.0,4,437,266,275,237,269
5,ЛИТ ОИЯИ,2018,111.0,6352.0,66.0,12592.0,210.0,323.98,529.82,0.0,3,629,238,199,395,487
6,МГУ,2018,14118.0,146852.0,7895.0,205868.0,66.25,3379.9,6647.0,0.0,2,2199,1515,1924,1609,1152
7,МФТИ,2018,452.0,4560.0,226.0,15360.0,113.125,126.7,170.83,0.0,2,790,446,470,465,520
8,ННГУ,2018,360.0,30760.0,180.0,11796.480000000003,10.0,289.5,573.0,0.0,1,227,207,255,228,90
9,ОИВТ РАН,2018,64.0,1600.0,32.0,1024.0,10.0,52.24,90.75,0.0,1,89,139,149,177,38
10,СПбГПУ,2018,1756.0,37832.0,1022.0,53184.0,112.5,907.5400000000001,1306.2,0.0,2,372,200,403,478,259
11,Сколтех,2018,176.0,11976.0,84.0,22272.0,206.25,569.51,1139.22,0.0,2,367,164,99,61,234
12,ТГУ,2018,1330.0,6384.0,665.0,22768.0,10.0,78.29,106.82,0.0,1,610,356,403,381,391
13,ЮУрГУ,2018,2240.0,36864.0,384.0,9437.184000000001,70.0,388.54999999999995,591.28,0.0,2,146,84,141,208,83
