,Affiliation,Year,Cpu,Cores,Nodes,Memory,Nets,Linpack,Peak,GRPperCapita,Num of Systems
0,ИВМиМГ СО РАН,2016,80.0,2400.0,40.0,3932.16,10.0,38.21,85.69,391438.4,1
1,ИММ УРО РАН,2016,92.0,6184.0,46.0,4521.984,20.0,109.88,225.85,456860.2,1
2,ИПА РАН,2016,80.0,1680.0,40.0,2560.0,56.25,85.34,106.91,712303.6,1
3,ИПМ им. М.В.Келдыша РАН,2016,128.0,3456.0,64.0,6144.0,32.0,41.14,107.9,1157373.0,1
4,Курчатовский институт,2016,3806.0,35770.0,615.0,70400.0,133.5,926.34,1359.1000000000001,4629492.0,1
5,МГУ,2016,15144.0,130156.0,8304.0,192056.288,68.75,3051.2200000000003,4722.51,3472119.0,1
6,МФТИ,2016,448.0,3584.0,224.0,14336.0,10.0,70.12,83.15,483683.3,1
7,ННГУ,2016,360.0,30760.0,180.0,11796.480000000003,10.0,289.5,573.0,363327.8,1
8,СПбГПУ,2016,1680.0,35296.0,968.0,50432.0,112.5,828.61,1088.13,1424607.2,1
9,ТГУ,2016,1330.0,6384.0,665.0,22768.0,10.0,78.29,106.82,451823.9,1
10,ФГУП ЦНИИ Крылова,2016,290.0,3610.0,145.0,9280.0,10.0,32.04,56.15,712303.6,1
11,ЮУрГУ,2016,2240.0,36864.0,384.0,9437.184000000001,70.0,388.54999999999995,591.28,720096.2,1
