,Affiliation,Year,Q1,Q2,Q3,Q4,Top10
0,МГУ,2014,1647,916,1471,1805,972
1,ЮУрГУ,2014,19,19,60,105,14
2,ННГУ,2014,231,164,234,204,132
3,ИММ УРО РАН,2014,7,8,55,82,3
4,Курчатовский институт,2014,234,132,211,174,153
5,МФТИ,2014,538,289,301,305,369
6,ИПА РАН,2014,0,1,5,5,0
7,ТГУ,2014,293,172,393,509,181
8,ИПМ им. М.В.Келдыша РАН,2014,17,24,50,82,1
9,ИВМиМГ СО РАН,2014,8,4,36,53,2
10,ФГУП ЦНИИ Крылова,2014,3,2,10,16,3
11,ИДСТУ СО РАН,2014,2,5,17,15,0
12,СВФУ,2014,38,34,56,38,16
13,МИСиС,2014,238,86,182,269,166
14,СПбГУ,2014,642,464,614,714,331
