N,Место,Кол-во CPU/ядер,Архитектура(тип процессора / сеть),Производительность Linpack Пиковая,Разработчик
11,Москва ФГБУН Межведомственный суперкомпьютерный центр Российская академия наук 2009 г.,2370/13004,узлов: 74 (2xXeon X5670 2.93 GHz 12.288 GB RAM) узлов: 192 (2xXeon 5365 3 GHz 8.192 GB RAM) узлов: 990 (2xXeon E5450 3 GHz 8.192 GB RAM) узлов: 19 (2xXeon X5675 [Acc: 8x Tesla M2090] 3 GHz 196.608 GB RAM) сеть: Infiniband 4x DDR/2xGigabit Ethernet/Gigabit Ethernet,119.93 227.84,Hewlett-Packard
12,Екатеринбург Вычислительный центр ИММ УрО РАН 2008 г.,92/6184,узлов: 20 (2xXeon X5675 [Acc: 8x Tesla M2050] 3.06 GHz 49.152 GB RAM) узлов: 10 (2xXeon X5675 [Acc: 8x Tesla M2090] 3.06 GHz 196.608 GB RAM) узлов: 16 (2xXeon E5-2660 [Acc: 8x Tesla M2090] 2.2 GHz 98.304 GB RAM) сеть: Infiniband 4x DDR/Gigabit Ethernet/Gigabit Ethernet,109.88 225.85,"Hewlett Packard, Открытые технологии"
13,Москва РНЦ Курчатовский институт 2010 г.,2576/10304,узлы: (Xeon E5472 3 GHz) сеть: Infiniband 4x DDR/Gigabit Ethernet/Gigabit Ethernet,101.21 123.65,Hewlett-Packard
14,Челябинск Южно-Уральский государственный университет 2010 г.,1472/8832,"СКИФ ряд 4 Xeon X5680 3.33 GHz Трехмерный тор 60 Gbits, макс. задержка 1 мкс, InfiniBand QDR 40 Gbits",100.35 117.64,Группа компаний РСК
15,Москва Т-Нано 2013 г.,640/5564,узлов: 70 (2xXeon E5-2670 2.6 GHz 128 GB RAM) узлов: 25 (2xXeon E5-2670 2.6 GHz 64 GB RAM) узлов: 50 (2xXeon E5-2680v2 2.8 GHz 128 GB RAM) узлов: 61 (2xXeon E5-2670v2 2.5 GHz 128 GB RAM) узлов: 114 (2xXeon E5-2650v2 2.6 GHz 128 GB RAM) сеть: Infiniband FDR/Gigabit Ethernet/Gigabit Ethernet,93.14 116.36,Т-Платформы
16,Санкт-Петербург Институт прикладной астрономии РАН 2014 г.,80/1680,узлов: 32 (2xXeon E5-2670 [Acc: 2x Tesla K20] 2.6 GHz 64 GB RAM) узлов: 8 (2xXeon E5-2670 [Acc: 2x Tesla K20] 2.6 GHz 64 GB RAM) сеть: Infiniband FDR/Gigabit Ethernet/Gigabit Ethernet,85.34 106.91,Т-Платформы
17,не указан IT Services Provider 2012 г.,956/7648,узлы: (Xeon E5-2670 2.6 GHz) сеть: Gigabit Ethernet,83.81 159.08,Hewlett-Packard
18,"Москва ООО ""Технологическая компания Шлюмберже"" 2015 г.",104/2472,узлов: 16 (2xXeon X5560 [Acc: 1x Tesla S2050] 2.8 GHz 24 GB RAM) узлов: 20 (2xXeon E5-2620 [Acc: 3x Tesla K20X] 2 GHz 64 GB RAM) узлов: 16 (2xXeon E5-2670v2 [Acc: 3x Tesla K40] 2.5 GHz 96 GB RAM) сеть: Infiniband FDR/Gigabit Ethernet/Gigabit Ethernet,78.12 150.24,Hewlett Packard
19,Долгопрудный Лаборатория iScalare Московский физико-технический институт государственный университет 2012 г.,448/3584,узлов: 224 (2xXeon E5-2690 2.9 GHz 64 GB RAM) сеть: Infiniband QDR/Gigabit Ethernet,70.12 83.15,Группа компаний РСК
20,"Москва НИЦ ""Курчатовский институт"" 2012 г.",160/4320,узлов: 76 (2xXeon X5650 [Acc: 3xTesla M2070] 2.67 GHz 24 GB RAM) узлов: 4 (2xXeon X5670 [Acc: 3x Tesla M2050] 2.93 GHz 24 GB RAM) сеть: Gigabit Ethernet/Infiniband QDR/Fast Ethernet,69.60 133.90,Hewlett-Packard
21,не указан Web Content Provider,2004/12024,узлов: 1002 (2xXeon E5645 2.4 GHz) сеть: Gigabit Ethernet,59.90 115.43,Hewlett-Packard
22,Москва Межведомственный Суперкомпьютерный Центр Россйиской Академии Наук 2014 г.,64/3904,узлов: 64 (Acc: Xeon Phi 7120D 1.238 GHz 2 GB RAM) сеть: Infiniband FDR/Infiniband FDR/Gigabit Ethernet,53.51 77.33,Группа компаний РСК
23,Москва Государственный сектор 2011 г.,1462/8772,узлы: (Xeon X5630 2.53 GHz) сеть: Gigabit Ethernet,49.43 88.77,IBM
24,"Томск Межрегиональный супервычислительный центр ТГУ ""Томский государственный университет 2011 г.",1280/5424,узлов: 282 (2xXeon 5150 2.66 GHz 8.192 GB RAM) узлов: 190 (2xXeon 5670 2.93 GHz 24.576 GB RAM) узлов: 40 (2xXeon 5670 2.93 GHz 49.152 GB RAM) узлов: 128 (2xXeon 5670 2.93 GHz 24.576 GB RAM) сеть: Infiniband QDR/Gigabit Ethernet/Gigabit Ethernet,47.88 62.35,Т-Платформы
25,Москва Московский государственный университет имени М.В.Ломоносова 2008 г.,1250/5000,узлов: 529 (2xXeon E5472 3 GHz 8.192 GB RAM) узлов: 64 (2xXeon E5472 3 GHz 8.192 GB RAM) узлов: 32 (2xXeon E5472 3 GHz 16.384 GB RAM) узлов: 8 (2xXeon E5472 3 GHz 32.768 GB RAM) сеть: InfiniBand/Gigabit Ethernet/СКИФ-ServNet + IPMI,47.32 60.00,СКИФ
26,Москва Государственный сектор 2011 г.,1346/8076,узлы: (Xeon X5630 2.53 GHz) сеть: Gigabit Ethernet,45.51 81.73,IBM
27,Москва Банковский сектор 2011 г.,1320/7920,узлы: (Xeon X5630 2.53 GHz) сеть: Gigabit Ethernet,44.63 80.15,IBM
28,Москва Банковский сектор 2011 г.,1320/7920,узлы: (Xeon X5630 2.53 GHz) сеть: Gigabit Ethernet,44.63 80.15,IBM
29,Москва Промышленность 2014 г.,230/2300,узлов: 115 (2xXeon E5-2680v2 2.8 GHz 128 GB RAM) сеть: Infiniband FDR/Gigabit Ethernet/Gigabit Ethernet,41.63 51.52,IBM
30,Москва ИПМ им. М.В.Келдыша РАН 2010 г.,128/3456,"узлов: 64 (2xXeon X5670 [Acc: 3xTesla C2050] 2.93 GHz 96 GB RAM) сеть: ""МВС-экспресс""/InfiniBand/Gigabit Ethernet",41.14 107.90,"ИПМ им. М.В.Келдыша РАН, ООО НПО ""Роста"", ФГУП ""НИИ ""КВАНТ"""
31,Пермь Промышленность 2014 г.,340/2944,узлов: 98 (2xXeon E5-2680 2.7 GHz 32 GB RAM) узлов: 44 (2xXeon E5-2680 2.7 GHz 32 GB RAM) узлов: 4 (2xXeon E5-2680 [Acc: 2x Tesla M2090] 2.7 GHz 64 GB RAM) узлов: 24 (2xXeon E5-2690v2 3 GHz 64 GB RAM) сеть: Infiniband QDR/Gigabit Ethernet/Gigabit Ethernet,40.77 50.46,IBM
32,Новосибирск ССКЦ ИВМиМГ СО РАН 2011 г.,80/2400,узлов: 40 (2xXeon X5670 [Acc: 3xTesla M2090] 3.07 GHz 98.304 GB RAM) сеть: Infiniband QDR/Gigabit Ethernet/Gigabit Ethernet,38.21 85.69,"Hewlett-Packard, Нонолет"
33,Москва Банковский сектор 2009 г.,1650/6600,узлы: (Xeon E5540 2.53 GHz) сеть: Gigabit Ethernet,38.10 66.79,IBM
34,Москва Classified 2010 г.,1624/6496,узлы: (Xeon E5540 2.53 GHz) сеть: Gigabit Ethernet,37.50 65.74,IBM
35,Нижний Новгород ОАО ЦНИИ Буревестник 2012 г.,512/3520,узлов: 240 (2xXeon 5675 3.06 GHz 48 GB RAM) узлов: 16 (2xXeon L5630 [Acc: 2x Tesla X2070] 2.13 GHz 24 GB RAM) сеть: Infiniband QDR/Gigabit Ethernet/Gigabit Ethernet,36.88 57.62,Т-Платформы
36,Москва IT-Services 2010 г.,1586/6344,узлы: (Xeon E5540 2.53 GHz) сеть: Gigabit Ethernet,36.62 64.20,IBM
37,Москва PetroTrace Global 2015 г.,320/2432,узлов: 64 (2xXeon E5-2680 2.7 GHz 256 GB RAM) узлов: 32 (2xXeon X5670 2.93 GHz 96 GB RAM) узлов: 32 (2xXeon E5-2680v2 2.8 GHz 256 GB RAM) узлов: 32 (2xXeon E5-2643v3 3.4 GHz 384 GB RAM) сеть: 10 Gigabit Ethernet/10 Gigabit Ethernet/10 Gigabit Ethernet,35.67 61.84,Hewlett-Packard
38,Казань ЗАО Градиент 2015 г.,12/1128,узлов: 6 (2xXeon E5-2643v2 [Acc: 4x AMD FirePro W9100] 3.5 GHz 256 GB RAM) сеть: Infiniband FDR/Infiniband FDR/Gigabit Ethernet,35.61 64.90,"ООО Градиент технолоджи, НИИСИ РАН, НТФ Байко"
39,"Нижегородская обл., Дивеевский р-н, пос. Сатис ООО ""ЦКО"" 2014 г.",168/1680,узлов: 84 (2xXeon E5-2680v2 2.8 GHz 64 GB RAM) сеть: Gigabit Ethernet/Infiniband FDR/Fast Ethernet,35.31 37.63,"ООО ""ЦКО"""
40,Алматы Национальная научная лаборатория коллективного пользования информационных и космических технологий КазНТУ им. К.И.Сатпаева 2014 г.,44/2904,узлов: 22 (4xXeon E5-2620v2 [Acc: 2x Xeon Phi 5110P] 2.1 GHz 96 GB RAM) сеть: Infiniband QDR/10 Gigabit Ethernet/Gigabit Ethernet,34.71 48.32,Fujitsu
41,Москва Государственный сектор 2009 г.,1414/5656,узлы: (Xeon E5540 2.53 GHz) сеть: Gigabit Ethernet,32.65 57.24,IBM
42,"Москва ФГБУ ""ГВЦ Росгидромета"" 2012 г.",192/1536,узлов: 96 (2xXeon E5-2690 2.9 GHz 65.536 GB RAM) сеть: Infiniband QDR/Gigabit Ethernet/IPMI,32.09 35.64,Группа компаний РСК
43,"Санкт-Петербург ФГУП ""Крыловский государственный научный центр"" 2014 г.",290/3610,узлов: 5 (2xXeon E5-2697v2 [Acc: 2x Tesla K20] 2.7 GHz 64 GB RAM) узлов: 40 (2xXeon E5-2697v2 2.7 GHz 64 GB RAM) узлов: 100 (2xOpteron 6174 2.2 GHz 64 GB RAM) сеть: Infiniband QDR/Gigabit Ethernet/Gigabit Ethernet,32.04 56.15,Т-Платформы
44,Москва Государственный сектор 2010 г.,1374/5496,узлы: (Xeon E5540 2.53 GHz) сеть: Gigabit Ethernet,31.72 55.62,IBM
45,Москва Service Provider 2013 г.,240/5520,узлов: 60 (2xXeon E5-2660 [Acc: 2x Tesla M2090] 2.2 GHz 65.536 GB RAM) узлов: 60 (2xXeon E5-2660 [Acc: 2x Tesla M2070Q] 2.2 GHz 65.536 GB RAM) сеть: Gigabit Ethernet/Gigabit Ethernet/Gigabit Ethernet,31.48 157.39,Hewlett Packard
46,"Москва Национальный исследовательский технологический университет ""МИСиС"" 2014 г.",200/1600,узлов: 56 (2xXeon E5-2670 2.6 GHz 32 GB RAM) узлов: 8 (2xXeon E5-2670 2.6 GHz 128 GB RAM) узлов: 32 (2xXeon E5-2650v2 2.6 GHz 32 GB RAM) узлов: 4 (2xXeon E5-2650v2 2.6 GHz 128 GB RAM) сеть: Infiniband FDR/Gigabit Ethernet/Gigabit Ethernet,28.14 33.28,Hewlett-Packard
47,Москва Государственный сектор 2010 г.,1216/4864,узлы: (Xeon E5540 2.53 GHz) сеть: Gigabit Ethernet,28.00 49.22,IBM
48,Москва Государственный сектор 2010 г.,1096/4384,узлы: (Xeon X5550 2.666 GHz) сеть: Gigabit Ethernet,26.70 46.75,IBM
49,Иркутск ИДСТУ СО РАН 2012 г.,220/3520,узлов: 110 (2xOpteron 6276 2.3 GHz 64 GB RAM) сеть: Infiniband QDR/Gigabit Ethernet/Gigabit Ethernet,25.12 33.70,Т-Платформы
50,Москва РНЦ Курчатовский институт 2008 г.,864/3456,узлов: 32 (2xXeon 5365 3 GHz 32.768 GB RAM) узлов: 64 (2xXeon 5365 3 GHz 16.384 GB RAM) узлов: 336 (2xXeon 5345 2.333 GHz 8.192 GB RAM) сеть: Infiniband 4x DDR/Gigabit Ethernet/Gigabit Ethernet,25.08 34.27,Hewlett-Packard
