N,Место,Кол-во CPU/ядер,Архитектура(тип процессора / сеть),Производительность Linpack Пиковая,Разработчик
1,Москва Московский государственный университет имени М.В.Ломоносова 2014 г.,1280/37120,узлов: 1280 (Xeon E5-2697v3 [Acc: Tesla K40M] 2.6 GHz 64 GB RAM) сеть: Infiniband FDR/Infiniband FDR/Gigabit Ethernet,1849.00 2575.87,Т-Платформы
2,Москва Московский государственный университет имени М.В.Ломоносова 2012 г.,12422/82468,узлов: 4160 (2xXeon 5570 2.93 GHz 12 GB RAM) узлов: 260 (2xXeon 5570 2.93 GHz 24 GB RAM) узлов: 640 (2xXeon 5670 2.93 GHz 24 GB RAM) узлов: 40 (2xXeon 5670 2.93 GHz 48 GB RAM) узлов: 30 (2xPowerXCell 8i 3.2 GHz 16 GB RAM) узлов: 777 (2xXeon E5630 [Acc: 2xTesla X2070] 2.53 GHz 12 GB RAM) узлов: 288 (2xXeon E5630 [Acc: 2xTesla X2070] 2.53 GHz 24 GB RAM) узлов: 4 (4xXeon E7650 2.26 GHz 512 GB RAM) сеть: Infiniband QDR/Gigabit Ethernet/Gigabit Ethernet,901.90 1700.21,Т-Платформы
3,Санкт-Петербург Суперкомпьютерный центр Санкт-Петербургский политехнический университет 2014 г.,1424/19936,узлов: 612 (2xXeon E5-2697v3 2.6 GHz 64 GB RAM) узлов: 56 (2xXeon E5-2697v3 [Acc: 2xTesla K40] 2.6 GHz 64 GB RAM) узлов: 28 (2xXeon E5-2697v3 2.6 GHz 128 GB RAM) узлов: 8 (2xXeon E5-2697v3 [Acc: NVIDIA K1] 2.6 GHz 128 GB RAM) узлов: 8 (2xXeon E5-2697v3 [Acc: NVIDIA K2] 2.6 GHz 128 GB RAM) сеть: Infiniband FDR/Gigabit Ethernet/Gigabit Ethernet,658.11 829.34,Группа компаний РСК
4,Москва ФГБУН Межведомственный суперкомпьютерный центр Российская академия наук 2012 г.,416/28704,узлов: 208 (2xXeon E5-2690 [Acc: 2x Xeon Phi 7110X] 2.9 GHz 80 GB RAM) сеть: Infiniband FDR/Gigabit Ethernet/Fast Ethernet,375.70 523.83,Группа компаний РСК
5,"Москва Центр обработки данных НИЦ ""Курчатовский институт"" 2015 г.",774/11082,узлов: 364 (2xXeon E5-2680v3 2.5 GHz 128 GB RAM) узлов: 23 (2xXeon E5-2680v3 [Acc: 3x Tesla K80] 2.5 GHz 128 GB RAM) сеть: Infiniband FDR/Gigabit Ethernet/Gigabit Ethernet,374.13 500.55,"SuperMicro, Борлас"
6,Нижний Новгород Нижегородский государственный университет им. Н.И. Лобачевского 2014 г.,360/30760,узлов: 100 (2xXeon E5-2660 [Acc: 3x Kepler K20X] 2.2 GHz 65.536 GB RAM) узлов: 50 (2xXeon E5-2660 [Acc: 2x Fermi 2090] 2.2 GHz 65.536 GB RAM) узлов: 10 (2xXeon E5-2660 [Acc: 2x Phi 5110P] 2.2 GHz 65.536 GB RAM) узлов: 10 (2xXeon E5-2660 [Acc: 3x Fermi 2090] 2.2 GHz 65.536 GB RAM) узлов: 10 (2xXeon E5-2660 2.2 GHz 65.536 GB RAM) сеть: Infiniband QDR/Infiniband QDR/Gigabit Ethernet,289.50 573.00,Ниагара Компьютерс
7,Челябинск Южно-Уральский государственный университет 2013 г.,768/28032,узлов: 384 (2xXeon X5680 [Acc: Xeon Phi SE10X] 3.33 GHz 24.576 GB RAM) сеть: Infiniband QDR/Infiniband QDR/Gigabit Ethernet,288.20 473.64,Группа компаний РСК
8,не указан IT Services Provider 2014 г.,1318/13180,узлы: (Xeon E5-2680v2 2.8 GHz) сеть: 10 Gigabit Ethernet,189.29 295.23,Hewlett-Packard
9,Санкт-Петербург Суперкомпьютерный центр Санкт-Петербургский политехнический университет 2014 г.,256/15360,узлов: 256 (Acc: Xeon Phi 5120D 1.053 GHz 8 GB RAM) сеть: Infiniband FDR/Infiniband FDR/Gigabit Ethernet,170.50 258.79,Группа компаний РСК
10,не указан IT Services Provider 2012 г.,2254/18032,узлы: (Xeon E5-2660 2.2 GHz) сеть: Gigabit Ethernet,160.90 317.40,Hewlett-Packard
