N,Место,Кол-во CPU/ядер,Архитектура(тип процессора / сеть),Производительность Linpack Пиковая,Разработчик
32,"Новосибирск ССКЦ ИВМиМГ, ИЦиГ СО РАН 2009 г.",576/2688,узлов: 64 (2xXeon E5450 3 GHz 16.384 GB RAM) узлов: 128 (2xXeon E5540 2.53 GHz 16.384 GB RAM) узлов: 96 (2xXeon X5670 2.93 GHz 24.576 GB RAM) сеть: Infiniband QDR/Gigabit Ethernet/Gigabit Ethernet,12.55 30.01,Hewlett-Packard Нонолет
33,Челябинск Южно-Уральский государственный университет 2008 г.,332/1328,узлов: 166 (2xXeon E5472 3 GHz 8.192 GB RAM) сеть: InfiniBand/Gigabit Ethernet/СКИФ-ServNet,12.36 15.94,Т-Платформы
34,Москва Московский государственный университет имени М.В.Ломоносова 2011 г.,32/864,узлов: 16 (2xXeon X5650 [Acc: 3xTesla M2050] 2.666 GHz 48 GB RAM) сеть: Infiniband QDR/Gigabit Ethernet/Gigabit Ethernet,11.98 26.76,Hewlett-Packard
35,Казань Казанский научный центр Российская академия наук 2010 г.,320/1280,узлов: 160 (2xXeon 5365 3 GHz 8.192 GB RAM) сеть: Infiniband 4x DDR/2xGigabit Ethernet/Gigabit Ethernet,10.75 15.36,Hewlett-Packard
36,Рыбинск НПО Сатурн 2008 г.,336/1344,узлов: 168 (2xXeon 5355 2.66 GHz 8.192 GB RAM) узлов: 3 (2xXeon 7350 2.86 GHz 131.072 GB RAM) сеть: Infiniband 4x DDR/Gigabit Ethernet/Gigabit Ethernet,10.60 14.30,IBM/Крок
37,Москва Росгидромет 2008 г.,832/1664,узлы: (Itanium 2 1.66 GHz) сеть: NUMALink,10.29 11.05,SGI
38,IT Provider 2008 г.,610/2440,узлы: (Xeon 5320 1.866 GHz) сеть: Gigabit Ethernet,10.01 18.15,Hewlett-Packard
39,Нижний Новгород Кафедра математического обеспечения ЭВМ Нижегородский государственный университет им. Н.И. Лобачевского2011 г.,32/576,узлов: 16 (2xXeon L5630 [Acc: 2xTesla X2070] 2.13 GHz 24 GB RAM) сеть: Infiniband QDR/Gigabit Ethernet/Gigabit Ethernet,10.01 17.57,Т-Платформы
40,Тюмень Главный вычислительный центр Тюменский государственный университет 2010 г.,164/984,узлов: 50 (2xXeon 5670 2.93 GHz 24.576 GB RAM) узлов: 32 (2xXeon 5670 2.93 GHz 24.576 GB RAM) сеть: Infiniband QDR/Gigabit Ethernet/Gigabit Ethernet,9.21 11.53,Т-Платформы
41,"Алматы НИЛ ""Информационных технологий"" Казахстанско-Британский Технический Университет 2009 г.",224/896,узлов: 112 (2xXeon X5570 2.93 GHz 12.288 GB RAM) узлов: 1 (8xXeon E7450 2.4 GHz 135.168 GB RAM) узлов: 2 (2xXeon X5570 2.93 GHz 8.192 GB RAM) узлов: 2 (2xXeon X5570 2.93 GHz 8.192 GB RAM) сеть: InfiniBand/Gigabit Ethernet/Gigabit Ethernet,9.06 10.50,IBM
42,Якутск Центр прикладных вычислительных технологий Северо-Восточный Федеральный Университет имени М.К.Аммосова 2011 г.,26/702,узлов: 13 (2xXeon X5675 [Acc: 3xTesla M2070] 3.06 GHz 49.152 GB RAM) сеть: Infiniband QDR/Gigabit Ethernet/Fast Ethernet,8.80 21.99,"Hewlett-Packard, INLINE Group"
43,Самара Управление ИТ Самарский государственный аэрокосмический университет имени академика С.П.Королева (национальный исследовательский университет) 2009 г.,224/896,узлов: 112 (2xXeon X5560 2.8 GHz 12 GB RAM) сеть: Infiniband QDR/Gigabit Ethernet/Gigabit Ethernet,8.54 10.00,IBM
44,Санкт-Петербург Ресурсный центр Вычислительный центр СПбГУ ФГБОУ ВПО Санкт-Петербургский государственный университет 2011 г.,120/720,узлов: 32 (2xXeon 5670 2.93 GHz 98.304 GB RAM) узлов: 28 (2xXeon 5675 3.06 GHz 98.304 GB RAM) сеть: Infiniband QDR/Gigabit Ethernet/Fast Ethernet,7.40 8.61,Hewlett-Packard
45,Санкт-Петербург Промышленность 2011 г.,152/912,узлов: 70 (2xXeon L5640 2.26 GHz 48 GB RAM) узлов: 6 (2xXeon L5640 2.26 GHz 128 GB RAM) сеть: Infiniband QDR/Gigabit Ethernet/Gigabit Ethernet,7.33 8.24,IBM
46,Алматы Национальная научная лаборатория коллективного пользования информационных и космических технологий Казахский Национальный технический университет имени К.И. Сатпаева 2010 г.,256/1024,узлов: 128 (2xXeon 5550 2.66 GHz 16 GB RAM) сеть: 10 Gigabit Ethernet/Gigabit Ethernet/Gigabit Ethernet,6.98 10.90,Fujitsu
47,Санкт-Петербург Санкт-Петербургский филиал МСЦ РАН Российская академия наук 2010 г.,192/768,узлов: 96 (2xXeon 5365 3 GHz 8.192 GB RAM) сеть: Infiniband 4x DDR/2xGigabit Ethernet/Gigabit Ethernet,6.45 9.22,Hewlett-Packard
48,Москва Industrial Company 2007 г.,336/672,узлов: 168 (2xXeon 51xx 3 GHz) сеть: InfiniBand/Gigabit Ethernet/Gigabit Ethernet,6.34 8.06,IBM
49,Минск РСКЦ ОИПИ НАН Беларуси 2010 г.,72/864,узлов: 36 (2xOpteron 6174 2.2 GHz 48 GB RAM) сеть: Infiniband QDR/Gigabit Ethernet/IPMI,6.25 7.60,"ОИПИ НАН Беларуси, УП ""НИИЭВМ"""
50,"Киев НТУУ ""КПИ"" 2008 г.",224/624,узлов: 68 (2xXeon 5160 3 GHz 4.096 GB RAM) узлов: 44 (2xXeon E5440 2.83 GHz 8.192 GB RAM) сеть: InfiniBand/Gigabit Ethernet/Gigabit Ethernet,5.67 7.25,"ПНВП ""ЮСТАР"""
