N,Место,Кол-во CPU/ядер,Архитектура(тип процессора / сеть),Производительность Linpack Пиковая,Разработчик
1,Москва Московский государственный университет имени М.В.Ломоносова 2011 г.,11814/71972,узлов: 4160 (2xXeon 5570 2.93 GHz 12 GB RAM) узлов: 260 (2xXeon 5570 2.93 GHz 24 GB RAM) узлов: 640 (2xXeon 5670 2.93 GHz 24 GB RAM) узлов: 40 (2xXeon 5670 2.93 GHz 48 GB RAM) узлов: 30 (2xPowerXCell 8i 3.2 GHz 16 GB RAM) узлов: 777 (2xXeon E5630 [Acc: 2xTesla X2070] 2.53 GHz 12 GB RAM) сеть: Infiniband QDR/Gigabit Ethernet/Gigabit Ethernet,674.11 1373.06,Т-Платформы
2,Москва РНЦ Курчатовский институт 2010 г.,2576/10304,узлы: (Xeon E5472 3 GHz) сеть: Infiniband 4x DDR/Gigabit Ethernet/Gigabit Ethernet,101.21 123.65,Hewlett-Packard
3,Челябинск Южно-Уральский государственный университет 2010 г.,1472/8832,"СКИФ ряд 4 Xeon X5680 3.33 GHz Трехмерный тор 60 Gbits, макс. задержка 1 мкс, InfiniBand QDR 40 Gbits",100.35 117.64,РСК СКИФ
4,Москва Межведомственный суперкомьютерный центр Российская академия наук 2009 г.,2332/10344,узлов: 74 (2xXeon X5670 2.93 GHz 12.288 GB RAM) узлов: 192 (2xXeon 5365 3 GHz 8.192 GB RAM) узлов: 990 (2xXeon E5450 3 GHz 8.192 GB RAM) сеть: Infiniband 4x DDR/2xGigabit Ethernet/Gigabit Ethernet,86.72 123.88,Hewlett-Packard
5,Москва Государственный сектор 2011 г.,1462/8772,узлы: (Xeon X5630 2.53 GHz) сеть: Gigabit Ethernet,49.43 88.77,IBM
6,Москва Московский государственный университет имени М.В.Ломоносова 2008 г.,1250/5000,узлов: 529 (2xXeon E5472 3 GHz 8.192 GB RAM) узлов: 64 (2xXeon E5472 3 GHz 8.192 GB RAM) узлов: 32 (2xXeon E5472 3 GHz 16.384 GB RAM) узлов: 8 (2xXeon E5472 3 GHz 32.768 GB RAM) сеть: InfiniBand/Gigabit Ethernet/СКИФ-ServNet + IPMI,47.32 60.00,СКИФ
7,Москва Государственный сектор 2011 г.,1346/8076,узлы: (Xeon X5630 2.53 GHz) сеть: Gigabit Ethernet,45.51 81.73,IBM
9,Москва Банковский сектор 2011 г.,1320/7920,узлы: (Xeon X5630 2.53 GHz) сеть: Gigabit Ethernet,44.63 80.15,IBM
8,Москва Банковский сектор 2011 г.,1320/7920,узлы: (Xeon X5630 2.53 GHz) сеть: Gigabit Ethernet,44.63 80.15,IBM
10,Томск Межрегиональный супервычислительный центр Томский государственный университет 2011 г.,1280/5424,узлов: 282 (2xXeon 5150 2.66 GHz 8.192 GB RAM) узлов: 128 (2xXeon X5670 2.93 GHz 24.576 GB RAM) узлов: 190 (2xXeon X5670 2.93 GHz 24.576 GB RAM) узлов: 40 (2xXeon X5670 2.93 GHz 49.152 GB RAM) сеть: Infiniband QDR/Gigabit Ethernet/Gigabit Ethernet,42.53 62.35,Т-Платформы
11,Москва ИПМ им. М.В.Келдыша РАН 2010 г.,128/3456,"узлов: 64 (2xXeon X5670 [Acc: 3xTesla C2050] 2.93 GHz 96 GB RAM) сеть: ""МВС-экспресс""/InfiniBand/Gigabit Ethernet",41.14 107.90,"ИПМ им. М.В.Келдыша РАН, ООО НПО ""Роста"", ФГУП ""НИИ ""КВАНТ"""
12,Москва Банковский сектор 2009 г.,1650/6600,узлы: (Xeon E5540 2.53 GHz) сеть: Gigabit Ethernet,38.10 66.79,IBM
13,Москва Classified 2010 г.,1624/6496,узлы: (Xeon E5540 2.53 GHz) сеть: Gigabit Ethernet,37.50 65.74,IBM
14,Москва IT-Services 2010 г.,1586/6344,узлы: (Xeon E5540 2.53 GHz) сеть: Gigabit Ethernet,36.62 64.20,IBM
15,Москва Государственный сектор 2009 г.,1414/5656,узлы: (Xeon E5540 2.53 GHz) сеть: Gigabit Ethernet,32.65 57.24,IBM
16,Москва Государственный сектор 2010 г.,1374/5496,узлы: (Xeon E5540 2.53 GHz) сеть: Gigabit Ethernet,31.72 55.62,IBM
17,Москва Государственный сектор 2010 г.,1216/4864,узлы: (Xeon E5540 2.53 GHz) сеть: Gigabit Ethernet,28.00 49.22,IBM
18,Москва Государственный сектор 2010 г.,1096/4384,узлы: (Xeon X5550 2.666 GHz) сеть: Gigabit Ethernet,26.70 46.75,IBM
19,Москва РНЦ Курчатовский институт 2008 г.,864/3456,узлов: 32 (2xXeon 5365 3 GHz 32.768 GB RAM) узлов: 64 (2xXeon 5365 3 GHz 16.384 GB RAM) узлов: 336 (2xXeon 5345 2.333 GHz 8.192 GB RAM) сеть: Infiniband 4x DDR/Gigabit Ethernet/Gigabit Ethernet,25.08 34.27,Hewlett-Packard
20,Москва Факультет Вычислительной математики и кибернетики МГУ имени М.В.Ломоносова 2008 г.,2048/8192,Blue Gene/P IBM Power PC 850 MHz BlueGene/P proprietary,23.86 27.85,IBM
21,Якутск Центр прикладных вычислительных технологий Северо-Восточный федеральный университет имени М.К.Аммосова 2011 г.,320/1920,узлов: 160 (2xXeon X5675 3.06 GHz 49.152 GB RAM) сеть: Infiniband QDR/Gigabit Ethernet/Fast Ethernet,20.21 23.50,"Hewlett-Packard, INLINE Group"
22,Санкт-Петербург Ресурсный центр Вычислительный центр СПбГУ ФГБОУ ВПО Санкт-Петербургский государственный университет 2011 г.,48/1536,узлов: 24 (2xXeon X5675 [Acc: 3xTesla M2070] 3.06 GHz 98.304 GB RAM) сеть: Infiniband QDR/Gigabit Ethernet/Fast Ethernet,17.66 40.14,Hewlett Packard
23,Новосибирск Информационно-вычислительный центр Новосибирский государственный университет 2011 г.,532/2752,узлов: 64 (2xXeon 5355 2.66 GHz 16.051 GB RAM) узлов: 96 (2xXeon E5540 2.53 GHz 16.041 GB RAM) узлов: 1 (4xXeon 7350 2.933 GHz 128.944 GB RAM) узлов: 1 (8xXeon X7560 2.266 GHz 2097.152 GB RAM) узлов: 96 (2xXeon X5670 2.932 GHz 24.105 GB RAM) узлов: 4 (2xXeon X5670 [Acc: 3xTesla M2090] 2.932 GHz 48 GB RAM) сеть: Gigabit Ethernet/Infiniband QDR/Fast Ethernet,17.32 29.28,"Hewlett Packard, Нонолет"
24,Москва Государственный сектор 2010 г.,582/2328,узлов: 112 (2xXeon X5570 2.93 GHz 24 GB RAM) узлов: 179 (2xXeon X5460 3.16 GHz 24 GB RAM) сеть: 10 Gigabit Ethernet/Gigabit Ethernet/Gigabit Ethernet,17.09 28.60,IBM
25,Уфа УГАТУ 2007 г.,532/2128,узлов: 266 (2xXeon 5345 2.333 GHz 8.192 GB RAM) сеть: InfiniBand/Gigabit Ethernet/Gigabit Ethernet,15.33 19.86,АйТи/IBM
26,Екатеринбург Отдел вычислительной техники Институт математики и механики УрО РАН 2009 г.,416/1664,узлов: 192 (2xXeon E5450 3 GHz 16 GB RAM) узлов: 16 (2xXeon E5450 3 GHz 32 GB RAM) сеть: Infiniband 4x DDR/Gigabit Ethernet/Gigabit Ethernet,14.62 19.50,Hewlett Packard
27,Таганрог РОЦ НИТ Таганрогский Технологический Институт Южного Федерального Университета 2008 г.,518/2072,узлов: 128 (4xOpteron 8356 2.3 GHz 32 GB RAM) узлов: 2 (2xOpteron 2356 2.3 GHz 8 GB RAM) узлов: 1 (2xXeon E5430 2.66 GHz 8 GB RAM) сеть: Infiniband 4x DDR/Gigabit Ethernet/Gigabit Ethernet,14.51 18.84,Hewlett Packard / КРОК
28,Москва Главный вычислительный центр Федеральная служба России по гидрометеорологии и мониторингу окружающей среды (Росгидромет) 2011 г.,192/1152,узлов: 96 (2xXeon X5680 3.33 GHz 49.152 GB RAM) сеть: Infiniband QDR/Gigabit Ethernet/Gigabit Ethernet,14.11 15.33,РСК
29,"Киров ""Междисциплинарный центр компетенций в области аэробиологии, микробиологии и нанотехнологий"" ГОУ ВПО ""Вятский государственный университет""2008 г.",480/1920,узлов: 240 (2xXeon 5345 2.33 GHz 4.096 GB RAM) сеть: Infiniband 4x DDR/2xGigabit Ethernet/Gigabit Ethernet,13.96 17.89,Hewlett-Packard
30,Москва Росгидромет 2008 г.,354/1416,узлы: (Xeon E5440 2.83 GHz) сеть: Infiniband 4x DDR,13.68 16.03,SGI
31,Красноярск СФУ 2007 г.,452/1808,узлов: 226 (2xXeon 53xx 2.333 GHz) сеть: InfiniBand/Gigabit Ethernet/Gigabit Ethernet,13.06 16.87,IBM
