Institution,Country,Publications,Publications (growth %),Citations,Authors,Authors (growth %),Value of awards (USD), Value of awards (USD) (growth %),Citations per Publication,Field-Weighted Citation Impact
"Troitsk Institute for Innovation and Fusion Research","Russian Federation",389,4.2,1244,283,-12.4,0,0.0,3.2,0.64
"Orel State University named after IS Turgenev","Russian Federation",384,870.6,463,352,787.0,0,0.0,1.2,0.96
"M.F. Vladimirsky Moscow Regional Research and Clinical Institute","Russian Federation",384,454.2,938,377,291.5,0,0.0,2.4,0.57
"Russian State Hydrometeorological University","Russian Federation",338,109.3,1309,214,62.3,0,0.0,3.9,1.07
"Buryatskogo State University","Russian Federation",335,360.0,513,238,296.2,0,0.0,1.5,0.57
"Surgut State University","Russian Federation",334,181.8,350,297,73.1,0,0.0,1.0,0.38
"Russian State Agrarian University, Moscow Timiryazev Agricultural Academy","Russian Federation",333,262.5,598,278,159.5,0,0.0,1.8,0.49
"The St. Petersburg State University of Economics","Russian Federation",322,543.8,492,272,726.7,0,0.0,1.5,1.27
"Bochvar All-Russian Scientific Research Institute of Inorganic Materials","Russian Federation",307,-14.6,519,277,-18.9,0,0.0,1.7,0.44
"Moscow Automobile and Road Construction State Technical University","Russian Federation",299,142.3,364,243,171.4,0,0.0,1.2,0.37
"Innopolis University","Russian Federation",281,7800.0,459,163,2866.7,0,0.0,1.6,1.26
"Kuban State Agrarian University","Russian Federation",280,2125.0,319,302,1575.0,0,0.0,1.1,0.76
"Ural State Medical University","Russian Federation",280,112.5,777,287,103.7,0,0.0,2.8,0.54
"Central Institute of Aviation Motors","Russian Federation",274,51.4,520,246,55.4,0,0.0,1.9,0.77
"Yaroslav-the-Wise Novgorod State University","Russian Federation",264,235.0,418,198,113.2,0,0.0,1.6,0.40
"Minin Nizhny Novgorod State Pedagogical University","Russian Federation",252,928.6,261,329,2142.9,0,0.0,1.0,0.98
"European University at St Petersburg","Russian Federation",236,73.5,464,123,123.8,0,0.0,2.0,0.88
"Syktyvkar State University","Russian Federation",229,191.3,565,157,207.4,0,0.0,2.5,0.36
"Khlopin Radium Institute","Russian Federation",224,0.0,637,155,-3.3,0,0.0,2.8,0.60
"Russian Ilizarov Scientific Center for Restorative Traumatology and Orthopaedics","Russian Federation",216,190.9,217,168,97.7,0,0.0,1.0,0.21
