N,Место,Кол-во CPU/ядер,Архитектура(тип процессора / сеть),Производительность Linpack Пиковая,Разработчик
1,Москва Межведомственный суперкомьютерный центр Российская академия наук 2008 г.,1980/7920,узлов: 78 (2xXeon 5365 3 GHz 4.096 GB RAM) узлов: 392 (2xXeon 5365 3 GHz 8.192 GB RAM) узлов: 520 (2xXeon E5450 3 GHz 8.192 GB RAM) сеть: Infiniband 4x DDR/2xGigabit Ethernet/Gigabit Ethernet,71.28 95.04,Hewlett-Packard
2,Москва Московский государственный университет имени М.В.Ломоносова 2008 г.,1250/5000,узлов: 529 (2xXeon E5472 3 GHz 8.192 GB RAM) узлов: 64 (2xXeon E5472 3 GHz 8.192 GB RAM) узлов: 32 (2xXeon E5472 3 GHz 16.384 GB RAM) узлов: 8 (2xXeon E5472 3 GHz 32.768 GB RAM) сеть: InfiniBand/Gigabit Ethernet/СКИФ-ServNet + IPMI,47.32 60.00,СКИФ
3,Москва РНЦ Курчатовский институт 2008 г.,864/3456,узлов: 32 (2xXeon 5365 3 GHz 32.768 GB RAM) узлов: 64 (2xXeon 5365 3 GHz 16.384 GB RAM) узлов: 336 (2xXeon 5345 2.333 GHz 8.192 GB RAM) сеть: Infiniband 4x DDR/Gigabit Ethernet/Gigabit Ethernet,25.08 34.27,Hewlett-Packard
4,Москва Факультет Вычислительной математики и кибернетики Московский государственный университет имени М.В. Ломоносова 2008 г.,2048/8192,Blue Gene/P IBM Power PC 850 MHz BlueGene/P proprietary,23.22 27.60,IBM
5,Уфа УГАТУ 2007 г.,532/2128,узлов: 266 (2xXeon 5345 2.333 GHz 8.192 GB RAM) сеть: InfiniBand/Gigabit Ethernet/Gigabit Ethernet,15.33 19.86,АйТи/IBM
6,Таганрог РОЦ НИТ Таганрогский Технологический Институт Южного Федерального Университета 2008 г.,518/2072,узлов: 128 (4xOpteron 8356 2.3 GHz 32 GB RAM) узлов: 2 (2xOpteron 2356 2.3 GHz 8 GB RAM) узлов: 1 (2xXeon E5430 2.66 GHz 8 GB RAM) сеть: Infiniband 4x DDR/Gigabit Ethernet/Gigabit Ethernet,14.51 18.84,Hewlett Packard / КРОК
7,"Киров ""Междисциплинарный центр компетенций в области аэробиологии, микробиологии и нанотехнологий"" ГОУ ВПО ""Вятский государственный университет"" 2008 г.",480/1920,узлов: 240 (2xXeon 5345 2.33 GHz 4.096 GB RAM) сеть: Infiniband 4x DDR/2xGigabit Ethernet/Gigabit Ethernet,13.96 17.89,Hewlett-Packard
8,Москва Росгидромет 2008 г.,354/1416,узлы: (Xeon E5440 2.83 GHz) сеть: Infiniband 4x DDR,13.68 16.03,SGI
9,Красноярск СФУ 2007 г.,452/1808,узлов: 226 (2xXeon 53xx 2.333 GHz) сеть: InfiniBand/Gigabit Ethernet/Gigabit Ethernet,13.06 16.87,IBM
10,Челябинск Южно-Уральский государственный университет 2008 г.,332/1328,узлов: 166 (2xXeon E5472 3 GHz 8.192 GB RAM) сеть: InfiniBand/Gigabit Ethernet/СКИФ-ServNet,12.36 15.94,Т-Платформы
11,Рыбинск НПО Сатурн 2008 г.,336/1344,узлов: 168 (2xXeon 5355 2.66 GHz 8.192 GB RAM) узлов: 3 (2xXeon 7350 2.86 GHz 131.072 GB RAM) сеть: Infiniband 4x DDR/Gigabit Ethernet/Gigabit Ethernet,10.60 14.30,IBM/Крок
12,Москва Росгидромет 2008 г.,832/1664,узлы: (Itanium 2 1.66 GHz) сеть: NUMALink,10.29 11.05,SGI
13,IT Provider 2008 г.,610/2440,узлы: (Xeon 5320 1.866 GHz) сеть: Gigabit Ethernet,10.01 18.15,Hewlett-Packard
14,Томск Межрегиональный вычислительный центр Томский государственный университет 2007 г.,564/1128,узлов: 282 (2xXeon 5150 2.667 GHz 4.096 GB RAM) сеть: QLogic InfiniPath/Gigabit Ethernet/СКИФ-ServNet,9.01 12.00,Т-Платформы
15,Москва Industrial Company 2007 г.,336/672,узлов: 168 (2xXeon 51xx 3 GHz) сеть: InfiniBand/Gigabit Ethernet/Gigabit Ethernet,6.34 8.06,IBM
