N,Место,Кол-во CPU/ядер,Архитектура(тип процессора / сеть),Производительность Linpack Пиковая,Разработчик
16,"Киев НТУУ ""КПИ"" 2008 г.",224/624,узлов: 68 (2xXeon 5160 3 GHz 4.096 GB RAM) узлов: 44 (2xXeon E5440 2.83 GHz 8.192 GB RAM) сеть: InfiniBand/Gigabit Ethernet/Gigabit Ethernet,5.67 7.25,"ПНВП ""ЮСТАР"""
17,Киев Институт кибернетики НАН Украины 2008 г.,250/704,узлов: 74 (2xXeon 5160 3 GHz 8.192 GB RAM) узлов: 51 (2xXeon EM64T 2.33 GHz 16.384 GB RAM) сеть: InfiniBand/Gigabit Ethernet/Gigabit Ethernet,5.32 7.35,"ИК НАН Украины, Энтри, Фолгат ФТС, Медиа Меджик"
18,Москва Logistic Services (F) 2007 г.,336/672,узлы: (Xeon 51xx 3 GHz) сеть: Gigabit Ethernet,5.24 8.06,Hewlett-Packard
19,Москва Московский физико-технический институт (МФТИ) 2007 г.,272/544,узлов: 136 (2xXeon 5160 3 GHz 4 GB RAM) сеть: Myrinet/Gigabit Ethernet/Gigabit Ethernet,4.53 6.53,"Hewlett-Packard, Институт системного программирования РАН (ИСП РАН)"
20,Новосибирск Новосибирский государственный университет 2008 г.,128/512,узлов: 64 (2xXeon 5355 2.66 GHz 16.384 GB RAM) сеть: Infiniband 4x DDR/Gigabit Ethernet/Gigabit Ethernet,4.09 5.45,Hewlett-Packard
21,Минск ОИПИ НАН Беларуси 2009 г.,104/416,узлов: 52 (2xXeon E5472 3 GHz 8 GB RAM) сеть: InfiniBand/Gigabit Ethernet/СКИФ-ServNet + IPMI,4.03 4.99,"СКИФ-ГРИД (ОИПИ НАН Беларуси, УП ""НИИЭВМ"", Т-Платформы)"
22,Москва Московский государственный университет путей сообщения 2008 г.,128/512,узлов: 64 (2xAMD Opteron 2356 2.3 GHz 16.384 GB RAM) сеть: Infiniband 4x DDR/Gigabit Ethernet/IPMI,3.89 4.71,Т-Платформы
23,Владимир РЦНИТ Владимирский Государственный Университет 2008 г.,140/620,узлов: 64 (2xXeon 5345 2.33 GHz 8 GB RAM) узлов: 6 (2xPowerXCell 8i 3.2 GHz 8.192 GB RAM) сеть: Infiniband 4x DDR/Gigabit Ethernet/СКИФ-ServNet,3.76 4.77,Т-Платформы
24,Калининград Российский Государственный Университет им. Иммануила Канта 2008 г.,136/544,узлов: 68 (2xXeon E5345 2.333 GHz 8.192 GB RAM) сеть: InfiniBand/Gigabit Ethernet/Gigabit Ethernet,3.75 5.07,IBM
25,Ростов-на-Дону НИИ физической и органической химии ЮФУ 2008 г.,100/400,узлов: 50 (2xXeon 5365 3 GHz 16 GB RAM) сеть: InfiniBand/Gigabit Ethernet,3.55 4.80,Fujitsu Siemens/ДВ.ком
26,Новосибирск ССКЦ ИВМиМГ СО РАН 2009 г.,100/400,узлов: 50 (2xXeon E5450 3 GHz 16.384 GB RAM) сеть: Infiniband 4x DDR/Gigabit Ethernet/Fast Ethernet,3.41 4.80,Hewlett-Packard
27,"Пермь Центр высокопроизводительных вычислительных систем Пермский Государственный Технический Университет (ПГТУ), ГОУ ВПО2008 г.",128/512,узлов: 64 (2xOpteron 2350 2 GHz 8.192 GB RAM) сеть: InfiniBand/Gigabit Ethernet/Fast Ethernet,3.17 4.10,"ДАТА Технологии, Троник, ССТ"
28,Москва СберБанк 2006 г.,1312/1312,узлов: 16 (32-128 CPU HP SuperDome 1.1 GHz) сеть: HyperPlex,3.06 5.77,Hewlett-Packard
29,Дубна Лаборатория Информационных Технологий Объединенный Институт Ядерных Исследований 2008 г.,200/560,узлов: 60 (2xXeon 5150 2.667 GHz 8 GB RAM) узлов: 30 (2xXeon E5430 2.667 GHz 16 GB RAM) узлов: 10 (2xXeon X5430 3 GHz 16 GB RAM) сеть: Gigabit Ethernet/Gigabit Ethernet,2.98 6.07,"Т-Платформы, SuperMicro"
30,Черноголовка ИПХФ РАН 2008 г.,504/504,узлов: 252 (2xPowerPC 970 2.2 GHz 2.048 GB RAM) сеть: Myrinet/Gigabit Ethernet/Gigabit Ethernet,2.92 4.44,IBM
31,Москва ЗАО Т-Сервисы 2009 г.,60/240,узлов: 30 (2xXeon E5472 3 GHz 16.384 GB RAM) сеть: InfiniBand/Gigabit Ethernet/Gigabit Ethernet,2.29 2.88,Т-Платформы
32,"Москва ООО ""КиноСтрой Индустрия"" (Асимметрик VFX) 2008 г.",120/480,узлов: 40 (2xXeon 5410 2.33 GHz 8.192 GB RAM) узлов: 20 (2xXeon 5420 2.5 GHz 4.096 GB RAM) сеть: Gigabit Ethernet/Gigabit Ethernet/Gigabit Ethernet,2.23 4.58,Т-Платформы
33,Екатеринбург Отдел вычислительной техники ИММ УрО РАН 2008 г.,64/256,узлов: 32 (2xXeon E5450 3 GHz 16 GB RAM) сеть: Infiniband 4x DDR/Gigabit Ethernet/Gigabit Ethernet,2.21 3.00,"HP/ЗАО ""Открытые Технологии 98"" ""Открытые Технологии -Пермь"""
34,Санкт-Петербург Факультет Прикладной математики – процессов управления Санкт-Перербургский государственный университет 2007 г.,96/384,узлов: 48 (2xXeon 5335 2 GHz 4 GB RAM) сеть: InfiniBand/Gigabit Ethernet/СКИФ-ServNet,2.17 3.07,Т-Платформы
35,Москва Управление информатизации - Вычислительный центр МГТУ им. Н. Э.Баумана 2007 г.,206/412,узлов: 103 (2xIntel Xeon 5120 1.866 GHz 4.096 GB RAM) сеть: InfiniBand/Gigabit Ethernet/Gigabit Ethernet,2.13 3.07,IBM/Техносерв
36,Минск ОИПИ НАНБ 2004 г.,576/576,узлов: 288 (2xOpteron 248 2.2 GHz 4 GB RAM) сеть: InfiniBand/Gigabit Ethernet/СКИФ-ServNet,2.03 2.53,СКИФ
37,Королев Центр коллективного пользования ЦНИИМАШ Федеральное Государственное Унитарное Предприятие «Центральный научно-исследовательский институт машиностроения» 2008 г.,58/232,узлов: 29 (2xXeon 5345 2.33 GHz 8 GB RAM) сеть: InfiniBand/Gigabit Ethernet,1.64 2.16,Т-Платформы
38,Москва ИВМ РАН 2008 г.,46/184,узлов: 16 (2xXeon 5355 2.666 GHz 8.192 GB RAM) узлов: 6 (2xXeon E5462 2.8 GHz 8.192 GB RAM) узлов: 1 (2xXeon 5355 2.666 GHz 16.384 GB RAM) сеть: Infiniband 4x DDR/Gigabit Ethernet/Gigabit Ethernet,1.51 1.98,"SGI/Ай-Теко, Арбайт"
39,"Москва Центр кластерных технологий ОАО ""Т-Платформы"" 2009 г.",64/576,узлов: 32 (2xPowerXCell 8i 3.2 GHz 8.192 GB RAM) сеть: Gigabit Ethernet/Gigabit Ethernet,1.51 6.53,"ОАО ""Т-Платформы"""
40,Нальчик ГОУ ВПО Кабардино-Балкарский государственный университет им. Х.М. Бербекова 2008 г.,44/176,узлов: 22 (2xOpteron 2384 2.7 GHz 8.192 GB RAM) сеть: Infiniband 4x DDR/Gigabit Ethernet/Gigabit Ethernet,1.47 1.90,ООО Модуль-Проекты
41,Казань Казанский научный центр РАН 2007 г.,252/252,узлов: 126 (2xPowerPC 970 2.2 GHz 4.096 GB RAM) сеть: Myrinet 2000/Gigabit Ethernet/Gigabit Ethernet,1.47 2.22,"ФГУП ""Квант"", ИПМ РАН, МСЦ"
42,"Тольятти ОАО ""Автоваз"" 2008 г.",80/160,узлов: 40 (2xXeon 5160 3 GHz 14 GB RAM) сеть: InfiniBand/Gigabit Ethernet/IPMI,1.40 1.92,FujitsuSiemens/T-Платформы
43,Москва Объединенный Институт Высоких Температур РАН 2008 г.,48/192,узлов: 24 (2xXeon 5345 2.33 GHz 8 GB RAM) сеть: InfiniBand/Gigabit Ethernet/СКИФ-ServNet,1.40 1.79,Т-Платформы
44,Москва Институт Прикладной Механики Российской Академии Наук 2008 г.,48/192,узлов: 24 (2xXeon 5345 2.33 GHz 8 GB RAM) сеть: InfiniBand/Gigabit Ethernet/СКИФ-ServNet,1.34 1.79,Т-Платформы
45,Нижний Новгород Нижегородский государственный университет им. Н.И. Лобачевского 2007 г.,128/256,узлов: 64 (2xXeon EM64T 2.66 GHz 4 MB RAM) сеть: Gigabit Ethernet/Gigabit Ethernet/СКИФ-ServNet,1.34 2.72,Т-Платформы
46,Москва МСЦ РАН 2005 г.,256/256,узлов: 128 (2xItanium 2 1.5 GHz 2.048 GB RAM) сеть: Myrinet 2000/Gigabit Ethernet/Fast Ethernet,1.29 1.54,Hewlett-Packard
47,Москва Севморнефтегеофизика-Москва 2008 г.,112/336,узлов: 28 (2xOpteron 275 2.2 GHz 4.096 GB RAM) узлов: 28 (2xXeon L5320 1.86 GHz 8.192 GB RAM) сеть: Gigabit Ethernet/Gigabit Ethernet/Gigabit Ethernet,1.15 2.16,IBM
48,Москва Центр Обработки Данных РГУ им. Губкина 2007 г.,84/168,узлов: 42 (2xXeon 5140 2.333 GHz 2.048 GB RAM) сеть: Infiniband 4x DDR/Gigabit Ethernet,1.09 1.57,IBM
49,Санкт-Петербург ГИВК СПбГПУ 2007 г.,130/260,узлов: 65 (2xOpteron 280 2.4 GHz 8.192 GB RAM) сеть: InfiniBand/Gigabit Ethernet,1.04 1.25,Т-Платформы
50,Санкт-Петербург Санкт-Петербургский филиал МСЦ РАН 2007 г.,168/168,узлов: 84 (2xPowerPC 970 2.2 GHz 4.096 GB RAM) сеть: Myrinet 2000/Gigabit Ethernet/Gigabit Ethernet,0.98 1.48,"ФГУП ""Квант"", ИПМ РАН, МСЦ"
