N,Место,Кол-во CPU/ядер,Архитектура(тип процессора / сеть),Производительность Linpack Пиковая,Разработчик
1,Минск ОИПИ НАНБ 2004 г.,576/576,узлов: 288 (2xOpteron 248 2.2 GHz 4 GB RAM) сеть: InfiniBand/Gigabit Ethernet/СКИФ-ServNet,2.03 2.53,СКИФ
2,Москва МСЦ РАН 2004 г.,336/336,узлов: 168 (2xPowerPC 970 1.6 GHz 4 GB RAM) сеть: Myrinet/2xGigabit Ethernet,1.40 2.15,"ФГУП ""Квант"", ИПМ РАН, МСЦ"
3,Москва МСЦ РАН 2001 г.,768/768,узлов: 384 (2xAlpha 21264A 667 MHz 1 GB RAM) сеть: Myrinet 2000/Fast Ethernet,0.73 1.18,"ФГУП ""Квант"", ИПМ РАН, МСЦ"
4,Москва НИВЦ МГУ 2004 г.,160/160,узлов: 80 (2xOpteron 248 2.2 GHz 4 GB RAM) сеть: InfiniBand/Gigabit Ethernet/Fast Ethernet,0.51 0.70,Hewlett-Packard
5,Ереван ИПИА НАН РА 2004 г.,128/128,узлов: 64 (2xXeon 3 GHz 1 GB RAM) сеть: Myrinet/Gigabit Ethernet,0.48 0.78,"ИПИА НАН РА, ИСП РАН, C.I.Technology"
6,Минск ОИПИ НАНБ 2003 г.,128/128,узлов: 64 (2xXeon 2.8 GHz 2 GB RAM) сеть: SCI/Gigabit Ethernet/СКИФ-ServNet,0.48 0.72,СКИФ
7,Москва СберБанк 2003 г.,256/256,HP SuperDome PA-RISC 750 MHz,0.44 0.77,Hewlett-Packard
8,Москва отдел высокопроизводительных вычислительных систем ОАО НИЦЭВТ 2003 г.,72/72,узлов: 36 (2xXeon 2.8 GHz 2 GB RAM) сеть: SCI/Gigabit Ethernet,0.25 0.40,"СКИФ, ОАО ”НИЦЭВТ”"
9,Челябинск ЮУрГУ 2004 г.,36/36,узлов: 18 (2xXeon EM64T 3.2 GHz 2 GB RAM) сеть: Infiniband (PCI-Express)/Gigabit Ethernet,0.18 0.23,Т-Платформы
10,"Снежинск ООО ""Стрела"" 2004 г.",40/40,узлов: 20 (2xPentium IV 2.8 GHz 1 GB RAM) сеть: InfiniBand/Fast Ethernet,0.12 0.22,Собственная сборка
11,Москва НИВЦ МГУ 2003 г.,32/32,узлов: 16 (2xXeon 2.6 GHz 2 GB RAM) сеть: SCI/Fast Ethernet/СКИФ-ServNet,0.10 0.17,Собственная сборка
12,Москва МСЦ РАН,64/64,HP SuperDome PA-8600 550 MHz,0.10 0.14,Hewlett-Packard
13,Киев Институт кибернетики им. В.М. Глушкова НАН Украины 2004 г.,32/32,узлов: 16 (2xXeon 2.6 GHz 1 GB RAM) сеть: SCI/Gigabit Ethernet/Fast Ethernet,0.10 0.17,"ИК НАНУ, ПНВП ""ЮСТАР"""
14,Москва Центр Кластерных Технологий Т-Платформы,32/32,узлов: 16 (2xOpteron 244 1.8 GHz 2 GB RAM) сеть: Gigabit Ethernet/Gigabit Ethernet,0.07 0.12,Т-Платформы
15,Москва Центр кластерных технологий Т-Платформы 2004 г.,20/20,узлов: 10 (2xOpteron 248 2.2 GHz 2 GB RAM) сеть: InfiniBand/Gigabit Ethernet,0.07 0.09,Т-Платформы
16,Москва Институт биоорганической химии РАН 2004 г.,32/32,узлов: 16 (2xAthlon MP 2800+ 2 GHz 1 GB RAM) сеть: Myrinet/Fast Ethernet,0.07 0.13,ДАТА Технологии
17,Екатеринбург ИММ УРО РАН 2003 г.,32/32,узлов: 16 (2xXeon 2.4 GHz 2 GB RAM) сеть: 2xGigabit Ethernet,0.07 0.16,"ФГУП ""Квант"""
