,Affiliation,Year,Q1,Q2,Q3,Q4,Top10
0,ИПМ им. М.В.Келдыша РАН,2015,35,53,66,102,6
1,ИВМиМГ СО РАН,2015,5,12,56,65,2
2,"ФГУП ""Крыловский государственный научный центр""",2015,2,0,13,14,0
3,МИСиС,2015,298,169,303,338,153
4,ИДСТУ СО РАН,2015,7,15,25,25,1
