,place,cpu,cores,nodes,memory,nets,linpack,peak,developer
490,Moscow,7 cpu,6 cores,7 nodes,7 memory,10 nets,7 linpack,6 peak,domestic dev
491,not Moscow,9 cpu,8 cores,9 nodes,7 memory,3 nets,7 linpack,7 peak,domestic dev
492,not Moscow,8 cpu,7 cores,8 nodes,9 memory,5 nets,7 linpack,7 peak,domestic dev
493,Moscow,5 cpu,7 cores,5 nodes,7 memory,7 nets,7 linpack,7 peak,joint dev
494,not Moscow,2 cpu,5 cores,1 nodes,3 memory,8 nets,8 linpack,8 peak,domestic dev
495,not Moscow,10 cpu,9 cores,9 nodes,8 memory,6 nets,8 linpack,9 peak,domestic dev
496,Moscow,9 cpu,4 cores,9 nodes,8 memory,10 nets,8 linpack,4 peak,domestic dev
497,Moscow,10 cpu,10 cores,10 nodes,9 memory,2 nets,8 linpack,9 peak,joint dev
498,not Moscow,5 cpu,9 cores,4 nodes,6 memory,9 nets,8 linpack,8 peak,domestic dev
499,not Moscow,10 cpu,10 cores,10 nodes,9 memory,2 nets,9 linpack,9 peak,domestic dev
500,Moscow,10 cpu,9 cores,10 nodes,9 memory,6 nets,9 linpack,10 peak,domestic dev
501,not Moscow,9 cpu,10 cores,9 nodes,5 memory,8 nets,9 linpack,9 peak,joint dev
502,Moscow,10 cpu,9 cores,10 nodes,9 memory,5 nets,9 linpack,9 peak,domestic dev
503,not Moscow,7 cpu,8 cores,6 nodes,10 memory,10 nets,9 linpack,8 peak,domestic dev
504,Moscow,4 cpu,8 cores,4 nodes,8 memory,9 nets,10 linpack,10 peak,foreign dev
505,Moscow,8 cpu,8 cores,7 nodes,8 memory,10 nets,10 linpack,8 peak,foreign dev
506,Moscow,9 cpu,10 cores,8 nodes,10 memory,2 nets,10 linpack,10 peak,foreign dev
507,not Moscow,6 cpu,8 cores,6 nodes,6 memory,7 nets,10 linpack,10 peak,domestic dev
508,not Moscow,6 cpu,10 cores,6 nodes,8 memory,9 nets,10 linpack,10 peak,domestic dev
509,Moscow,1 cpu,1 cores,1 nodes,1 memory,4 nets,1 linpack,1 peak,domestic dev
510,Moscow,1 cpu,1 cores,1 nodes,1 memory,3 nets,1 linpack,1 peak,foreign dev
511,Moscow,1 cpu,1 cores,1 nodes,1 memory,6 nets,1 linpack,1 peak,domestic dev
512,Moscow,2 cpu,1 cores,1 nodes,1 memory,1 nets,1 linpack,1 peak,foreign dev
513,not Moscow,2 cpu,2 cores,2 nodes,2 memory,6 nets,2 linpack,2 peak,joint dev
514,not Moscow,3 cpu,3 cores,3 nodes,2 memory,2 nets,2 linpack,2 peak,foreign dev
515,not Moscow,2 cpu,2 cores,4 nodes,2 memory,2 nets,2 linpack,2 peak,joint dev
516,not Moscow,3 cpu,2 cores,2 nodes,5 memory,4 nets,2 linpack,2 peak,foreign dev
517,not Moscow,3 cpu,2 cores,3 nodes,10 memory,6 nets,3 linpack,3 peak,foreign dev
518,not Moscow,4 cpu,3 cores,4 nodes,3 memory,9 nets,3 linpack,3 peak,domestic dev
519,not Moscow,4 cpu,3 cores,3 nodes,2 memory,2 nets,3 linpack,3 peak,joint dev
520,not Moscow,5 cpu,4 cores,5 nodes,3 memory,8 nets,3 linpack,4 peak,foreign dev
521,not Moscow,2 cpu,4 cores,2 nodes,4 memory,5 nets,4 linpack,3 peak,domestic dev
522,Moscow,4 cpu,4 cores,3 nodes,10 memory,5 nets,4 linpack,4 peak,foreign dev
523,not Moscow,5 cpu,5 cores,5 nodes,6 memory,9 nets,4 linpack,4 peak,domestic dev
524,not Moscow,5 cpu,4 cores,5 nodes,3 memory,5 nets,4 linpack,4 peak,domestic dev
525,Moscow,4 cpu,6 cores,4 nodes,6 memory,10 nets,5 linpack,5 peak,joint dev
526,not Moscow,7 cpu,6 cores,7 nodes,4 memory,4 nets,5 linpack,6 peak,foreign dev
527,not Moscow,8 cpu,8 cores,7 nodes,9 memory,7 nets,5 linpack,6 peak,domestic dev
528,Moscow,7 cpu,6 cores,6 nodes,4 memory,1 nets,5 linpack,7 peak,domestic dev
529,not Moscow,6 cpu,5 cores,6 nodes,6 memory,1 nets,6 linpack,7 peak,domestic dev
530,not Moscow,6 cpu,6 cores,6 nodes,6 memory,8 nets,6 linpack,6 peak,foreign dev
531,not Moscow,8 cpu,8 cores,8 nodes,5 memory,9 nets,6 linpack,6 peak,joint dev
532,not Moscow,8 cpu,8 cores,8 nodes,5 memory,3 nets,6 linpack,7 peak,foreign dev
533,Moscow,9 cpu,7 cores,8 nodes,3 memory,9 nets,7 linpack,8 peak,domestic dev
534,not Moscow,7 cpu,7 cores,7 nodes,7 memory,8 nets,7 linpack,8 peak,joint dev
535,Moscow,10 cpu,9 cores,9 nodes,5 memory,4 nets,7 linpack,8 peak,domestic dev
536,Moscow,1 cpu,3 cores,10 nodes,10 memory,5 nets,7 linpack,5 peak,foreign dev
537,not Moscow,6 cpu,5 cores,6 nodes,4 memory,10 nets,8 linpack,5 peak,joint dev
538,not Moscow,3 cpu,7 cores,2 nodes,7 memory,9 nets,8 linpack,8 peak,foreign dev
539,not Moscow,9 cpu,9 cores,9 nodes,7 memory,8 nets,8 linpack,9 peak,foreign dev
540,Moscow,10 cpu,10 cores,10 nodes,8 memory,7 nets,8 linpack,9 peak,domestic dev
541,Moscow,7 cpu,7 cores,7 nodes,9 memory,10 nets,9 linpack,7 peak,domestic dev
542,not Moscow,9 cpu,9 cores,9 nodes,8 memory,3 nets,9 linpack,9 peak,domestic dev
543,not Moscow,8 cpu,9 cores,8 nodes,10 memory,6 nets,9 linpack,9 peak,domestic dev
544,Moscow,6 cpu,8 cores,5 nodes,8 memory,7 nets,9 linpack,9 peak,joint dev
545,not Moscow,9 cpu,9 cores,9 nodes,8 memory,3 nets,9 linpack,10 peak,domestic dev
546,not Moscow,10 cpu,10 cores,10 nodes,9 memory,7 nets,10 linpack,10 peak,domestic dev
547,Moscow,9 cpu,5 cores,9 nodes,9 memory,10 nets,10 linpack,5 peak,domestic dev
548,Moscow,10 cpu,10 cores,10 nodes,9 memory,2 nets,10 linpack,10 peak,joint dev
549,not Moscow,5 cpu,10 cores,4 nodes,7 memory,10 nets,10 linpack,10 peak,domestic dev
550,not Moscow,10 cpu,10 cores,10 nodes,10 memory,1 nets,10 linpack,10 peak,domestic dev
551,Moscow,1 cpu,1 cores,1 nodes,1 memory,5 nets,1 linpack,1 peak,domestic dev
552,Moscow,1 cpu,1 cores,1 nodes,1 memory,4 nets,1 linpack,1 peak,foreign dev
553,Moscow,2 cpu,1 cores,1 nodes,1 memory,7 nets,1 linpack,1 peak,domestic dev
554,Moscow,2 cpu,2 cores,2 nodes,2 memory,2 nets,2 linpack,2 peak,foreign dev
555,not Moscow,3 cpu,2 cores,2 nodes,3 memory,7 nets,2 linpack,2 peak,joint dev
556,not Moscow,4 cpu,3 cores,4 nodes,2 memory,2 nets,2 linpack,2 peak,foreign dev
557,not Moscow,3 cpu,2 cores,5 nodes,2 memory,2 nets,3 linpack,3 peak,joint dev
558,not Moscow,4 cpu,3 cores,3 nodes,6 memory,4 nets,3 linpack,3 peak,foreign dev
559,not Moscow,4 cpu,3 cores,3 nodes,10 memory,6 nets,3 linpack,3 peak,foreign dev
560,not Moscow,5 cpu,4 cores,4 nodes,4 memory,9 nets,4 linpack,4 peak,domestic dev
561,not Moscow,5 cpu,4 cores,4 nodes,3 memory,3 nets,4 linpack,4 peak,joint dev
562,not Moscow,6 cpu,5 cores,5 nodes,4 memory,9 nets,4 linpack,4 peak,foreign dev
563,not Moscow,2 cpu,4 cores,2 nodes,5 memory,6 nets,4 linpack,4 peak,domestic dev
564,not Moscow,6 cpu,5 cores,6 nodes,4 memory,6 nets,5 linpack,5 peak,foreign dev
565,not Moscow,7 cpu,5 cores,7 nodes,7 memory,4 nets,5 linpack,5 peak,foreign dev
566,Moscow,4 cpu,6 cores,4 nodes,10 memory,6 nets,5 linpack,5 peak,foreign dev
567,not Moscow,6 cpu,6 cores,6 nodes,7 memory,8 nets,5 linpack,6 peak,domestic dev
568,not Moscow,6 cpu,5 cores,5 nodes,4 memory,9 nets,6 linpack,5 peak,domestic dev
569,not Moscow,8 cpu,8 cores,8 nodes,9 memory,3 nets,6 linpack,6 peak,foreign dev
570,Moscow,5 cpu,7 cores,5 nodes,8 memory,10 nets,6 linpack,6 peak,joint dev
571,not Moscow,9 cpu,8 cores,8 nodes,6 memory,5 nets,6 linpack,6 peak,foreign dev
572,not Moscow,8 cpu,8 cores,7 nodes,5 memory,1 nets,7 linpack,7 peak,foreign dev
573,not Moscow,9 cpu,9 cores,9 nodes,10 memory,7 nets,7 linpack,8 peak,domestic dev
574,Moscow,8 cpu,7 cores,8 nodes,6 memory,1 nets,7 linpack,8 peak,domestic dev
575,not Moscow,7 cpu,6 cores,7 nodes,8 memory,3 nets,7 linpack,8 peak,domestic dev
576,not Moscow,7 cpu,7 cores,7 nodes,8 memory,8 nets,8 linpack,7 peak,foreign dev
577,not Moscow,9 cpu,9 cores,9 nodes,7 memory,9 nets,8 linpack,8 peak,joint dev
578,Moscow,10 cpu,9 cores,9 nodes,5 memory,10 nets,8 linpack,9 peak,domestic dev
579,not Moscow,8 cpu,8 cores,8 nodes,9 memory,7 nets,8 linpack,9 peak,joint dev
580,Moscow,10 cpu,10 cores,10 nodes,6 memory,4 nets,9 linpack,9 peak,domestic dev
581,Moscow,1 cpu,4 cores,10 nodes,10 memory,5 nets,9 linpack,7 peak,foreign dev
582,not Moscow,10 cpu,10 cores,10 nodes,7 memory,5 nets,9 linpack,10 peak,domestic dev
583,not Moscow,7 cpu,7 cores,6 nodes,5 memory,10 nets,9 linpack,7 peak,joint dev
584,not Moscow,9 cpu,10 cores,9 nodes,9 memory,1 nets,10 linpack,10 peak,joint dev
585,not Moscow,3 cpu,9 cores,3 nodes,9 memory,10 nets,10 linpack,9 peak,foreign dev
586,Moscow,5 cpu,6 cores,6 nodes,3 memory,8 nets,10 linpack,10 peak,foreign dev
587,not Moscow,10 cpu,10 cores,10 nodes,8 memory,8 nets,10 linpack,10 peak,foreign dev
588,Moscow,1 cpu,1 cores,1 nodes,1 memory,4 nets,1 linpack,1 peak,domestic dev
589,Moscow,1 cpu,1 cores,1 nodes,1 memory,4 nets,1 linpack,1 peak,foreign dev
590,Moscow,1 cpu,1 cores,1 nodes,2 memory,10 nets,1 linpack,2 peak,domestic dev
591,Moscow,9 cpu,2 cores,9 nodes,2 memory,1 nets,2 linpack,1 peak,domestic dev
592,Moscow,2 cpu,2 cores,2 nodes,3 memory,2 nets,2 linpack,2 peak,foreign dev
593,not Moscow,2 cpu,2 cores,2 nodes,2 memory,7 nets,2 linpack,2 peak,domestic dev
594,Moscow,2 cpu,3 cores,2 nodes,1 memory,7 nets,3 linpack,3 peak,foreign dev
595,not Moscow,3 cpu,3 cores,3 nodes,5 memory,9 nets,3 linpack,3 peak,joint dev
596,not Moscow,4 cpu,4 cores,4 nodes,4 memory,3 nets,3 linpack,4 peak,foreign dev
597,not Moscow,3 cpu,3 cores,6 nodes,4 memory,3 nets,4 linpack,4 peak,joint dev
598,not Moscow,3 cpu,4 cores,3 nodes,8 memory,2 nets,4 linpack,4 peak,foreign dev
599,not Moscow,4 cpu,4 cores,3 nodes,10 memory,8 nets,4 linpack,5 peak,foreign dev
600,not Moscow,4 cpu,5 cores,4 nodes,4 memory,6 nets,5 linpack,5 peak,joint dev
601,not Moscow,5 cpu,5 cores,5 nodes,6 memory,8 nets,5 linpack,5 peak,domestic dev
602,Moscow,10 cpu,7 cores,10 nodes,8 memory,7 nets,5 linpack,3 peak,foreign dev
603,not Moscow,6 cpu,6 cores,5 nodes,7 memory,3 nets,5 linpack,6 peak,foreign dev
604,not Moscow,5 cpu,5 cores,4 nodes,5 memory,4 nets,6 linpack,6 peak,joint dev
605,not Moscow,10 cpu,9 cores,10 nodes,10 memory,6 nets,6 linpack,5 peak,domestic dev
606,not Moscow,8 cpu,6 cores,8 nodes,5 memory,5 nets,6 linpack,6 peak,domestic dev
607,not Moscow,7 cpu,6 cores,6 nodes,6 memory,9 nets,6 linpack,7 peak,foreign dev
608,not Moscow,7 cpu,7 cores,7 nodes,7 memory,5 nets,7 linpack,7 peak,foreign dev
609,not Moscow,5 cpu,5 cores,5 nodes,3 memory,10 nets,7 linpack,6 peak,joint dev
610,not Moscow,8 cpu,6 cores,8 nodes,3 memory,6 nets,7 linpack,8 peak,foreign dev
611,not Moscow,7 cpu,7 cores,7 nodes,8 memory,1 nets,7 linpack,7 peak,foreign dev
612,Moscow,5 cpu,8 cores,5 nodes,10 memory,10 nets,8 linpack,8 peak,foreign dev
613,not Moscow,10 cpu,7 cores,10 nodes,5 memory,6 nets,8 linpack,8 peak,domestic dev
614,not Moscow,7 cpu,8 cores,7 nodes,9 memory,8 nets,8 linpack,9 peak,domestic dev
615,not Moscow,6 cpu,8 cores,7 nodes,8 memory,9 nets,8 linpack,9 peak,domestic dev
616,not Moscow,6 cpu,8 cores,6 nodes,6 memory,9 nets,9 linpack,8 peak,domestic dev
617,not Moscow,10 cpu,10 cores,10 nodes,7 memory,5 nets,9 linpack,7 peak,domestic dev
618,Moscow,6 cpu,9 cores,6 nodes,9 memory,10 nets,9 linpack,9 peak,joint dev
619,not Moscow,9 cpu,10 cores,9 nodes,6 memory,5 nets,9 linpack,9 peak,foreign dev
620,not Moscow,9 cpu,10 cores,9 nodes,10 memory,8 nets,10 linpack,10 peak,domestic dev
621,Moscow,9 cpu,10 cores,9 nodes,7 memory,2 nets,10 linpack,10 peak,domestic dev
622,not Moscow,8 cpu,9 cores,8 nodes,9 memory,1 nets,10 linpack,10 peak,domestic dev
623,not Moscow,8 cpu,9 cores,8 nodes,9 memory,7 nets,10 linpack,10 peak,foreign dev
624,Moscow,1 cpu,1 cores,1 nodes,1 memory,8 nets,1 linpack,1 peak,domestic dev
625,Moscow,1 cpu,1 cores,1 nodes,1 memory,3 nets,1 linpack,1 peak,foreign dev
626,Moscow,2 cpu,2 cores,2 nodes,3 memory,10 nets,1 linpack,2 peak,domestic dev
627,not Moscow,1 cpu,1 cores,1 nodes,1 memory,6 nets,2 linpack,2 peak,domestic dev
628,Moscow,9 cpu,2 cores,9 nodes,3 memory,1 nets,2 linpack,1 peak,domestic dev
629,Moscow,2 cpu,2 cores,2 nodes,4 memory,1 nets,2 linpack,3 peak,foreign dev
630,not Moscow,6 cpu,4 cores,6 nodes,2 memory,4 nets,3 linpack,4 peak,joint dev
631,not Moscow,10 cpu,6 cores,10 nodes,6 memory,7 nets,3 linpack,2 peak,foreign dev
632,not Moscow,3 cpu,3 cores,3 nodes,2 memory,10 nets,3 linpack,3 peak,joint dev
633,Moscow,2 cpu,3 cores,2 nodes,2 memory,7 nets,4 linpack,4 peak,foreign dev
634,not Moscow,3 cpu,4 cores,3 nodes,6 memory,9 nets,4 linpack,5 peak,joint dev
635,not Moscow,5 cpu,5 cores,4 nodes,5 memory,3 nets,4 linpack,5 peak,foreign dev
636,not Moscow,4 cpu,4 cores,6 nodes,5 memory,1 nets,5 linpack,6 peak,joint dev
637,Moscow,8 cpu,7 cores,8 nodes,4 memory,8 nets,5 linpack,8 peak,domestic dev
638,not Moscow,4 cpu,5 cores,4 nodes,9 memory,2 nets,5 linpack,6 peak,foreign dev
639,not Moscow,4 cpu,5 cores,4 nodes,10 memory,10 nets,6 linpack,7 peak,foreign dev
640,not Moscow,3 cpu,3 cores,3 nodes,4 memory,4 nets,6 linpack,3 peak,joint dev
641,not Moscow,6 cpu,6 cores,5 nodes,8 memory,9 nets,6 linpack,7 peak,domestic dev
642,Moscow,10 cpu,9 cores,10 nodes,9 memory,7 nets,7 linpack,4 peak,foreign dev
643,not Moscow,6 cpu,7 cores,6 nodes,8 memory,2 nets,7 linpack,7 peak,foreign dev
644,not Moscow,5 cpu,6 cores,5 nodes,7 memory,2 nets,7 linpack,8 peak,joint dev
645,not Moscow,10 cpu,10 cores,10 nodes,10 memory,4 nets,8 linpack,6 peak,domestic dev
646,not Moscow,8 cpu,8 cores,8 nodes,7 memory,6 nets,8 linpack,8 peak,domestic dev
647,not Moscow,7 cpu,8 cores,7 nodes,8 memory,10 nets,8 linpack,9 peak,foreign dev
648,not Moscow,10 cpu,10 cores,10 nodes,10 memory,5 nets,8 linpack,5 peak,joint dev
649,not Moscow,7 cpu,8 cores,7 nodes,8 memory,5 nets,9 linpack,9 peak,foreign dev
650,not Moscow,9 cpu,9 cores,9 nodes,3 memory,8 nets,9 linpack,9 peak,foreign dev
651,not Moscow,9 cpu,8 cores,9 nodes,5 memory,8 nets,9 linpack,10 peak,foreign dev
652,not Moscow,7 cpu,7 cores,7 nodes,6 memory,6 nets,9 linpack,8 peak,foreign dev
653,not Moscow,8 cpu,9 cores,8 nodes,9 memory,3 nets,10 linpack,9 peak,foreign dev
654,Moscow,5 cpu,10 cores,5 nodes,10 memory,9 nets,10 linpack,10 peak,foreign dev
655,not Moscow,9 cpu,9 cores,9 nodes,7 memory,5 nets,10 linpack,10 peak,domestic dev
656,not Moscow,8 cpu,10 cores,8 nodes,9 memory,9 nets,10 linpack,10 peak,domestic dev
657,Moscow,1 cpu,1 cores,1 nodes,1 memory,3 nets,1 linpack,1 peak,domestic dev
658,Moscow,1 cpu,1 cores,1 nodes,1 memory,3 nets,1 linpack,1 peak,foreign dev
659,not Moscow,5 cpu,2 cores,4 nodes,4 memory,2 nets,1 linpack,1 peak,joint dev
660,Moscow,8 cpu,3 cores,8 nodes,7 memory,10 nets,2 linpack,2 peak,foreign dev
661,not Moscow,1 cpu,1 cores,1 nodes,10 memory,10 nets,2 linpack,2 peak,foreign dev
662,not Moscow,9 cpu,4 cores,9 nodes,7 memory,5 nets,2 linpack,3 peak,joint dev
663,not Moscow,2 cpu,2 cores,2 nodes,1 memory,7 nets,3 linpack,3 peak,domestic dev
664,Moscow,2 cpu,2 cores,2 nodes,5 memory,10 nets,3 linpack,4 peak,domestic dev
665,Moscow,9 cpu,4 cores,9 nodes,5 memory,1 nets,3 linpack,2 peak,domestic dev
666,not Moscow,9 cpu,5 cores,9 nodes,7 memory,5 nets,4 linpack,3 peak,joint dev
667,not Moscow,7 cpu,7 cores,7 nodes,2 memory,7 nets,4 linpack,4 peak,domestic dev
668,Moscow,8 cpu,8 cores,8 nodes,4 memory,9 nets,4 linpack,5 peak,domestic dev
669,not Moscow,7 cpu,3 cores,7 nodes,3 memory,8 nets,5 linpack,5 peak,domestic dev
670,Moscow,2 cpu,3 cores,2 nodes,6 memory,1 nets,5 linpack,5 peak,foreign dev
671,not Moscow,3 cpu,4 cores,3 nodes,5 memory,6 nets,5 linpack,6 peak,joint dev
672,not Moscow,6 cpu,7 cores,6 nodes,2 memory,7 nets,6 linpack,7 peak,joint dev
673,not Moscow,10 cpu,8 cores,10 nodes,8 memory,5 nets,6 linpack,4 peak,foreign dev
674,not Moscow,8 cpu,5 cores,7 nodes,3 memory,8 nets,6 linpack,8 peak,domestic dev
675,not Moscow,4 cpu,5 cores,4 nodes,2 memory,7 nets,7 linpack,6 peak,joint dev
676,Moscow,3 cpu,6 cores,3 nodes,3 memory,8 nets,7 linpack,6 peak,foreign dev
677,not Moscow,3 cpu,6 cores,3 nodes,8 memory,9 nets,7 linpack,8 peak,joint dev
678,not Moscow,4 cpu,6 cores,7 nodes,7 memory,3 nets,7 linpack,8 peak,joint dev
679,Moscow,8 cpu,10 cores,8 nodes,6 memory,6 nets,8 linpack,9 peak,domestic dev
680,not Moscow,4 cpu,7 cores,4 nodes,9 memory,1 nets,8 linpack,8 peak,foreign dev
681,not Moscow,7 cpu,9 cores,8 nodes,6 memory,6 nets,8 linpack,10 peak,domestic dev
682,not Moscow,5 cpu,7 cores,5 nodes,10 memory,10 nets,8 linpack,9 peak,foreign dev
683,not Moscow,6 cpu,9 cores,5 nodes,9 memory,9 nets,9 linpack,9 peak,domestic dev
684,Moscow,9 cpu,8 cores,9 nodes,4 memory,8 nets,9 linpack,10 peak,domestic dev
685,Moscow,10 cpu,10 cores,10 nodes,10 memory,4 nets,9 linpack,7 peak,foreign dev
686,not Moscow,10 cpu,10 cores,10 nodes,9 memory,4 nets,9 linpack,7 peak,joint dev
687,not Moscow,10 cpu,10 cores,10 nodes,10 memory,4 nets,10 linpack,7 peak,joint dev
688,not Moscow,6 cpu,9 cores,6 nodes,9 memory,2 nets,10 linpack,9 peak,foreign dev
689,not Moscow,5 cpu,8 cores,5 nodes,8 memory,2 nets,10 linpack,10 peak,joint dev
690,not Moscow,7 cpu,9 cores,6 nodes,8 memory,9 nets,10 linpack,10 peak,foreign dev
691,Moscow,1 cpu,1 cores,1 nodes,1 memory,6 nets,1 linpack,1 peak,domestic dev
692,Moscow,1 cpu,1 cores,1 nodes,1 memory,2 nets,1 linpack,1 peak,foreign dev
693,not Moscow,5 cpu,2 cores,5 nodes,4 memory,2 nets,1 linpack,1 peak,joint dev
694,Moscow,7 cpu,3 cores,7 nodes,9 memory,10 nets,2 linpack,2 peak,foreign dev
695,not Moscow,1 cpu,1 cores,1 nodes,10 memory,10 nets,2 linpack,2 peak,foreign dev
696,not Moscow,8 cpu,4 cores,8 nodes,7 memory,6 nets,2 linpack,3 peak,joint dev
697,not Moscow,2 cpu,2 cores,2 nodes,1 memory,8 nets,3 linpack,3 peak,domestic dev
698,Moscow,2 cpu,2 cores,2 nodes,5 memory,10 nets,3 linpack,4 peak,domestic dev
699,Moscow,8 cpu,4 cores,8 nodes,5 memory,1 nets,3 linpack,2 peak,domestic dev
700,not Moscow,9 cpu,5 cores,9 nodes,7 memory,5 nets,4 linpack,3 peak,joint dev
701,not Moscow,6 cpu,7 cores,6 nodes,2 memory,7 nets,4 linpack,4 peak,domestic dev
702,not Moscow,4 cpu,3 cores,4 nodes,2 memory,9 nets,4 linpack,4 peak,domestic dev
703,Moscow,7 cpu,8 cores,7 nodes,5 memory,7 nets,5 linpack,5 peak,domestic dev
704,not Moscow,6 cpu,3 cores,6 nodes,3 memory,8 nets,5 linpack,6 peak,domestic dev
705,Moscow,2 cpu,4 cores,2 nodes,6 memory,3 nets,5 linpack,5 peak,foreign dev
706,not Moscow,3 cpu,5 cores,3 nodes,6 memory,6 nets,6 linpack,6 peak,joint dev
707,not Moscow,6 cpu,7 cores,6 nodes,2 memory,9 nets,6 linpack,8 peak,joint dev
708,not Moscow,10 cpu,9 cores,9 nodes,8 memory,4 nets,6 linpack,6 peak,domestic dev
709,not Moscow,9 cpu,8 cores,10 nodes,8 memory,3 nets,6 linpack,5 peak,foreign dev
710,not Moscow,7 cpu,6 cores,7 nodes,4 memory,7 nets,7 linpack,9 peak,domestic dev
711,not Moscow,4 cpu,5 cores,4 nodes,3 memory,8 nets,7 linpack,7 peak,joint dev
712,not Moscow,8 cpu,9 cores,8 nodes,6 memory,1 nets,7 linpack,8 peak,foreign dev
713,Moscow,3 cpu,6 cores,3 nodes,3 memory,8 nets,7 linpack,6 peak,foreign dev
714,not Moscow,7 cpu,8 cores,7 nodes,7 memory,4 nets,8 linpack,7 peak,foreign dev
715,not Moscow,3 cpu,6 cores,3 nodes,8 memory,9 nets,8 linpack,9 peak,joint dev
716,Moscow,9 cpu,9 cores,9 nodes,7 memory,5 nets,8 linpack,7 peak,domestic dev
717,not Moscow,4 cpu,6 cores,6 nodes,6 memory,2 nets,8 linpack,9 peak,joint dev
718,not Moscow,5 cpu,7 cores,4 nodes,9 memory,3 nets,9 linpack,9 peak,foreign dev
719,not Moscow,5 cpu,7 cores,5 nodes,10 memory,10 nets,9 linpack,10 peak,foreign dev
720,not Moscow,6 cpu,9 cores,5 nodes,9 memory,9 nets,9 linpack,10 peak,domestic dev
721,Moscow,8 cpu,8 cores,8 nodes,4 memory,7 nets,9 linpack,10 peak,domestic dev
722,Moscow,10 cpu,10 cores,10 nodes,10 memory,5 nets,10 linpack,7 peak,foreign dev
723,not Moscow,10 cpu,10 cores,10 nodes,9 memory,4 nets,10 linpack,8 peak,joint dev
724,Moscow,9 cpu,10 cores,9 nodes,8 memory,1 nets,10 linpack,10 peak,foreign dev
725,not Moscow,10 cpu,10 cores,10 nodes,10 memory,6 nets,10 linpack,8 peak,joint dev
726,Moscow,1 cpu,1 cores,1 nodes,1 memory,3 nets,1 linpack,1 peak,domestic dev
727,Moscow,6 cpu,1 cores,5 nodes,1 memory,1 nets,1 linpack,1 peak,domestic dev
728,not Moscow,6 cpu,1 cores,6 nodes,5 memory,8 nets,1 linpack,1 peak,domestic dev
729,Moscow,1 cpu,2 cores,1 nodes,2 memory,2 nets,2 linpack,2 peak,foreign dev
730,not Moscow,6 cpu,10 cores,9 nodes,7 memory,3 nets,2 linpack,2 peak,joint dev
731,not Moscow,5 cpu,3 cores,5 nodes,1 memory,9 nets,2 linpack,4 peak,domestic dev
732,Moscow,9 cpu,3 cores,8 nodes,9 memory,10 nets,3 linpack,2 peak,foreign dev
733,not Moscow,1 cpu,2 cores,1 nodes,10 memory,10 nets,3 linpack,3 peak,foreign dev
734,not Moscow,9 cpu,5 cores,9 nodes,8 memory,5 nets,3 linpack,3 peak,joint dev
735,not Moscow,2 cpu,2 cores,2 nodes,2 memory,9 nets,4 linpack,4 peak,domestic dev
736,Moscow,2 cpu,3 cores,2 nodes,6 memory,10 nets,4 linpack,5 peak,domestic dev
737,Moscow,9 cpu,5 cores,9 nodes,5 memory,1 nets,4 linpack,3 peak,domestic dev
738,not Moscow,10 cpu,6 cores,10 nodes,8 memory,5 nets,5 linpack,4 peak,joint dev
739,not Moscow,4 cpu,4 cores,4 nodes,2 memory,8 nets,5 linpack,5 peak,domestic dev
740,Moscow,8 cpu,8 cores,8 nodes,5 memory,6 nets,5 linpack,6 peak,domestic dev
741,not Moscow,8 cpu,4 cores,7 nodes,4 memory,7 nets,6 linpack,6 peak,domestic dev
742,Moscow,2 cpu,4 cores,2 nodes,6 memory,3 nets,6 linpack,6 peak,foreign dev
743,not Moscow,3 cpu,5 cores,3 nodes,6 memory,6 nets,6 linpack,7 peak,joint dev
744,not Moscow,7 cpu,8 cores,6 nodes,3 memory,6 nets,7 linpack,9 peak,joint dev
745,not Moscow,10 cpu,10 cores,10 nodes,9 memory,4 nets,7 linpack,7 peak,domestic dev
746,not Moscow,10 cpu,9 cores,10 nodes,9 memory,4 nets,7 linpack,5 peak,foreign dev
747,not Moscow,8 cpu,6 cores,8 nodes,4 memory,7 nets,8 linpack,9 peak,domestic dev
748,not Moscow,4 cpu,6 cores,4 nodes,3 memory,8 nets,8 linpack,8 peak,joint dev
749,not Moscow,9 cpu,10 cores,9 nodes,8 memory,1 nets,8 linpack,9 peak,foreign dev
750,Moscow,3 cpu,7 cores,3 nodes,4 memory,7 nets,8 linpack,7 peak,foreign dev
751,not Moscow,8 cpu,9 cores,8 nodes,9 memory,4 nets,9 linpack,8 peak,foreign dev
752,not Moscow,3 cpu,7 cores,3 nodes,7 memory,10 nets,9 linpack,8 peak,foreign dev
753,Moscow,10 cpu,10 cores,10 nodes,8 memory,5 nets,9 linpack,8 peak,domestic dev
754,not Moscow,4 cpu,7 cores,7 nodes,7 memory,2 nets,9 linpack,9 peak,joint dev
755,not Moscow,5 cpu,8 cores,4 nodes,10 memory,2 nets,10 linpack,10 peak,foreign dev
756,not Moscow,5 cpu,8 cores,5 nodes,10 memory,9 nets,10 linpack,10 peak,foreign dev
757,Moscow,7 cpu,9 cores,7 nodes,3 memory,8 nets,10 linpack,10 peak,foreign dev
758,not Moscow,7 cpu,9 cores,6 nodes,10 memory,9 nets,10 linpack,10 peak,domestic dev
759,Moscow,1 cpu,1 cores,1 nodes,1 memory,4 nets,1 linpack,1 peak,domestic dev
760,Moscow,5 cpu,1 cores,5 nodes,1 memory,1 nets,1 linpack,1 peak,domestic dev
