,place,cpu,cores,nodes,memory,nets,linpack,peak,developer
284,not Moscow,4 cpu,3 cores,3 nodes,10 memory,7 nets,2 linpack,2 peak,domestic dev
285,Moscow,2 cpu,2 cores,2 nodes,5 memory,6 nets,3 linpack,3 peak,foreign dev
286,not Moscow,5 cpu,3 cores,4 nodes,3 memory,7 nets,3 linpack,2 peak,domestic dev
287,not Moscow,3 cpu,2 cores,3 nodes,2 memory,5 nets,3 linpack,3 peak,domestic dev
288,not Moscow,10 cpu,4 cores,8 nodes,10 memory,2 nets,3 linpack,3 peak,domestic dev
289,not Moscow,8 cpu,7 cores,7 nodes,5 memory,2 nets,3 linpack,4 peak,domestic dev
290,not Moscow,4 cpu,5 cores,3 nodes,4 memory,3 nets,4 linpack,4 peak,joint dev
291,Moscow,10 cpu,6 cores,8 nodes,8 memory,5 nets,4 linpack,4 peak,domestic dev
292,Moscow,5 cpu,4 cores,10 nodes,2 memory,7 nets,4 linpack,4 peak,joint dev
293,Moscow,3 cpu,4 cores,2 nodes,4 memory,9 nets,4 linpack,3 peak,domestic dev
294,not Moscow,4 cpu,5 cores,3 nodes,7 memory,5 nets,4 linpack,4 peak,joint dev
295,Moscow,3 cpu,3 cores,2 nodes,4 memory,3 nets,5 linpack,5 peak,foreign dev
296,Moscow,8 cpu,6 cores,5 nodes,7 memory,3 nets,5 linpack,5 peak,foreign dev
297,not Moscow,10 cpu,8 cores,8 nodes,7 memory,9 nets,5 linpack,5 peak,domestic dev
298,not Moscow,4 cpu,5 cores,3 nodes,8 memory,10 nets,5 linpack,5 peak,domestic dev
299,Moscow,9 cpu,6 cores,7 nodes,3 memory,1 nets,5 linpack,7 peak,domestic dev
300,Moscow,5 cpu,7 cores,4 nodes,6 memory,6 nets,6 linpack,6 peak,joint dev
301,Moscow,9 cpu,6 cores,7 nodes,3 memory,1 nets,6 linpack,7 peak,domestic dev
302,not Moscow,9 cpu,8 cores,7 nodes,9 memory,4 nets,6 linpack,6 peak,domestic dev
303,Moscow,10 cpu,8 cores,9 nodes,1 memory,10 nets,6 linpack,9 peak,domestic dev
304,not Moscow,6 cpu,7 cores,4 nodes,6 memory,2 nets,6 linpack,8 peak,foreign dev
305,not Moscow,10 cpu,10 cores,9 nodes,10 memory,2 nets,7 linpack,9 peak,domestic dev
306,Moscow,2 cpu,3 cores,9 nodes,3 memory,8 nets,7 linpack,5 peak,foreign dev
307,Moscow,5 cpu,6 cores,4 nodes,8 memory,8 nets,7 linpack,6 peak,joint dev
308,not Moscow,7 cpu,9 cores,9 nodes,5 memory,10 nets,7 linpack,8 peak,joint dev
309,not Moscow,7 cpu,9 cores,10 nodes,3 memory,7 nets,7 linpack,8 peak,foreign dev
310,Moscow,9 cpu,9 cores,8 nodes,7 memory,3 nets,8 linpack,9 peak,domestic dev
311,not Moscow,6 cpu,7 cores,5 nodes,8 memory,8 nets,8 linpack,8 peak,foreign dev
312,Moscow,6 cpu,7 cores,5 nodes,9 memory,7 nets,8 linpack,9 peak,joint dev
313,Moscow,6 cpu,8 cores,5 nodes,9 memory,8 nets,8 linpack,8 peak,joint dev
314,not Moscow,7 cpu,9 cores,6 nodes,9 memory,5 nets,8 linpack,10 peak,domestic dev
315,not Moscow,9 cpu,10 cores,7 nodes,6 memory,2 nets,9 linpack,10 peak,domestic dev
