N,Место,Кол-во CPU/ядер,Архитектура(тип процессора / сеть),Производительность Linpack Пиковая,Разработчик
1,Москва МСЦ РАН 2005 г.,1148/1148,узлов: 574 (2xPowerPC 970 2.2 GHz 4 GB RAM) сеть: Myrinet/2xGigabit Ethernet,6.68 10.10,"ФГУП ""Квант"", ИПМ РАН, МСЦ"
2,Минск ОИПИ НАНБ 2004 г.,576/576,узлов: 288 (2xOpteron 248 2.2 GHz 4 GB RAM) сеть: InfiniBand/Gigabit Ethernet/СКИФ-ServNet,2.03 2.53,СКИФ
3,Москва МСЦ РАН 2005 г.,256/256,узлов: 128 (2xItanium 2 1.5 GHz 2.048 GB RAM) сеть: Myrinet 2000/Gigabit Ethernet/Fast Ethernet,1.29 1.54,Hewlett-Packard
4,Рыбинск НПО Сатурн 2005 г.,128/128,узлов: 64 (2xXeon EM64T 3.6 GHz 4.096 GB RAM) сеть: InfiniBand/Gigabit Ethernet,0.77 0.92,IBM/КРОК
5,Москва 2005 г.,128/128,узлов: 2 (64xPOWER5 1.9 GHz 256 GB RAM) сеть: Gigabit Ethernet,0.64 0.97,IBM/КРОК
6,Москва Paradigm Geophysical 2005 г.,152/152,узлов: 76 (2xXeon EM64T 3.4 GHz 4.096 GB RAM) сеть: Gigabit Ethernet/Gigabit Ethernet,0.59 1.03,Т-Платформы
7,Москва НИВЦ МГУ 2004 г.,160/160,узлов: 80 (2xOpteron 248 2.2 GHz 4 GB RAM) сеть: InfiniBand/Gigabit Ethernet/Fast Ethernet,0.51 0.70,Hewlett-Packard
8,Ереван ИПИА НАН РА 2004 г.,128/128,узлов: 64 (2xXeon 3 GHz 1 GB RAM) сеть: Myrinet/Gigabit Ethernet,0.48 0.78,"ИПИА НАН РА, ИСП РАН, C.I.Technology"
9,Минск ОИПИ НАНБ 2003 г.,128/128,узлов: 64 (2xXeon 2.8 GHz 2 GB RAM) сеть: SCI/Gigabit Ethernet/СКИФ-ServNet,0.48 0.72,СКИФ
10,Москва Landmark 2005 г.,86/86,узлов: 42 (2xXeon EM64T 3.6 GHz 4 GB RAM) узлов: 1 (2xXeon EM64T 3.6 GHz 2 GB RAM) сеть: Gigabit Ethernet,0.44 0.62,IBM/Verysel-проекты
11,Москва СберБанк 2003 г.,256/256,HP SuperDome PA-RISC 750 MHz,0.44 0.77,Hewlett-Packard
12,Новосибирск 2006 г.,76/76,узлов: 38 (2xItanium 2 1.6 GHz 4 GB RAM) сеть: InfiniBand,0.36 0.49,Hewlett-Packard
13,Москва Schlumberger 2005 г.,104/104,узлов: 48 (2xXeon EM64T 2.4 GHz 2 GB RAM) узлов: 1 (2xXeon EM64T 2.8 GHz 2 GB RAM) узлов: 1 (2xXeon EM64T 3 GHz 2 GB RAM) сеть: Gigabit Ethernet,0.35 0.59,IBM/X-COM
14,Москва 2005 г.,208/208,узлов: 1 (64xPA-RISC 8800 1 GHz 128 GB RAM) узлов: 1 (64xPA-RISC 8700 750 MHz 112 GB RAM) узлов: 1 (48xPA-RISC 8700+ 875 MHz 96 GB RAM) узлов: 1 (32xPA-8600 650 MHz 32 GB RAM) сеть: Gigabit Ethernet,0.35 0.70,Hewlett-Packard
16,Екатеринбург 2004 г.,64/64,узлов: 1 (32xPOWER4+ 1.9 GHz 128 GB RAM) узлов: 1 (16xPOWER4+ 1.9 GHz 64 GB RAM) узлов: 1 (16xPOWER5 1.9 GHz 64 GB RAM) сеть: Gigabit Ethernet,0.34 0.49,IBM/КРОК
15,Самара 2005 г.,64/64,узлов: 2 (32xPOWER5 1.9 GHz 224 GB RAM) сеть: Gigabit Ethernet,0.34 0.49,IBM
17,Москва МСЦ РАН 2005 г.,384/384,узлов: 192 (2xAlpha 21264A 667 MHz 1 GB RAM) сеть: Myrinet 2000/Fast Ethernet,0.32 0.51,"ФГУП ""Квант"", ИПМ РАН, МСЦ"
18,Бугульма ТатНефтеГеофизика 2005 г.,72/72,узлов: 26 (2xXeon EM64T 3.6 GHz 4 GB RAM) узлов: 8 (2xXeon EM64T 3.6 GHz 2 GB RAM) сеть: Gigabit Ethernet,0.31 0.49,IBM/ROY Int
19,Москва СевМорНефтеГеофизика 2005 г.,68/68,узлов: 1 (2xXeon EM64T 3.6 GHz 2 GB RAM) узлов: 32 (2xXeon EM64T 3.6 GHz 3 GB RAM) сеть: Gigabit Ethernet,0.29 0.48,IBM/Inline
