,Affiliation,Year,Cpu,Cores,Nodes,Memory,Nets,Linpack,Peak,GRPperCapita,Num of Systems
0,ИБХ РАН,2006,48.0,48.0,24.0,96.0,2.5,0.18,0.23,477873.0,1
1,КРСУ,2006,64.0,64.0,32.0,65.536,2.0,0.29,0.38,0.0,1
2,Курчатовский институт,2006,36.0,36.0,18.0,73.72800000000001,2.5,0.16,0.24,477873.0,1
3,МГУ,2006,184.0,184.0,92.0,369.152,3.5,0.67,0.9099999999999999,955746.0,1
4,СВФУ,2006,34.0,34.0,17.0,139.264,2.5,0.28,0.33,216535.9,1
5,СПбГПУ,2006,24.0,24.0,12.0,98.304,1.0,0.16,0.21,174432.8,1
6,ФГУП ЦНИИмаш,2006,49.0,49.0,38.0,50.176,1.0,0.2,0.31,137092.1,1
7,ЮУрГУ,2006,52.0,52.0,26.0,52.0,2.5,0.27,0.33,127442.5,1
