N,Место,Кол-во CPU/ядер,Архитектура(тип процессора / сеть),Производительность Linpack Пиковая,Разработчик
39,Уфа УГАТУ 2007 г.,532/2128,узлов: 266 (2xXeon 5345 2.333 GHz 8.192 GB RAM) сеть: InfiniBand/Gigabit Ethernet/Gigabit Ethernet,15.33 19.86,АйТи/IBM
40,Москва Государственный сектор 2012 г.,50/880,узлов: 10 (2xXeon E5-2670 2.6 GHz 128 GB RAM) узлов: 15 (2xXeon E5-2660 [Acc: 2x Tesla M2090] 2.2 GHz 128 GB RAM) сеть: Infiniband QDR/Gigabit Ethernet/Gigabit Ethernet,14.68 27.50,Т-Платформы
41,Таганрог РОЦ НИТ Таганрогский Технологический Институт Южного Федерального Университета 2008 г.,518/2072,узлов: 128 (4xOpteron 8356 2.3 GHz 32 GB RAM) узлов: 2 (2xOpteron 2356 2.3 GHz 8 GB RAM) узлов: 1 (2xXeon E5430 2.66 GHz 8 GB RAM) сеть: Infiniband 4x DDR/Gigabit Ethernet/Gigabit Ethernet,14.51 18.84,Hewlett Packard / КРОК
42,"Киров ""Междисциплинарный центр компетенций в области аэробиологии, микробиологии и нанотехнологий"" ГОУ ВПО ""Вятский государственный университет"" 2008 г.",480/1920,узлов: 240 (2xXeon 5345 2.33 GHz 4.096 GB RAM) сеть: Infiniband 4x DDR/2xGigabit Ethernet/Gigabit Ethernet,13.96 17.89,Hewlett-Packard
43,Москва Росгидромет 2008 г.,354/1416,узлы: (Xeon E5440 2.83 GHz) сеть: Infiniband 4x DDR,13.68 16.03,SGI
44,Красноярск СФУ 2007 г.,452/1808,узлов: 226 (2xXeon 53xx 2.333 GHz) сеть: InfiniBand/Gigabit Ethernet/Gigabit Ethernet,13.06 16.87,IBM
45,Челябинск Южно-Уральский государственный университет 2008 г.,332/1328,узлов: 166 (2xXeon E5472 3 GHz 8.192 GB RAM) сеть: InfiniBand/Gigabit Ethernet/СКИФ-ServNet,12.36 15.94,Т-Платформы
46,Москва Промышленность 2011 г.,100/1600,узлов: 50 (2xOpteron 6276 2.3 GHz 128 GB RAM) сеть: Infiniband QDR/Gigabit Ethernet/Gigabit Ethernet,12.02 15.00,Т-Платформы
47,Москва Московский государственный университет имени М.В.Ломоносова 2011 г.,32/864,узлов: 16 (2xXeon X5650 [Acc: 3xTesla M2050] 2.666 GHz 48 GB RAM) сеть: Infiniband QDR/Gigabit Ethernet/Gigabit Ethernet,11.98 26.76,Hewlett-Packard
48,Новосибирск Информационно-вычислительный центр Новосибирский государственный университет 2011 г.,24/720,узлов: 12 (5xXeon X5670 [Acc: 3xTesla M2090] 2.933 GHz 112.807 GB RAM) сеть: Infiniband QDR/Gigabit Ethernet/Fast Ethernet,11.91 23.94,"Hewlett Packard, Нонолет"
49,Москва Геофизическая компания 2012 г.,92/736,узлов: 44 (2xXeon E5-2665 2.4 GHz 64 GB RAM) сеть: Infiniband FDR/Gigabit Ethernet/Gigabit Ethernet,11.42 14.13,IBM
50,Якутск Центр вычислительных технологий Северо-Восточный Федеральный Университет имени М.К.Аммосова 2011 г.,26/702,узлов: 13 (2xXeon X5675 [Acc: 3xTesla M2070] 3.067 GHz 48.282 GB RAM) сеть: Infiniband QDR/Gigabit Ethernet/Fast Ethernet,11.12 22.52,"Hewlett-Packard, INLINE Group"
