N,Место,Кол-во CPU/ядер,Архитектура(тип процессора / сеть),Производительность Linpack Пиковая,Разработчик
1,Москва Московский государственный университет имени М.В.Ломоносова 2012 г.,12422/82468,узлов: 4160 (2xXeon 5570 2.93 GHz 12 GB RAM) узлов: 260 (2xXeon 5570 2.93 GHz 24 GB RAM) узлов: 640 (2xXeon 5670 2.93 GHz 24 GB RAM) узлов: 40 (2xXeon 5670 2.93 GHz 48 GB RAM) узлов: 30 (2xPowerXCell 8i 3.2 GHz 16 GB RAM) узлов: 777 (2xXeon E5630 [Acc: 2xTesla X2070] 2.53 GHz 12 GB RAM) узлов: 288 (2xXeon E5630 [Acc: 2xTesla X2070] 2.53 GHz 24 GB RAM) узлов: 4 (4xXeon E7650 2.26 GHz 512 GB RAM) сеть: Infiniband QDR/Gigabit Ethernet/Gigabit Ethernet,901.90 1700.21,Т-Платформы
2,Москва ФГБУН Межведомственный суперкомпьютерный центр Российская академия наук 2009 г.,2370/13004,узлов: 74 (2xXeon X5670 2.93 GHz 12.288 GB RAM) узлов: 192 (2xXeon 5365 3 GHz 8.192 GB RAM) узлов: 990 (2xXeon E5450 3 GHz 8.192 GB RAM) узлов: 19 (2xXeon X5675 [Acc: 8x Tesla M2090] 3 GHz 196.608 GB RAM) сеть: Infiniband 4x DDR/2xGigabit Ethernet/Gigabit Ethernet,119.93 227.84,Hewlett-Packard
3,Москва РНЦ Курчатовский институт 2010 г.,2576/10304,узлы: (Xeon E5472 3 GHz) сеть: Infiniband 4x DDR/Gigabit Ethernet/Gigabit Ethernet,101.21 123.65,Hewlett-Packard
4,Челябинск Южно-Уральский государственный университет 2010 г.,1472/8832,"СКИФ ряд 4 Xeon X5680 3.33 GHz Трехмерный тор 60 Gbits, макс. задержка 1 мкс, InfiniBand QDR 40 Gbits",100.35 117.64,Группа компаний РСК
5,Екатеринбург Институт математики и механики УрО РАН 2011 г.,476/5544,узлов: 20 (2xXeon X5675 GPU 8xTesla M2050 3.06 GHz 48 GB RAM) узлов: 10 (2xXeon X5675 GPU 8xTesla M2090 3.06 GHz 192 GB RAM) узлов: 192 (2xXeon E5450 3 GHz 16 GB RAM) узлов: 16 (2xXeon E5450 3 GHz 32 GB RAM) сеть: Infiniband 4x DDR/Gigabit Ethernet/Gigabit Ethernet,75.20 160.00,"Hewlett-Packard, Открытые технологии"
6,"Москва НИЦ ""Курчатовский институт"" 2012 г.",160/4320,узлов: 76 (2xXeon X5650 [Acc: 3xTesla M2070] 2.67 GHz 24 GB RAM) узлов: 4 (2xXeon X5670 [Acc: 3x Tesla M2050] 2.93 GHz 24 GB RAM) сеть: Gigabit Ethernet/Infiniband QDR/Fast Ethernet,69.60 133.90,Hewlett-Packard
7,не указан Web Content Provider,2004/12024,узлов: 1002 (2xXeon E5645 2.4 GHz) сеть: Gigabit Ethernet,59.90 115.43,Hewlett-Packard
8,Нижний Новгород Нижегородский государственный университет им. Н.И. Лобачевского 2011 г.,120/3040,узлов: 50 (2xSandy Bridge E5-2660 [Acc: 2xTesla M2090] 2.2 GHz 65.536 GB RAM) узлов: 10 (2xSandy Bridge E5-2660 [Acc: 3xTesla M2090] 2.2 GHz 65.536 GB RAM) сеть: Infiniband QDR/Gigabit Ethernet/Gigabit Ethernet,51.86 103.31,"Ниагара Компьютерс, Supermicro"
9,Москва Государственный сектор 2011 г.,1462/8772,узлы: (Xeon X5630 2.53 GHz) сеть: Gigabit Ethernet,49.43 88.77,IBM
10,"Томск Межрегиональный супервычислительный центр ТГУ ""Томский государственный университет 2011 г.",1280/5424,узлов: 282 (2xXeon 5150 2.66 GHz 8.192 GB RAM) узлов: 190 (2xXeon 5670 2.93 GHz 24.576 GB RAM) узлов: 40 (2xXeon 5670 2.93 GHz 49.152 GB RAM) узлов: 128 (2xXeon 5670 2.93 GHz 24.576 GB RAM) сеть: Infiniband QDR/Gigabit Ethernet/Gigabit Ethernet,47.88 62.35,Т-Платформы
11,Москва Московский государственный университет имени М.В.Ломоносова 2008 г.,1250/5000,узлов: 529 (2xXeon E5472 3 GHz 8.192 GB RAM) узлов: 64 (2xXeon E5472 3 GHz 8.192 GB RAM) узлов: 32 (2xXeon E5472 3 GHz 16.384 GB RAM) узлов: 8 (2xXeon E5472 3 GHz 32.768 GB RAM) сеть: InfiniBand/Gigabit Ethernet/СКИФ-ServNet + IPMI,47.32 60.00,СКИФ
12,Москва Государственный сектор 2011 г.,1346/8076,узлы: (Xeon X5630 2.53 GHz) сеть: Gigabit Ethernet,45.51 81.73,IBM
13,Москва Банковский сектор 2011 г.,1320/7920,узлы: (Xeon X5630 2.53 GHz) сеть: Gigabit Ethernet,44.63 80.15,IBM
14,Москва Банковский сектор 2011 г.,1320/7920,узлы: (Xeon X5630 2.53 GHz) сеть: Gigabit Ethernet,44.63 80.15,IBM
15,Москва ИПМ им. М.В.Келдыша РАН 2010 г.,128/3456,"узлов: 64 (2xXeon X5670 [Acc: 3xTesla C2050] 2.93 GHz 96 GB RAM) сеть: ""МВС-экспресс""/InfiniBand/Gigabit Ethernet",41.14 107.90,"ИПМ им. М.В.Келдыша РАН, ООО НПО ""Роста"", ФГУП ""НИИ ""КВАНТ"""
16,Новосибирск ССКЦ ИВМиМГ СО РАН 2011 г.,80/2400,узлов: 40 (2xXeon X5670 [Acc: 3xTesla M2090] 3.07 GHz 98.304 GB RAM) сеть: Infiniband QDR/Gigabit Ethernet/Gigabit Ethernet,38.21 85.69,"Hewlett-Packard, Нонолет"
17,Москва Банковский сектор 2009 г.,1650/6600,узлы: (Xeon E5540 2.53 GHz) сеть: Gigabit Ethernet,38.10 66.79,IBM
18,Москва Classified 2010 г.,1624/6496,узлы: (Xeon E5540 2.53 GHz) сеть: Gigabit Ethernet,37.50 65.74,IBM
19,Москва IT-Services 2010 г.,1586/6344,узлы: (Xeon E5540 2.53 GHz) сеть: Gigabit Ethernet,36.62 64.20,IBM
20,Долгопрудный Лаборатория I-SCALARE Московский физико-технический институт государственный университет 2012 г.,224/1792,узлов: 112 (2xXeon E5-2690 2.9 GHz 65.536 GB RAM) сеть: Infiniband QDR/Gigabit Ethernet/IPMI,36.28 41.57,Группа компаний РСК
21,Нижний Новгород ОАО ЦНИИ Буревестник 2012 г.,512/3520,узлов: 240 (2xXeon 5675 3.06 GHz 48 GB RAM) узлов: 16 (2xXeon L5630 [Acc: 2x Tesla X2070] 2.13 GHz 24 GB RAM) сеть: Infiniband QDR/Gigabit Ethernet/Gigabit Ethernet,35.26 57.62,ОАО Т-Платформы
22,Москва Государственный сектор 2009 г.,1414/5656,узлы: (Xeon E5540 2.53 GHz) сеть: Gigabit Ethernet,32.65 57.24,IBM
23,"Москва ФГБУ ""ГВЦ Росгидромета"" 2012 г.",192/1536,узлов: 96 (2xXeon E5-2690 2.9 GHz 65.536 GB RAM) сеть: Infiniband QDR/Gigabit Ethernet/IPMI,32.09 35.64,Группа компаний РСК
24,Москва Государственный сектор 2010 г.,1374/5496,узлы: (Xeon E5540 2.53 GHz) сеть: Gigabit Ethernet,31.72 55.62,IBM
25,Москва Государственный сектор 2010 г.,1216/4864,узлы: (Xeon E5540 2.53 GHz) сеть: Gigabit Ethernet,28.00 49.22,IBM
26,Москва Государственный сектор 2010 г.,1096/4384,узлы: (Xeon X5550 2.666 GHz) сеть: Gigabit Ethernet,26.70 46.75,IBM
27,Иркутск ИДСТУ СО РАН 2012 г.,220/3520,узлов: 110 (2xOpteron 6276 2.3 GHz 64 GB RAM) сеть: Infiniband QDR/Gigabit Ethernet/Gigabit Ethernet,25.12 33.70,Т-Платформы
28,Москва РНЦ Курчатовский институт 2008 г.,864/3456,узлов: 32 (2xXeon 5365 3 GHz 32.768 GB RAM) узлов: 64 (2xXeon 5365 3 GHz 16.384 GB RAM) узлов: 336 (2xXeon 5345 2.333 GHz 8.192 GB RAM) сеть: Infiniband 4x DDR/Gigabit Ethernet/Gigabit Ethernet,25.08 34.27,Hewlett-Packard
29,Москва Факультет Вычислительной математики и кибернетики МГУ имени М.В.Ломоносова 2008 г.,2048/8192,Blue Gene/P IBM Power PC 850 MHz BlueGene/P proprietary,23.86 27.85,IBM
30,"Новосибирск ССКЦ ИВМиМГ, ИЦиГ СО РАН 2009 г.",576/2688,узлов: 64 (2xXeon E5450 3 GHz 16.384 GB RAM) узлов: 128 (2xXeon E5540 2.53 GHz 16.384 GB RAM) узлов: 96 (2xXeon X5670 2.93 GHz 24.576 GB RAM) сеть: Infiniband QDR/Gigabit Ethernet/Gigabit Ethernet,21.92 30.01,"Hewlett-Packard, Нонолет"
31,Якутск Центр прикладных вычислительных технологий Северо-Восточный федеральный университет имени М.К.Аммосова 2011 г.,320/1920,узлов: 160 (2xXeon X5675 3.06 GHz 49.152 GB RAM) сеть: Infiniband QDR/Gigabit Ethernet/Fast Ethernet,20.21 23.50,"Hewlett-Packard, INLINE Group"
32,Белгород НИУ БелГУ 2012 г.,40/980,узлов: 40 (2xXeon E2665 [Acc: 2x Tesla M2090] 2.4 GHz 64 GB RAM) сеть: Infiniband QDR/Gigabit Ethernet/Gigabit Ethernet,19.47 32.74,Т-Платформы
33,Санкт-Петербург Ресурсный центр Вычислительный центр СПбГУ ФГБОУ ВПО Санкт-Петербургский государственный университет 2011 г.,48/1536,узлов: 24 (2xXeon X5675 [Acc: 3xTesla M2070] 3.06 GHz 98.304 GB RAM) сеть: Infiniband QDR/Gigabit Ethernet/Fast Ethernet,17.66 40.14,Hewlett Packard
34,Санкт-Петербург Отделение гидродинамики ФГУП ЦНИИ Крылова 2011 г.,200/2400,узлов: 100 (2xOpteron 6174 2.2 GHz 65.536 GB RAM) сеть: Infiniband QDR/Gigabit Ethernet/Gigabit Ethernet,17.38 21.12,Т-Платформы
35,Новосибирск Информационно-вычислительный центр Новосибирский государственный университет 2008 г.,524/2512,узлов: 64 (2xXeon 5355 2.66 GHz 16.051 GB RAM) узлов: 96 (2xXeon E5540 2.53 GHz 16.041 GB RAM) узлов: 1 (4xXeon 7350 2.933 GHz 128.944 GB RAM) узлов: 1 (8xXeon X7560 2.266 GHz 2097.152 GB RAM) узлов: 96 (2xXeon X5670 2.932 GHz 24.105 GB RAM) сеть: Infiniband QDR/Gigabit Ethernet/Fast Ethernet,17.32 27.52,"Hewlett Packard, Нонолет"
36,Нижний Новгород 2012 г.,124/992,узлов: 62 (2xXeon E5-2680 2.7 GHz 64 GB RAM) сеть: Infiniband FDR/Gigabit Ethernet/Gigabit Ethernet,17.31 21.43,IBM
37,Москва Государственный сектор 2010 г.,582/2328,узлов: 112 (2xXeon X5570 2.93 GHz 24 GB RAM) узлов: 179 (2xXeon X5460 3.16 GHz 24 GB RAM) сеть: 10 Gigabit Ethernet/Gigabit Ethernet/Gigabit Ethernet,17.09 28.60,IBM
38,Пермь Промышленность 2012 г.,172/1400,узлов: 42 (2xOpteron 2435 2.6 GHz 32 GB RAM) узлов: 44 (2xXeon E5-2680 2.7 GHz 32 GB RAM) узлов: 4 (2xXeon E5-2680 [Acc: 2x Tesla M2090] 2.7 GHz 64 GB RAM) сеть: Infiniband QDR/Gigabit Ethernet/Gigabit Ethernet,16.59 27.03,IBM
