,Affiliation,Year,Q1,Q2,Q3,Q4,Top10
0,МГУ,2006,935,724,1132,1701,437
1,КРСУ,2006,2,1,6,5,1
2,СВФУ,2006,1,4,5,4,1
3,ЮУрГУ,2006,0,0,10,37,0
4,ФГУП ЦНИИмаш,2006,8,3,10,12,3
5,ИБХ РАН,2006,76,63,51,64,39
6,Курчатовский институт,2006,142,110,101,180,72
7,СПбГПУ,2006,74,54,124,198,38
