,Affiliation,Year,Q1,Q2,Q3,Q4,Top10
0,МГУ,2016,1872,1393,2249,2068,1080
1,СПбГПУ,2016,407,284,573,447,262
2,Курчатовский институт,2016,272,223,360,274,194
3,ННГУ,2016,213,251,394,299,78
4,ЮУрГУ,2016,35,147,113,233,19
5,ИММ УРО РАН,2016,8,16,69,107,3
6,ИПА РАН,2016,1,2,10,5,0
7,ТГУ,2016,595,378,768,800,329
8,МФТИ,2016,629,362,557,379,389
9,ИПМ им. М.В.Келдыша РАН,2016,23,30,135,88,11
10,ИВМиМГ СО РАН,2016,10,22,60,58,4
11,ФГУП ЦНИИ Крылова,2016,1,1,8,4,0
