,Affiliation,Year,Q1,Q2,Q3,Q4,Top10
0,МГУ,2017,2041,1414,2322,2177,1138
1,СПбГПУ,2017,414,291,553,529,269
2,Курчатовский институт,2017,382,269,358,353,226
3,ННГУ,2017,160,202,403,341,81
4,ЮУрГУ,2017,93,166,243,191,57
5,ИММ УРО РАН,2017,11,25,124,110,2
6,ИПА РАН,2017,1,5,7,4,1
7,ТГУ,2017,537,351,537,663,364
8,МФТИ,2017,695,414,511,458,472
9,ИДСТУ СО РАН,2017,9,24,36,41,5
10,Сколтех,2017,249,102,87,69,169
11,ИВМиМГ СО РАН,2017,11,29,55,66,6
12,ИАПУ ДВО РАН,2017,24,15,49,72,15
13,ИПМ им. М.В.Келдыша РАН,2017,40,56,108,139,16
14,ВолгГТУ,2017,10,49,134,195,6
15,МИСиС,2017,439,214,382,311,245
