,Affiliation,Year,Q1,Q2,Q3,Q4,Top10
0,МГУ,2015,1809,1242,1861,1929,872
1,СПбГПУ,2015,404,323,480,444,193
2,Курчатовский институт,2015,316,221,228,192,133
3,ННГУ,2015,275,260,387,260,100
4,ЮУрГУ,2015,25,131,116,174,10
5,ИММ УРО РАН,2015,8,17,36,90,3
6,ИПА РАН,2015,5,2,9,4,0
7,МФТИ,2015,660,393,399,333,268
8,ТГУ,2015,552,385,725,738,251
9,ИПМ им. М.В.Келдыша РАН,2015,35,53,66,102,6
10,ИВМиМГ СО РАН,2015,5,12,56,65,2
11,ФГУП ЦНИИ Крылова,2015,2,0,13,14,0
12,МИСиС,2015,298,169,303,338,153
13,ИДСТУ СО РАН,2015,7,15,25,25,1
