N,Место,Кол-во CPU/ядер,Архитектура(тип процессора / сеть),Производительность Linpack Пиковая,Разработчик
18,Санкт-Петербург Институт прикладной астрономии РАН 2014 г.,80/1680,узлов: 32 (2xXeon E5-2670 [Acc: 2x Tesla K20] 2.6 GHz 64 GB RAM) узлов: 8 (2xXeon E5-2670 [Acc: 2x Tesla K20] 2.6 GHz 64 GB RAM) сеть: Infiniband FDR/Gigabit Ethernet/Gigabit Ethernet,85.34 106.91,Т-Платформы
19,не указан IT Services Provider 2012 г.,956/7648,узлы: (Xeon E5-2670 2.6 GHz) сеть: Gigabit Ethernet,83.81 159.08,Hewlett-Packard
20,"Томск Межрегиональный супервычислительный центр ТГУ ""Томский государственный университет"" 2015 г.",1330/6384,узлов: 282 (2xXeon 5150 2.66 GHz 8 GB RAM) узлов: 230 (2xXeon 5670 2.93 GHz 48 GB RAM) узлов: 128 (2xXeon 5670 2.93 GHz 24 GB RAM) узлов: 20 (2xXeon E5-2695v3 2.3 GHz 256 GB RAM) узлов: 5 (2xXeon E5-2695v3 [Acc: 2x Tesla K80] 2.3 GHz 256 GB RAM) сеть: Infiniband QDR/Gigabit Ethernet/Gigabit Ethernet,78.29 106.82,Т-Платформы
21,"Москва ООО ""Технологическая компания Шлюмберже"" 2015 г.",104/2472,узлов: 16 (2xXeon X5560 [Acc: 1x Tesla S2050] 2.8 GHz 24 GB RAM) узлов: 20 (2xXeon E5-2620 [Acc: 3x Tesla K20X] 2 GHz 64 GB RAM) узлов: 16 (2xXeon E5-2670v2 [Acc: 3x Tesla K40] 2.5 GHz 96 GB RAM) сеть: Infiniband FDR/Gigabit Ethernet/Gigabit Ethernet,78.12 150.24,Hewlett Packard
22,Долгопрудный Лаборатория iScalare Московский физико-технический институт государственный университет 2012 г.,448/3584,узлов: 224 (2xXeon E5-2690 2.9 GHz 64 GB RAM) сеть: Infiniband QDR/Gigabit Ethernet,70.12 83.15,Группа компаний РСК
23,"Москва НИЦ ""Курчатовский институт"" 2012 г.",160/4320,узлов: 76 (2xXeon X5650 [Acc: 3xTesla M2070] 2.67 GHz 24 GB RAM) узлов: 4 (2xXeon X5670 [Acc: 3x Tesla M2050] 2.93 GHz 24 GB RAM) сеть: Gigabit Ethernet/Infiniband QDR/Fast Ethernet,69.60 133.90,Hewlett-Packard
24,не указан Web Content Provider,2004/12024,узлов: 1002 (2xXeon E5645 2.4 GHz) сеть: Gigabit Ethernet,59.90 115.43,Hewlett-Packard
25,Пермь Промышленность 2015 г.,556/4420,узлов: 167 (2xXeon E5-2680 2.7 GHz 32 GB RAM) узлов: 24 (2xXeon E5-2690v2 3 GHz 64 GB RAM) узлов: 12 (2xXeon E5-2660v3 2.6 GHz 64 GB RAM) узлов: 21 (2xOpteron 2435 2.6 GHz 32 GB RAM) узлов: 54 (2xXeon X5670 2.93 GHz 24 GB RAM) узлов: 54 ([Acc: 4x Tesla M2090] 24 GB RAM) сеть: Infiniband QDR/Gigabit Ethernet/Gigabit Ethernet,56.84 70.24,IBM/Lenovo
26,Москва Межведомственный Суперкомпьютерный Центр Россйиской Академии Наук 2014 г.,64/3904,узлов: 64 (Acc: Xeon Phi 7120D 1.238 GHz 2 GB RAM) сеть: Infiniband FDR/Infiniband FDR/Gigabit Ethernet,53.51 77.33,Группа компаний РСК
27,Москва PetroTrace 2016 г.,320/3072,узлов: 64 (2xXeon E5-2680 2.7 GHz 256 GB RAM) узлов: 32 (2xXeon E5-2698v3 2.3 GHz 256 GB RAM) узлов: 32 (2xXeon E5-2680v2 2.8 GHz 256 GB RAM) узлов: 32 (2xXeon E5-2643v3 3.4 GHz 384 GB RAM) сеть: 10 Gigabit Ethernet/10 Gigabit Ethernet/10 Gigabit Ethernet,51.79 95.03,Hewlett-Packard
28,Москва Государственный сектор 2011 г.,1462/8772,узлы: (Xeon X5630 2.53 GHz) сеть: Gigabit Ethernet,49.43 88.77,IBM
29,Москва Московский государственный университет имени М.В.Ломоносова 2008 г.,1250/5000,узлов: 529 (2xXeon E5472 3 GHz 8.192 GB RAM) узлов: 64 (2xXeon E5472 3 GHz 8.192 GB RAM) узлов: 32 (2xXeon E5472 3 GHz 16.384 GB RAM) узлов: 8 (2xXeon E5472 3 GHz 32.768 GB RAM) сеть: InfiniBand/Gigabit Ethernet/СКИФ-ServNet + IPMI,47.32 60.00,СКИФ
30,Москва МСЦ РАН 2016 г.,84/1176,узлов: 42 (2xXeon E5-2697v3 2.6 GHz 128 GB RAM) сеть: OmniPath/Gigabit Ethernet/Gigabit Ethernet,45.90 48.92,Группа компаний РСК
31,Москва Государственный сектор 2011 г.,1346/8076,узлы: (Xeon X5630 2.53 GHz) сеть: Gigabit Ethernet,45.51 81.73,IBM
32,Москва Банковский сектор 2011 г.,1320/7920,узлы: (Xeon X5630 2.53 GHz) сеть: Gigabit Ethernet,44.63 80.15,IBM
33,Москва Банковский сектор 2011 г.,1320/7920,узлы: (Xeon X5630 2.53 GHz) сеть: Gigabit Ethernet,44.63 80.15,IBM
34,"Тюмень ООО ""Ингеосервис"" 2015 г.",410/4008,узлов: 16 (2xXeon E5-2670 2.6 GHz 72 GB RAM) узлов: 8 (2xXeon E5-2695v2 2.4 GHz 128 GB RAM) узлов: 48 (2xXeon E5-2695v2 2.4 GHz 256 GB RAM) узлов: 70 (2xXeon E5-2660v2 2.2 GHz 96 GB RAM) узлов: 63 (2xXeon E5-2670 2.6 GHz 64 GB RAM) сеть: 10 Gigabit Ethernet/10 Gigabit Ethernet/Gigabit Ethernet,41.82 76.74,"Hewlett-Packard, Dell, Sky Technics Group"
35,Москва Промышленность 2014 г.,230/2300,узлов: 115 (2xXeon E5-2680v2 2.8 GHz 128 GB RAM) сеть: Infiniband FDR/Gigabit Ethernet/Gigabit Ethernet,41.63 51.52,IBM
36,Москва ИПМ им. М.В.Келдыша РАН 2010 г.,128/3456,"узлов: 64 (2xXeon X5670 [Acc: 3xTesla C2050] 2.93 GHz 96 GB RAM) сеть: ""МВС-экспресс""/InfiniBand/Gigabit Ethernet",41.14 107.90,"ИПМ им. М.В.Келдыша РАН, ООО НПО ""Роста"", ФГУП ""НИИ ""КВАНТ"""
37,Новосибирск ССКЦ ИВМиМГ СО РАН 2011 г.,80/2400,узлов: 40 (2xXeon X5670 [Acc: 3xTesla M2090] 3.07 GHz 98.304 GB RAM) сеть: Infiniband QDR/Gigabit Ethernet/Gigabit Ethernet,38.21 85.69,"Hewlett-Packard, Нонолет"
38,Москва Банковский сектор 2009 г.,1650/6600,узлы: (Xeon E5540 2.53 GHz) сеть: Gigabit Ethernet,38.10 66.79,IBM
39,Москва Classified 2010 г.,1624/6496,узлы: (Xeon E5540 2.53 GHz) сеть: Gigabit Ethernet,37.50 65.74,IBM
40,Нижний Новгород ОАО ЦНИИ Буревестник 2012 г.,512/3520,узлов: 240 (2xXeon 5675 3.06 GHz 48 GB RAM) узлов: 16 (2xXeon L5630 [Acc: 2x Tesla X2070] 2.13 GHz 24 GB RAM) сеть: Infiniband QDR/Gigabit Ethernet/Gigabit Ethernet,36.88 57.62,Т-Платформы
41,Москва IT-Services 2010 г.,1586/6344,узлы: (Xeon E5540 2.53 GHz) сеть: Gigabit Ethernet,36.62 64.20,IBM
42,Москва НИИ 2016 г.,192/2304,узлов: 96 (2xXeon E5-2680v3 2.5 GHz 96 GB RAM) сеть: Infiniband FDR/10 Gigabit Ethernet/10 Gigabit Ethernet,36.40 46.08,Hewlett Packard Enterprise
43,Казань ЗАО Градиент 2015 г.,12/1128,узлов: 6 (2xXeon E5-2643v2 [Acc: 4x AMD FirePro W9100] 3.5 GHz 256 GB RAM) сеть: Infiniband FDR/Infiniband FDR/Gigabit Ethernet,35.61 64.90,"ООО Градиент технолоджи, НИИСИ РАН, НТФ Байко"
44,"Нижегородская обл., Дивеевский р-н, пос. Сатис ООО ""ЦКО"" 2014 г.",168/1680,узлов: 84 (2xXeon E5-2680v2 2.8 GHz 64 GB RAM) сеть: Gigabit Ethernet/Infiniband FDR/Fast Ethernet,35.31 37.63,"ООО ""ЦКО"""
45,Алматы Национальная научная лаборатория коллективного пользования информационных и космических технологий КазНТУ им. К.И.Сатпаева 2014 г.,44/2904,узлов: 22 (4xXeon E5-2620v2 [Acc: 2x Xeon Phi 5110P] 2.1 GHz 96 GB RAM) сеть: Infiniband QDR/10 Gigabit Ethernet/Gigabit Ethernet,34.71 48.32,Fujitsu
46,Москва Государственный сектор 2009 г.,1414/5656,узлы: (Xeon E5540 2.53 GHz) сеть: Gigabit Ethernet,32.65 57.24,IBM
47,"Москва ФГБУ ""ГВЦ Росгидромета"" 2012 г.",192/1536,узлов: 96 (2xXeon E5-2690 2.9 GHz 65.536 GB RAM) сеть: Infiniband QDR/Gigabit Ethernet/IPMI,32.09 35.64,Группа компаний РСК
48,"Санкт-Петербург ФГУП ""Крыловский государственный научный центр"" 2014 г.",290/3610,узлов: 5 (2xXeon E5-2697v2 [Acc: 2x Tesla K20] 2.7 GHz 64 GB RAM) узлов: 40 (2xXeon E5-2697v2 2.7 GHz 64 GB RAM) узлов: 100 (2xOpteron 6174 2.2 GHz 64 GB RAM) сеть: Infiniband QDR/Gigabit Ethernet/Gigabit Ethernet,32.04 56.15,Т-Платформы
49,Москва Государственный сектор 2010 г.,1374/5496,узлы: (Xeon E5540 2.53 GHz) сеть: Gigabit Ethernet,31.72 55.62,IBM
50,Москва Промышленный сектор 2016 г.,164/1968,узлов: 82 (2xXeon E5-2680v3 2.5 GHz 64 GB RAM) сеть: Infiniband FDR/10 Gigabit Ethernet/10 Gigabit Ethernet,31.69 39.36,Hewlett Packard Enterprise
