,Affiliation,Year,Cpu,Cores,Nodes,Memory,Nets,Linpack,Peak,GRPperCapita,Num of Systems,Q1,Q2,Q3,Q4,Top10
0,ВЦ РАН,2005,16.0,16.0,8.0,32.0,2.0,0.06,0.08,381997.1,1,5,7,12,44,3
1,ИБХ РАН,2005,80.0,80.0,40.0,112.0,4.5,0.25,0.36,381997.1,2,61,59,74,63,31
2,ИБХ РАН,2005,80.0,80.0,40.0,112.0,4.5,0.25,0.36,381997.1,2,61,59,74,63,31
3,ИВМ РАН,2005,32.0,32.0,16.0,32.768,2.0,0.12,0.17,381997.1,1,4,10,2,31,2
4,ИВМиМГ СО РАН,2005,128.0,128.0,64.0,64.0,2.0,0.12,0.2,88475.5,1,10,2,12,26,6
5,ИММ РАН,2005,52.0,52.0,26.0,52.0,1.0,0.12,0.32,381997.1,1,7,3,7,19,4
6,ИММ УРО РАН,2005,32.0,32.0,16.0,32.0,2.0,0.07,0.16,108697.2,1,2,4,4,32,2
7,ИПС РАН,2005,32.0,32.0,16.0,16.0,0.667,0.06,0.1,99335.1,1,0,1,1,7,0
8,КазНЦ РАН,2005,128.0,128.0,64.0,64.0,2.0,0.12,0.2,128226.9,1,2,5,16,15,1
9,МГУ,2005,192.0,192.0,96.0,352.0,3.167,0.61,0.87,381997.1,2,970,757,1255,1650,503
10,ННГУ,2005,16.0,16.0,8.0,16.384,1.0,0.06,0.1,87354.7,1,51,43,133,168,25
11,ЮУрГУ,2005,36.0,36.0,18.0,36.0,2.5,0.19,0.23,99159.8,1,1,4,11,30,0
12,ЮФУ,2005,21.0,21.0,21.0,43.008,2.5,0.11,0.14,60575.0,1,52,40,114,135,27
