,Affiliation,Year,Q1,Q2,Q3,Q4,Top10
0,МГУ,2011,1195,715,1242,2145,642
1,Курчатовский институт,2011,193,120,143,206,101
2,ЮУрГУ,2011,8,5,24,70,1
3,ТГУ,2011,53,41,85,211,37
4,ИПМ им. М.В.Келдыша РАН,2011,18,13,35,67,8
5,СВФУ,2011,6,7,8,10,2
6,СПбГУ,2011,361,233,310,600,200
7,НГУ,2011,208,180,306,288,122
8,УГАТУ,2011,16,7,49,69,10
9,ИММ УРО РАН,2011,0,3,5,92,0
10,ЮФУ,2011,62,63,142,167,28
11,ВятГУ,2011,0,0,3,17,0
12,СФУ,2011,45,46,117,127,20
13,ССКЦ ИВМиМГ,2011,2,8,23,43,1
14,ННГУ,2011,55,56,108,178,29
15,ТюмГУ,2011,1,2,3,9,0
16,СГАУ,2011,17,20,31,74,10
