,Affiliation,Year,Cpu,Cores,Nodes,Memory,Nets,Linpack,Peak,GRPperCapita,Num of Systems
0,БФУ имени И. Канта,2010,136.0,544.0,68.0,557.056,2.5,3.75,5.07,208193.2,1
1,ВлГУ,2010,140.0,620.0,70.0,561.152,20.0,3.76,4.77,155494.2,1
2,ВятГУ,2010,480.0,1920.0,240.0,983.04,20.0,13.96,17.89,128073.7,1
3,ИВМиМГ СО РАН,2010,128.0,512.0,64.0,1048.576,20.0,4.42,6.14,181732.7,1
4,ИММ УРО РАН,2010,416.0,1664.0,208.0,3584.0,20.0,14.62,19.5,243234.2,1
5,ИПХФ РАН,2010,504.0,504.0,252.0,516.096,2.0,2.92,4.44,259421.5,1
6,КазНЦ РАН,2010,192.0,768.0,96.0,786.432,20.0,7.07,9.22,264561.7,1
7,Курчатовский институт,2010,3440.0,13760.0,432.0,4849.664000000001,40.0,126.28999999999999,157.92000000000002,1461548.4,1
8,ЛИТ ОИЯИ,2010,200.0,560.0,100.0,1120.0,1.0,2.98,6.07,259421.5,1
9,МАИ,2010,60.0,360.0,30.0,983.04,20.0,3.17,3.74,730774.2,1
10,МГУ,2010,12138.0,48552.0,5053.0,63118.848,22.5,421.28000000000003,502.27000000000004,2192322.5999999996,1
11,МГУПС,2010,128.0,512.0,64.0,1048.576,20.0,3.89,4.71,730774.2,1
12,МФТИ,2010,272.0,544.0,136.0,544.0,2.0,4.53,6.53,730774.2,1
13,НГУ,2010,128.0,512.0,64.0,1048.576,20.0,4.09,5.45,181732.7,1
14,ПНИПУ,2010,128.0,512.0,64.0,524.288,2.5,3.17,4.1,235930.6,1
15,СГАУ,2010,224.0,896.0,112.0,1344.0,10.0,8.54,10.0,216167.6,1
16,СФУ,2010,452.0,1808.0,226.0,0.0,2.5,13.06,16.87,372848.1,1
17,ТГУ,2010,564.0,1128.0,282.0,1155.0720000000001,10.0,9.01,12.0,272576.5,1
18,ТПУ,2010,80.0,320.0,39.0,479.232,20.0,2.97,3.66,272576.5,1
19,УГАТУ,2010,532.0,2128.0,266.0,2179.072,2.5,15.33,19.86,186522.0,1
20,ФГУП НИИР,2010,312.0,624.0,106.0,2048.0,2.5,2.7,3.0,730774.2,1
21,ЦИАМ им. П.И. Баранова,2010,72.0,432.0,36.0,1179.6480000000001,2.5,3.33,4.49,730774.2,1
22,ЮУрГУ,2010,844.0,3376.0,166.0,1359.872,62.5,34.22,39.94,375347.4,1
23,ЮФУ,2010,618.0,2472.0,181.0,4920.0,22.5,18.06,23.64,308255.8,1
