,Affiliation,Year,Cpu,Cores,Nodes,Memory,Nets,Linpack,Peak,GRPperCapita,Num of Systems,Q1,Q2,Q3,Q4,Top10
216,ФГУП ЦНИИ Крылова,2016,290.0,3610.0,145.0,9280.0,10.0,32.04,56.15,712303.6,1,1,1,8,4,0
217,ЮУрГУ,2016,2240.0,36864.0,384.0,9437.184000000001,70.0,388.54999999999995,591.28,360048.1,2,35,147,113,233,19
218,ВолгГТУ,2017,40.0,2672.0,24.0,4000.0,56.25,39.44,60.2,292565.7,1,10,49,134,195,6
219,ИАПУ ДВО РАН,2017,80.0,1600.0,40.0,10240.0,100.0,42.58,56.3,382586.9,1,24,15,49,72,15
220,ИВМиМГ СО РАН,2017,136.0,4192.0,76.0,8028.16,110.0,88.71000000000001,161.03,391438.4,2,11,29,55,66,6
221,ИДСТУ СО РАН,2017,120.0,2160.0,60.0,7680.0,10.0,60.13,72.58,443297.8,1,9,24,36,41,5
222,ИММ УРО РАН,2017,92.0,6184.0,46.0,4521.984,20.0,109.88,225.85,456860.2,1,11,25,124,110,2
223,ИПА РАН,2017,80.0,1680.0,40.0,2560.0,56.25,85.34,106.91,712303.6,1,1,5,7,4,1
224,ИПМ им. М.В.Келдыша РАН,2017,128.0,3456.0,64.0,6144.0,32.0,41.14,107.9,1157373.0,1,40,56,108,139,16
225,Курчатовский институт,2017,4302.0,44794.0,883.0,127624.0,236.625,1126.78,1721.48,1028265.7,5,382,269,358,353,226
226,МГУ,2017,15144.0,130156.0,8304.0,192056.288,68.75,3051.2200000000003,4722.51,1157373.0,3,2041,1414,2322,2177,1138
227,МИСиС,2017,244.0,2128.0,122.0,5760.0,56.25,38.55,48.49,1157373.0,1,439,214,382,311,245
228,МФТИ,2017,452.0,4560.0,226.0,15360.0,113.125,126.7,170.83,820528.15,2,695,414,511,458,472
229,ННГУ,2017,360.0,30760.0,180.0,11796.480000000003,10.0,289.5,573.0,363327.8,1,160,202,403,341,81
230,СПбГПУ,2017,1756.0,37832.0,1022.0,53184.0,112.5,907.5400000000001,1306.2,712303.6,2,414,291,553,529,269
231,Сколтех,2017,4.0,976.0,2.0,1024.0,103.125,56.58,87.68,1157373.0,1,249,102,87,69,169
232,ТГУ,2017,1330.0,6384.0,665.0,22768.0,10.0,78.29,106.82,451823.9,1,537,351,537,663,364
233,ЮУрГУ,2017,2240.0,36864.0,384.0,9437.184000000001,70.0,388.54999999999995,591.28,360048.1,2,93,166,243,191,57
234,ИВМиМГ СО РАН,2018,70.0,2016.0,43.0,5248.0,100.0,56.95,91.24,391438.4,1,12,22,38,42,4
235,ИДСТУ СО РАН,2018,240.0,4080.0,120.0,11520.0,10.0,77.51,90.24,443297.8,1,14,20,25,36,6
236,ИММ УРО РАН,2018,92.0,6184.0,46.0,4521.984,20.0,109.88,225.85,456860.2,1,15,31,80,50,5
237,ИПА РАН,2018,80.0,1680.0,40.0,2560.0,56.25,85.34,106.91,712303.6,1,8,4,15,1,2
238,Курчатовский институт,2018,4302.0,44794.0,883.0,127624.0,180.375,1126.78,1720.48,995988.875,4,437,266,275,237,269
239,ЛИТ ОИЯИ,2018,111.0,6352.0,66.0,12592.0,210.0,323.98,529.82,483683.3,3,629,238,199,395,487
240,МГУ,2018,14118.0,146852.0,7895.0,205868.0,66.25,3379.9,6647.0,1157373.0,2,2199,1515,1924,1609,1152
241,МФТИ,2018,452.0,4560.0,226.0,15360.0,113.125,126.7,170.83,820528.15,2,790,446,470,465,520
242,ННГУ,2018,360.0,30760.0,180.0,11796.480000000003,10.0,289.5,573.0,363327.8,1,227,207,255,228,90
243,ОИВТ РАН,2018,64.0,1600.0,32.0,1024.0,10.0,52.24,90.75,1157373.0,1,89,139,149,177,38
244,СПбГПУ,2018,1756.0,37832.0,1022.0,53184.0,112.5,907.5400000000001,1306.2,712303.6,2,372,200,403,478,259
245,Сколтех,2018,176.0,11976.0,84.0,22272.0,206.25,569.51,1139.22,1157373.0,2,367,164,99,61,234
246,ТГУ,2018,1330.0,6384.0,665.0,22768.0,10.0,78.29,106.82,451823.9,1,610,356,403,381,391
247,ЮУрГУ,2018,2240.0,36864.0,384.0,9437.184000000001,70.0,388.54999999999995,591.28,360048.1,2,146,84,141,208,83
