,Affiliation,Year,Q1,Q2,Q3,Q4,Top10
0,ИММ УРО РАН,2017,11,25,124,110,2
1,РНЦ Курчатовский институт,2017,382,269,358,353,226
2,Институт прикладной астрономии РАН,2017,1,5,7,4,1
3,ТГУ,2017,537,351,537,663,364
4,Московский физико-технический институт,2017,695,414,511,458,472
5,ИДСТУ СО РАН,2017,9,24,36,41,5
6,МФТИ,2017,695,414,511,458,472
7,Сколковский Институт Науки и Технологий,2017,249,102,87,69,169
8,ИВМиМГ СО РАН,2017,11,29,55,66,6
9,ИАПУ ДВО РАН,2017,24,15,49,72,15
10,ИПМ им. М.В.Келдыша РАН,2017,40,56,108,139,16
11,Волгоградский государственный технический университет,2017,10,49,134,195,6
12,МИСиС,2017,439,214,382,311,245
