,Affiliation,Year,Cpu,Cores,Nodes,Memory,Nets,Linpack,Peak,GRPperCapita,Num of Systems,Q1,Q2,Q3,Q4,Top10
0,БФУ имени И. Канта,2010,136.0,544.0,68.0,557.056,2.5,3.75,5.07,208193.2,1,1,1,4,3,0
1,ВлГУ,2010,140.0,620.0,70.0,561.152,20.0,3.76,4.77,155494.2,1,1,1,14,34,0
2,ВятГУ,2010,480.0,1920.0,240.0,983.04,20.0,13.96,17.89,128073.7,1,0,1,3,9,0
3,ИВМиМГ СО РАН,2010,128.0,512.0,64.0,1048.576,20.0,4.42,6.14,181732.7,1,9,9,22,55,4
4,ИММ УРО РАН,2010,416.0,1664.0,208.0,3584.0,20.0,14.62,19.5,243234.2,1,5,7,6,101,1
5,ИПХФ РАН,2010,504.0,504.0,252.0,516.096,2.0,2.92,4.44,259421.5,1,61,62,141,171,34
6,КазНЦ РАН,2010,192.0,768.0,96.0,786.432,20.0,7.07,9.22,264561.7,1,2,5,15,23,0
7,Курчатовский институт,2010,3440.0,13760.0,432.0,4849.664000000001,40.0,126.28999999999999,157.92000000000002,730774.2,2,131,109,123,185,81
8,ЛИТ ОИЯИ,2010,200.0,560.0,100.0,1120.0,1.0,2.98,6.07,259421.5,1,408,158,238,288,208
9,МАИ,2010,60.0,360.0,30.0,983.04,20.0,3.17,3.74,730774.2,1,2,11,35,77,1
10,МГУ,2010,12138.0,48552.0,5053.0,63118.848,22.5,421.28000000000003,502.27000000000004,730774.1999999998,3,998,644,1191,2074,530
11,МГУПС,2010,128.0,512.0,64.0,1048.576,20.0,3.89,4.71,730774.2,1,1,3,2,8,1
12,МФТИ,2010,272.0,544.0,136.0,544.0,2.0,4.53,6.53,730774.2,1,90,76,160,181,45
13,НГУ,2010,128.0,512.0,64.0,1048.576,20.0,4.09,5.45,181732.7,1,180,137,221,250,114
14,ПНИПУ,2010,128.0,512.0,64.0,524.288,2.5,3.17,4.1,235930.6,1,2,6,8,39,1
15,СГАУ,2010,224.0,896.0,112.0,1344.0,10.0,8.54,10.0,216167.6,1,13,10,42,93,10
16,СФУ,2010,452.0,1808.0,226.0,0.0,2.5,13.06,16.87,372848.1,1,42,46,77,87,20
17,ТГУ,2010,564.0,1128.0,282.0,1155.0720000000001,10.0,9.01,12.0,272576.5,1,41,46,79,146,26
18,ТГУ,2010,564.0,1128.0,282.0,1155.0720000000001,10.0,9.01,12.0,272576.5,1,25,26,76,109,8
19,УГАТУ,2010,532.0,2128.0,266.0,2179.072,2.5,15.33,19.86,186522.0,1,20,19,29,35,10
20,ФГУП НИИР,2010,312.0,624.0,106.0,2048.0,2.5,2.7,3.0,730774.2,1,0,0,0,0,0
21,ЦИАМ им. П.И. Баранова,2010,72.0,432.0,36.0,1179.6480000000001,2.5,3.33,4.49,730774.2,1,5,5,7,13,2
22,ЮУрГУ,2010,844.0,3376.0,166.0,1359.872,62.5,34.22,39.94,187673.7,2,3,2,26,71,3
23,ЮФУ,2010,618.0,2472.0,181.0,4920.0,22.5,18.06,23.64,154127.9,2,60,47,94,162,30
