,Affiliation,Year,Cpu,Cores,Nodes,Memory,Nets,Linpack,Peak,GRPperCapita,Num of Systems,Q1,Q2,Q3,Q4,Top10
174,УГАТУ,2013,Cpu: 4,Cores: 7,Nodes: 3,Memory: 8,Nets: 10,Linpack: 9,Peak: 8,GRPperCapita: 8,Num of Systems: 4,Q1: 6,Q2: 9,Q3: 7,Q4: 7,Top10: 6
175,ЮУрГУ,2013,Cpu: 2,Cores: 1,Nodes: 6,Memory: 6,Nets: 1,Linpack: 1,Peak: 1,GRPperCapita: 9,Num of Systems: 2,Q1: 7,Q2: 7,Q3: 8,Q4: 6,Top10: 9
176,ЮФУ,2013,Cpu: 5,Cores: 8,Nodes: 7,Memory: 7,Nets: 4,Linpack: 9,Peak: 10,GRPperCapita: 10,Num of Systems: 3,Q1: 5,Q2: 4,Q3: 5,Q4: 4,Top10: 5
177,ИВМиМГ СО РАН,2014,Cpu: 3,Cores: 5,Nodes: 3,Memory: 4,Nets: 6,Linpack: 6,Peak: 4,GRPperCapita: 9,Num of Systems: 3,Q1: 8,Q2: 9,Q3: 8,Q4: 8,Top10: 8
178,ИДСТУ СО РАН,2014,Cpu: 7,Cores: 7,Nodes: 7,Memory: 6,Nets: 10,Linpack: 8,Peak: 9,GRPperCapita: 8,Num of Systems: 10,Q1: 10,Q2: 8,Q3: 9,Q4: 10,Top10: 10
179,ИММ УРО РАН,2014,Cpu: 9,Cores: 3,Nodes: 9,Memory: 8,Nets: 6,Linpack: 3,Peak: 3,GRPperCapita: 7,Num of Systems: 10,Q1: 8,Q2: 8,Q3: 7,Q4: 7,Top10: 8
180,ИПА РАН,2014,Cpu: 10,Cores: 9,Nodes: 10,Memory: 10,Nets: 3,Linpack: 5,Peak: 6,GRPperCapita: 6,Num of Systems: 9,Q1: 10,Q2: 10,Q3: 10,Q4: 10,Top10: 10
181,ИПМ им. М.В.Келдыша РАН,2014,Cpu: 8,Cores: 8,Nodes: 8,Memory: 8,Nets: 5,Linpack: 7,Peak: 5,GRPperCapita: 3,Num of Systems: 8,Q1: 7,Q2: 6,Q3: 8,Q4: 6,Top10: 9
182,Курчатовский институт,2014,Cpu: 1,Cores: 3,Nodes: 2,Memory: 7,Nets: 4,Linpack: 3,Peak: 3,GRPperCapita: 2,Num of Systems: 1,Q1: 4,Q2: 4,Q3: 4,Q4: 5,Top10: 4
183,МГУ,2014,Cpu: 1,Cores: 1,Nodes: 1,Memory: 1,Nets: 1,Linpack: 1,Peak: 1,GRPperCapita: 1,Num of Systems: 1,Q1: 1,Q2: 1,Q3: 1,Q4: 1,Top10: 1
184,МИСиС,2014,Cpu: 8,Cores: 10,Nodes: 8,Memory: 9,Nets: 3,Linpack: 10,Peak: 10,GRPperCapita: 1,Num of Systems: 8,Q1: 3,Q2: 5,Q3: 5,Q4: 3,Top10: 3
185,МФТИ,2014,Cpu: 4,Cores: 6,Nodes: 4,Memory: 1,Nets: 10,Linpack: 4,Peak: 6,GRPperCapita: 8,Num of Systems: 7,Q1: 2,Q2: 2,Q3: 3,Q4: 3,Top10: 1
186,ННГУ,2014,Cpu: 5,Cores: 2,Nodes: 5,Memory: 2,Nets: 2,Linpack: 2,Peak: 2,GRPperCapita: 10,Num of Systems: 3,Q1: 5,Q2: 3,Q3: 3,Q4: 4,Top10: 5
187,СВФУ,2014,Cpu: 6,Cores: 8,Nodes: 6,Memory: 6,Nets: 9,Linpack: 9,Peak: 10,GRPperCapita: 3,Num of Systems: 6,Q1: 6,Q2: 6,Q3: 6,Q4: 8,Top10: 6
188,СПбГУ,2014,Cpu: 10,Cores: 10,Nodes: 10,Memory: 10,Nets: 8,Linpack: 10,Peak: 8,GRPperCapita: 5,Num of Systems: 6,Q1: 1,Q2: 1,Q3: 1,Q4: 1,Top10: 2
189,ТГУ,2014,Cpu: 3,Cores: 4,Nodes: 1,Memory: 3,Nets: 8,Linpack: 6,Peak: 7,GRPperCapita: 6,Num of Systems: 5,Q1: 3,Q2: 3,Q3: 2,Q4: 2,Top10: 3
190,ФГУП ЦНИИ Крылова,2014,Cpu: 6,Cores: 6,Nodes: 6,Memory: 5,Nets: 7,Linpack: 8,Peak: 8,GRPperCapita: 4,Num of Systems: 4,Q1: 9,Q2: 10,Q3: 10,Q4: 9,Top10: 7
191,ЮУрГУ,2014,Cpu: 2,Cores: 1,Nodes: 3,Memory: 3,Nets: 1,Linpack: 1,Peak: 1,GRPperCapita: 10,Num of Systems: 2,Q1: 6,Q2: 7,Q3: 6,Q4: 6,Top10: 6
192,ИВМиМГ СО РАН,2015,Cpu: 10,Cores: 9,Nodes: 10,Memory: 10,Nets: 10,Linpack: 8,Peak: 7,GRPperCapita: 9,Num of Systems: 10,Q1: 10,Q2: 9,Q3: 7,Q4: 8,Top10: 8
193,ИДСТУ СО РАН,2015,Cpu: 7,Cores: 7,Nodes: 7,Memory: 7,Nets: 10,Linpack: 10,Peak: 10,GRPperCapita: 8,Num of Systems: 10,Q1: 8,Q2: 8,Q3: 9,Q4: 9,Top10: 9
194,ИММ УРО РАН,2015,Cpu: 9,Cores: 4,Nodes: 9,Memory: 8,Nets: 6,Linpack: 4,Peak: 4,GRPperCapita: 7,Num of Systems: 9,Q1: 7,Q2: 7,Q3: 8,Q4: 7,Top10: 7
195,ИПА РАН,2015,Cpu: 10,Cores: 10,Nodes: 10,Memory: 10,Nets: 4,Linpack: 5,Peak: 6,GRPperCapita: 5,Num of Systems: 8,Q1: 9,Q2: 10,Q3: 10,Q4: 10,Top10: 10
196,ИПМ им. М.В.Келдыша РАН,2015,Cpu: 8,Cores: 8,Nodes: 8,Memory: 7,Nets: 5,Linpack: 7,Peak: 5,GRPperCapita: 3,Num of Systems: 7,Q1: 6,Q2: 7,Q3: 7,Q4: 7,Top10: 7
197,Курчатовский институт,2015,Cpu: 1,Cores: 4,Nodes: 2,Memory: 1,Nets: 1,Linpack: 2,Peak: 2,GRPperCapita: 2,Num of Systems: 1,Q1: 4,Q2: 4,Q3: 5,Q4: 5,Top10: 4
198,МГУ,2015,Cpu: 1,Cores: 1,Nodes: 1,Memory: 1,Nets: 3,Linpack: 1,Peak: 1,GRPperCapita: 1,Num of Systems: 1,Q1: 1,Q2: 1,Q3: 1,Q4: 1,Top10: 1
199,МИСиС,2015,Cpu: 7,Cores: 10,Nodes: 7,Memory: 9,Nets: 4,Linpack: 10,Peak: 10,GRPperCapita: 1,Num of Systems: 7,Q1: 4,Q2: 5,Q3: 4,Q4: 3,Top10: 4
200,МФТИ,2015,Cpu: 4,Cores: 7,Nodes: 4,Memory: 3,Nets: 9,Linpack: 6,Peak: 7,GRPperCapita: 7,Num of Systems: 6,Q1: 1,Q2: 1,Q3: 3,Q4: 4,Top10: 1
201,ННГУ,2015,Cpu: 5,Cores: 3,Nodes: 5,Memory: 4,Nets: 8,Linpack: 4,Peak: 4,GRPperCapita: 10,Num of Systems: 5,Q1: 5,Q2: 4,Q3: 4,Q4: 4,Top10: 5
202,СПбГПУ,2015,Cpu: 3,Cores: 2,Nodes: 1,Memory: 2,Nets: 1,Linpack: 1,Peak: 1,GRPperCapita: 4,Num of Systems: 3,Q1: 3,Q2: 3,Q3: 2,Q4: 2,Top10: 3
203,ТГУ,2015,Cpu: 4,Cores: 5,Nodes: 3,Memory: 4,Nets: 7,Linpack: 7,Peak: 8,GRPperCapita: 6,Num of Systems: 4,Q1: 2,Q2: 2,Q3: 1,Q4: 1,Top10: 2
204,ФГУП ЦНИИ Крылова,2015,Cpu: 6,Cores: 6,Nodes: 6,Memory: 6,Nets: 7,Linpack: 9,Peak: 9,GRPperCapita: 4,Num of Systems: 4,Q1: 10,Q2: 10,Q3: 10,Q4: 10,Top10: 10
205,ЮУрГУ,2015,Cpu: 2,Cores: 1,Nodes: 4,Memory: 5,Nets: 2,Linpack: 3,Peak: 3,GRPperCapita: 10,Num of Systems: 2,Q1: 7,Q2: 6,Q3: 6,Q4: 6,Top10: 6
206,ИВМиМГ СО РАН,2016,Cpu: 10,Cores: 10,Nodes: 10,Memory: 10,Nets: 10,Linpack: 10,Peak: 9,GRPperCapita: 9,Num of Systems: 10,Q1: 8,Q2: 8,Q3: 9,Q4: 9,Top10: 8
207,ИММ УРО РАН,2016,Cpu: 9,Cores: 6,Nodes: 9,Memory: 9,Nets: 6,Linpack: 5,Peak: 5,GRPperCapita: 7,Num of Systems: 10,Q1: 9,Q2: 9,Q3: 8,Q4: 7,Top10: 9
208,ИПА РАН,2016,Cpu: 10,Cores: 10,Nodes: 10,Memory: 10,Nets: 4,Linpack: 6,Peak: 7,GRPperCapita: 5,Num of Systems: 9,Q1: 10,Q2: 10,Q3: 10,Q4: 10,Top10: 10
209,ИПМ им. М.В.Келдыша РАН,2016,Cpu: 8,Cores: 9,Nodes: 8,Memory: 8,Nets: 5,Linpack: 9,Peak: 6,GRPperCapita: 2,Num of Systems: 8,Q1: 7,Q2: 7,Q3: 6,Q4: 8,Top10: 7
210,Курчатовский институт,2016,Cpu: 1,Cores: 2,Nodes: 3,Memory: 1,Nets: 1,Linpack: 1,Peak: 1,GRPperCapita: 1,Num of Systems: 1,Q1: 4,Q2: 5,Q3: 5,Q4: 5,Top10: 4
211,МГУ,2016,Cpu: 1,Cores: 1,Nodes: 1,Memory: 1,Nets: 3,Linpack: 1,Peak: 1,GRPperCapita: 1,Num of Systems: 1,Q1: 1,Q2: 1,Q3: 1,Q4: 1,Top10: 1
212,МФТИ,2016,Cpu: 5,Cores: 8,Nodes: 5,Memory: 4,Nets: 10,Linpack: 8,Peak: 10,GRPperCapita: 6,Num of Systems: 7,Q1: 1,Q2: 2,Q3: 3,Q4: 3,Top10: 1
213,ННГУ,2016,Cpu: 6,Cores: 4,Nodes: 6,Memory: 5,Nets: 9,Linpack: 4,Peak: 4,GRPperCapita: 10,Num of Systems: 6,Q1: 5,Q2: 4,Q3: 4,Q4: 4,Top10: 5
214,СПбГПУ,2016,Cpu: 3,Cores: 3,Nodes: 1,Memory: 2,Nets: 1,Linpack: 2,Peak: 2,GRPperCapita: 4,Num of Systems: 3,Q1: 3,Q2: 3,Q3: 2,Q4: 2,Top10: 3
215,ТГУ,2016,Cpu: 4,Cores: 5,Nodes: 2,Memory: 3,Nets: 8,Linpack: 7,Peak: 8,GRPperCapita: 8,Num of Systems: 5,Q1: 2,Q2: 1,Q3: 1,Q4: 1,Top10: 2
216,ФГУП ЦНИИ Крылова,2016,Cpu: 7,Cores: 7,Nodes: 7,Memory: 7,Nets: 7,Linpack: 10,Peak: 10,GRPperCapita: 3,Num of Systems: 4,Q1: 10,Q2: 10,Q3: 10,Q4: 10,Top10: 10
217,ЮУрГУ,2016,Cpu: 2,Cores: 1,Nodes: 4,Memory: 6,Nets: 2,Linpack: 3,Peak: 3,GRPperCapita: 10,Num of Systems: 2,Q1: 6,Q2: 6,Q3: 7,Q4: 6,Top10: 6
218,ВолгГТУ,2017,Cpu: 10,Cores: 7,Nodes: 10,Memory: 9,Nets: 7,Linpack: 10,Peak: 9,GRPperCapita: 10,Num of Systems: 10,Q1: 9,Q2: 7,Q3: 6,Q4: 5,Top10: 9
219,ИАПУ ДВО РАН,2017,Cpu: 9,Cores: 10,Nodes: 9,Memory: 5,Nets: 4,Linpack: 9,Peak: 10,GRPperCapita: 10,Num of Systems: 10,Q1: 7,Q2: 10,Q3: 9,Q4: 8,Top10: 7
220,ИВМиМГ СО РАН,2017,Cpu: 6,Cores: 6,Nodes: 6,Memory: 6,Nets: 3,Linpack: 5,Peak: 5,GRPperCapita: 9,Num of Systems: 4,Q1: 9,Q2: 8,Q3: 9,Q4: 9,Top10: 8
221,ИДСТУ СО РАН,2017,Cpu: 7,Cores: 8,Nodes: 7,Memory: 7,Nets: 10,Linpack: 7,Peak: 9,GRPperCapita: 9,Num of Systems: 9,Q1: 10,Q2: 9,Q3: 10,Q4: 10,Top10: 9
222,ИММ УРО РАН,2017,Cpu: 8,Cores: 5,Nodes: 8,Memory: 9,Nets: 9,Linpack: 5,Peak: 4,GRPperCapita: 8,Num of Systems: 9,Q1: 8,Q2: 9,Q3: 7,Q4: 7,Top10: 10
223,ИПА РАН,2017,Cpu: 9,Cores: 9,Nodes: 9,Memory: 10,Nets: 7,Linpack: 6,Peak: 7,GRPperCapita: 7,Num of Systems: 8,Q1: 10,Q2: 10,Q3: 10,Q4: 10,Top10: 10
224,ИПМ им. М.В.Келдыша РАН,2017,Cpu: 7,Cores: 7,Nodes: 7,Memory: 7,Nets: 8,Linpack: 9,Peak: 6,GRPperCapita: 7,Num of Systems: 7,Q1: 7,Q2: 7,Q3: 7,Q4: 7,Top10: 7
225,Курчатовский институт,2017,Cpu: 1,Cores: 1,Nodes: 2,Memory: 1,Nets: 1,Linpack: 1,Peak: 1,GRPperCapita: 6,Num of Systems: 1,Q1: 4,Q2: 3,Q3: 5,Q4: 3,Top10: 4
226,МГУ,2017,Cpu: 1,Cores: 1,Nodes: 1,Memory: 1,Nets: 5,Linpack: 1,Peak: 1,GRPperCapita: 5,Num of Systems: 1,Q1: 1,Q2: 1,Q3: 1,Q4: 1,Top10: 1
227,МИСиС,2017,Cpu: 5,Cores: 9,Nodes: 5,Memory: 8,Nets: 6,Linpack: 10,Peak: 10,GRPperCapita: 5,Num of Systems: 7,Q1: 3,Q2: 4,Q3: 4,Q4: 5,Top10: 3
228,МФТИ,2017,Cpu: 4,Cores: 5,Nodes: 4,Memory: 3,Nets: 1,Linpack: 4,Peak: 5,GRPperCapita: 4,Num of Systems: 3,Q1: 1,Q2: 1,Q3: 3,Q4: 3,Top10: 1
229,ННГУ,2017,Cpu: 5,Cores: 3,Nodes: 5,Memory: 4,Nets: 10,Linpack: 3,Peak: 3,GRPperCapita: 3,Num of Systems: 6,Q1: 5,Q2: 5,Q3: 3,Q4: 4,Top10: 5
230,СПбГПУ,2017,Cpu: 3,Cores: 2,Nodes: 1,Memory: 2,Nets: 2,Linpack: 2,Peak: 2,GRPperCapita: 3,Num of Systems: 3,Q1: 3,Q2: 3,Q3: 1,Q4: 2,Top10: 3
231,Сколтех,2017,Cpu: 10,Cores: 10,Nodes: 10,Memory: 10,Nets: 3,Linpack: 8,Peak: 8,GRPperCapita: 2,Num of Systems: 5,Q1: 5,Q2: 6,Q3: 8,Q4: 9,Top10: 5
232,ТГУ,2017,Cpu: 3,Cores: 4,Nodes: 3,Memory: 3,Nets: 9,Linpack: 7,Peak: 7,GRPperCapita: 1,Num of Systems: 5,Q1: 2,Q2: 2,Q3: 2,Q4: 1,Top10: 2
233,ЮУрГУ,2017,Cpu: 2,Cores: 3,Nodes: 3,Memory: 5,Nets: 5,Linpack: 3,Peak: 3,GRPperCapita: 1,Num of Systems: 2,Q1: 6,Q2: 5,Q3: 5,Q4: 6,Top10: 6
234,ИВМиМГ СО РАН,2018,Cpu: 10,Cores: 9,Nodes: 9,Memory: 8,Nets: 4,Linpack: 10,Peak: 9,GRPperCapita: 10,Num of Systems: 10,Q1: 10,Q2: 9,Q3: 9,Q4: 9,Top10: 10
235,ИДСТУ СО РАН,2018,Cpu: 6,Cores: 8,Nodes: 6,Memory: 7,Nets: 10,Linpack: 9,Peak: 10,GRPperCapita: 10,Num of Systems: 10,Q1: 9,Q2: 10,Q3: 10,Q4: 10,Top10: 8
236,ИММ УРО РАН,2018,Cpu: 8,Cores: 7,Nodes: 8,Memory: 9,Nets: 7,Linpack: 7,Peak: 6,GRPperCapita: 9,Num of Systems: 9,Q1: 8,Q2: 8,Q3: 8,Q4: 8,Top10: 9
237,ИПА РАН,2018,Cpu: 9,Cores: 10,Nodes: 10,Memory: 10,Nets: 7,Linpack: 7,Peak: 7,GRPperCapita: 8,Num of Systems: 8,Q1: 10,Q2: 10,Q3: 10,Q4: 10,Top10: 10
238,Курчатовский институт,2018,Cpu: 1,Cores: 1,Nodes: 2,Memory: 1,Nets: 2,Linpack: 1,Peak: 1,GRPperCapita: 7,Num of Systems: 1,Q1: 4,Q2: 3,Q3: 4,Q4: 4,Top10: 4
239,ЛИТ ОИЯИ,2018,Cpu: 7,Cores: 6,Nodes: 7,Memory: 5,Nets: 1,Linpack: 4,Peak: 5,GRPperCapita: 7,Num of Systems: 1,Q1: 2,Q2: 4,Q3: 5,Q4: 3,Top10: 2
240,МГУ,2018,Cpu: 1,Cores: 1,Nodes: 1,Memory: 1,Nets: 6,Linpack: 1,Peak: 1,GRPperCapita: 6,Num of Systems: 5,Q1: 1,Q2: 1,Q3: 1,Q4: 1,Top10: 1
241,МФТИ,2018,Cpu: 4,Cores: 7,Nodes: 4,Memory: 4,Nets: 3,Linpack: 6,Peak: 7,GRPperCapita: 5,Num of Systems: 4,Q1: 1,Q2: 1,Q3: 1,Q4: 2,Top10: 1
242,ННГУ,2018,Cpu: 5,Cores: 4,Nodes: 5,Memory: 6,Nets: 10,Linpack: 5,Peak: 4,GRPperCapita: 4,Num of Systems: 7,Q1: 6,Q2: 4,Q3: 4,Q4: 5,Top10: 6
243,ОИВТ РАН,2018,Cpu: 10,Cores: 10,Nodes: 10,Memory: 10,Nets: 9,Linpack: 10,Peak: 10,GRPperCapita: 4,Num of Systems: 7,Q1: 7,Q2: 7,Q3: 6,Q4: 7,Top10: 7
244,СПбГПУ,2018,Cpu: 3,Cores: 2,Nodes: 1,Memory: 2,Nets: 4,Linpack: 2,Peak: 2,GRPperCapita: 3,Num of Systems: 4,Q1: 4,Q2: 5,Q3: 3,Q4: 1,Top10: 4
245,Сколтех,2018,Cpu: 7,Cores: 4,Nodes: 7,Memory: 4,Nets: 1,Linpack: 3,Peak: 3,GRPperCapita: 2,Num of Systems: 3,Q1: 5,Q2: 6,Q3: 7,Q4: 7,Top10: 5
246,ТГУ,2018,Cpu: 4,Cores: 5,Nodes: 3,Memory: 3,Nets: 8,Linpack: 8,Peak: 8,GRPperCapita: 1,Num of Systems: 6,Q1: 3,Q2: 2,Q3: 2,Q4: 4,Top10: 3
247,ЮУрГУ,2018,Cpu: 2,Cores: 3,Nodes: 4,Memory: 7,Nets: 5,Linpack: 4,Peak: 4,GRPperCapita: 1,Num of Systems: 2,Q1: 7,Q2: 7,Q3: 7,Q4: 6,Top10: 7
