,Affiliation,Year,Cpu,Cores,Nodes,Memory,Nets,Linpack,Peak,GRPperCapita,Num of Systems,Q1,Q2,Q3,Q4,Top10
89,МГУ,2009,Cpu: 1,Cores: 1,Nodes: 1,Memory: 1,Nets: 5,Linpack: 1,Peak: 1,GRPperCapita: 2,Num of Systems: 1,Q1: 1,Q2: 1,Q3: 1,Q4: 1,Top10: 1
90,МГУПС,2009,Cpu: 8,Cores: 6,Nodes: 8,Memory: 3,Nets: 2,Linpack: 4,Peak: 6,GRPperCapita: 2,Num of Systems: 6,Q1: 9,Q2: 9,Q3: 10,Q4: 9,Top10: 9
91,МФТИ,2009,Cpu: 4,Cores: 4,Nodes: 4,Memory: 5,Nets: 9,Linpack: 3,Peak: 3,GRPperCapita: 1,Num of Systems: 5,Q1: 2,Q2: 3,Q3: 4,Q4: 4,Top10: 3
92,НГУ,2009,Cpu: 7,Cores: 5,Nodes: 7,Memory: 3,Nets: 1,Linpack: 4,Peak: 4,GRPperCapita: 8,Num of Systems: 5,Q1: 2,Q2: 2,Q3: 2,Q4: 2,Top10: 2
93,ННГУ,2009,Cpu: 7,Cores: 8,Nodes: 7,Memory: 10,Nets: 10,Linpack: 9,Peak: 8,GRPperCapita: 8,Num of Systems: 5,Q1: 4,Q2: 4,Q3: 3,Q4: 3,Top10: 4
94,ОИВТ РАН,2009,Cpu: 9,Cores: 9,Nodes: 9,Memory: 9,Nets: 8,Linpack: 9,Peak: 9,GRPperCapita: 1,Num of Systems: 4,Q1: 3,Q2: 3,Q3: 5,Q4: 5,Top10: 2
95,ПНИПУ,2009,Cpu: 6,Cores: 5,Nodes: 6,Memory: 6,Nets: 7,Linpack: 6,Peak: 6,GRPperCapita: 6,Num of Systems: 4,Q1: 8,Q2: 7,Q3: 7,Q4: 9,Top10: 8
96,РГУ им. Губкина,2009,Cpu: 9,Cores: 10,Nodes: 9,Memory: 10,Nets: 1,Linpack: 10,Peak: 10,GRPperCapita: 1,Num of Systems: 3,Q1: 8,Q2: 6,Q3: 6,Q4: 6,Top10: 7
97,СПбГПУ,2009,Cpu: 6,Cores: 8,Nodes: 6,Memory: 6,Nets: 7,Linpack: 10,Peak: 10,GRPperCapita: 4,Num of Systems: 3,Q1: 3,Q2: 4,Q3: 3,Q4: 3,Top10: 3
98,СПбГУ,2009,Cpu: 8,Cores: 7,Nodes: 8,Memory: 8,Nets: 6,Linpack: 7,Peak: 7,GRPperCapita: 4,Num of Systems: 3,Q1: 1,Q2: 1,Q3: 1,Q4: 1,Top10: 1
