,Affiliation,Year,Q1,Q2,Q3,Q4,Top10
0,МГУ,2013,1555,865,1278,1841,1035
1,ЮУрГУ,2013,19,19,30,85,3
2,ИММ УРО РАН,2013,3,12,39,51,1
3,Курчатовский институт,2013,186,127,169,168,114
4,МФТИ,2013,356,193,239,231,251
5,ННГУ,2013,102,98,159,193,49
6,ТГУ,2013,93,58,191,135,59
7,ИПМ им. М.В.Келдыша РАН,2013,18,20,60,51,10
8,ИВМиМГ СО РАН,2013,11,5,11,40,6
9,ИДСТУ СО РАН,2013,2,5,10,17,2
10,СВФУ,2013,14,13,20,24,10
11,СПбГУ,2013,554,321,453,614,313
12,ФГУП ЦНИИ,2013,1,3,7,8,0
13,НГУ,2013,496,252,297,342,354
14,УГАТУ,2013,31,7,33,52,20
15,ЮФУ,2013,90,88,131,163,44
16,ВятГУ,2013,0,2,11,17,0
17,ПГНИУ,2013,38,25,35,80,21
