,Affiliation,Year,Cpu,Cores,Nodes,Memory,Nets,Linpack,Peak,GRPperCapita,Num of Systems,Q1,Q2,Q3,Q4,Top10
0,ИВМиМГ СО РАН,2015,80.0,2400.0,40.0,3932.16,10.0,38.21,85.69,370895.7,1,5,12,56,65,2
1,ИДСТУ СО РАН,2015,220.0,3520.0,110.0,7040.0,10.0,25.12,33.7,414986.5,1,7,15,25,25,1
2,ИММ УРО РАН,2015,92.0,6184.0,46.0,4521.984,20.0,109.88,225.85,421100.7,1,8,17,36,90,3
3,ИПА РАН,2015,80.0,1680.0,40.0,2560.0,56.25,85.34,106.91,650339.7,1,5,2,9,4,0
4,ИПМ им. М.В.Келдыша РАН,2015,128.0,3456.0,64.0,6144.0,32.0,41.14,107.9,1102496.4,1,35,53,66,102,6
5,Курчатовский институт,2015,4374.0,29162.0,899.0,56305.664000000004,97.25,570.02,792.37,1102496.4,4,316,221,228,192,133
6,МГУ,2015,14952.0,124588.0,8112.0,179768.288,68.75,2798.2200000000003,4336.08,1102496.4,3,1809,1242,1861,1929,872
7,МИСиС,2015,200.0,1600.0,100.0,4352.0,56.25,28.14,33.28,1102496.4,1,298,169,303,338,153
8,МФТИ,2015,448.0,3584.0,224.0,14336.0,10.0,70.12,83.15,437249.1,1,660,393,399,333,268
9,ННГУ,2015,360.0,30760.0,180.0,11796.480000000003,10.0,289.5,573.0,338304.4,1,275,260,387,260,100
10,СПбГПУ,2015,1680.0,35296.0,968.0,50432.0,112.5,828.61,1088.13,650339.7,2,404,323,480,444,193
11,ТГУ,2015,1280.0,5424.0,640.0,12091.392,10.0,47.88,62.35,438316.5,1,552,385,725,738,251
12,ФГУП ЦНИИ Крылова,2015,290.0,3610.0,145.0,9280.0,10.0,32.04,56.15,650339.7,1,2,0,13,14,0
13,ЮУрГУ,2015,2240.0,36864.0,384.0,9437.184000000001,70.0,388.54999999999995,591.28,345597.1,2,25,131,116,174,10
