,Affiliation,Year,Cpu,Cores,Nodes,Memory,Nets,Linpack,Peak,GRPperCapita,Num of Systems
0,ИГЭУ,2007,64.0,128.0,32.0,131.072,1.0,0.28,0.51,68865.7,1
1,ИСП РАН,2007,24.0,96.0,12.0,98.304,2.0,0.65,1.02,601146.9,1
2,КРСУ,2007,64.0,64.0,32.0,65.536,2.0,0.29,0.38,0.0,1
3,ЛИТ ОИЯИ,2007,120.0,240.0,60.0,491.52,1.0,1.12,2.55,188565.3,1
4,МГУ,2007,288.0,416.0,144.0,1237.504,25.0,1.71,2.11,2404587.6,1
5,МФТИ,2007,272.0,544.0,136.0,544.0,2.0,4.53,6.53,601146.9,1
6,НИИ БМХ РАМН,2007,64.0,128.0,32.0,131.072,2.5,0.5,0.67,601146.9,1
7,ННГУ,2007,128.0,256.0,64.0,0.25,1.0,1.34,2.72,140297.9,1
8,СВФУ,2007,34.0,34.0,17.0,139.264,2.5,0.28,0.33,253423.5,1
9,СПбГПУ,2007,130.0,260.0,65.0,532.48,2.5,1.04,1.25,235410.3,1
10,ТГУ,2007,564.0,1128.0,282.0,1155.0720000000001,10.0,9.01,12.0,209319.9,1
11,ТПУ,2007,48.0,96.0,24.0,196.608,10.0,0.79,1.02,209319.9,1
12,ЮУрГУ,2007,52.0,52.0,26.0,52.0,2.5,0.27,0.33,164797.5,1
