,Affiliation,Year,Q1,Q2,Q3,Q4,Top10
0,Московский государственный университет имени М.В.Ломоносова,2009,997,687,1164,2043,516
1,РНЦ Курчатовский институт,2009,127,111,115,198,74
2,Московский государственный университет имени М.В. Ломоносова,2009,997,687,1164,2043,516
3,УГАТУ,2009,16,8,22,39,15
4,Таганрогский Технологический Институт Южного Федерального Университета,2009,62,61,158,197,29
5,Вятский государственный университет,2009,0,0,3,11,0
6,СФУ,2009,37,36,69,89,14
7,Южно-Уральский государственный университет,2009,3,5,17,42,1
8,Томский государственный университет,2009,36,40,71,136,24
9,МФТИ,2009,86,62,79,127,45
10,Новосибирский государственный университет,2009,140,128,184,195,81
11,Московский государственный университет путей сообщения,2009,2,1,1,11,1
12,Владимирский государственный университет,2009,2,1,7,23,1
13,Российский Государственный Университет им. Иммануила Канта,2009,1,3,2,9,0
14,НИИ физической и органической химии ЮФУ,2009,62,61,158,197,29
15,ИВМиМГ СО РАН,2009,10,6,19,59,5
16,Пермский Государственный Технический Университет,2009,2,5,12,21,2
17,Лаборатория Информационных Технологий Объединенный Институт Ядерных Исследований,2009,390,203,213,322,197
18,ИПХФ РАН,2009,73,71,126,182,35
19,ИММ УРО РАН,2009,8,5,6,68,5
20,Санкт-Перербургский государственный университет,2009,323,238,299,522,167
21,МГТУ им. Н. Э.Баумана,2009,7,13,42,108,3
22,ИВМ РАН,2009,9,5,3,37,8
23,Кабардино-Балкарский государственный университет им. Х.М. Бербекова,2009,0,3,11,31,0
24,Казанский научный центр РАН,2009,3,4,11,27,2
25,Объединенный Институт Высоких Температур РАН,2009,82,65,59,92,46
26,Институт Прикладной Механики Российской Академии Наук,2009,2,0,2,1,1
27,Нижегородский государственный университет им. Н.И. Лобачевского,2009,54,52,81,166,27
28,РГУ им. Губкина,2009,2,6,27,53,2
29,СПбГПУ,2009,75,51,113,171,38
