N,Место,Кол-во CPU/ядер,Архитектура(тип процессора / сеть),Производительность Linpack Пиковая,Разработчик
1,Москва Московский государственный университет имени М.В.Ломоносова 2016 г.,1472/42688,узлов: 1472 (Xeon E5-2697v3 [Acc: Tesla K40M] 2.6 GHz 64 GB RAM) сеть: Infiniband FDR/Infiniband FDR/Gigabit Ethernet,2102.00 2962.30,Т-Платформы
2,Москва Московский государственный университет имени М.В.Ломоносова 2012 г.,12422/82468,узлов: 4160 (2xXeon 5570 2.93 GHz 12 GB RAM) узлов: 260 (2xXeon 5570 2.93 GHz 24 GB RAM) узлов: 640 (2xXeon 5670 2.93 GHz 24 GB RAM) узлов: 40 (2xXeon 5670 2.93 GHz 48 GB RAM) узлов: 30 (2xPowerXCell 8i 3.2 GHz 16 GB RAM) узлов: 777 (2xXeon E5630 [Acc: 2xTesla X2070] 2.53 GHz 12 GB RAM) узлов: 288 (2xXeon E5630 [Acc: 2xTesla X2070] 2.53 GHz 24 GB RAM) узлов: 4 (4xXeon E7650 2.26 GHz 512 GB RAM) сеть: Infiniband QDR/Gigabit Ethernet/Gigabit Ethernet,901.90 1700.21,Т-Платформы
3,Санкт-Петербург Суперкомпьютерный центр Санкт-Петербургский политехнический университет 2017 г.,1468/20552,узлов: 623 (2xXeon E5-2697v3 2.6 GHz 64 GB RAM) узлов: 56 (2xXeon E5-2697v3 [Acc: 2xTesla K40] 2.6 GHz 64 GB RAM) узлов: 36 (2xXeon E5-2697v3 2.6 GHz 128 GB RAM) узлов: 8 (2xXeon E5-2697v3 [Acc: NVIDIA K1] 2.6 GHz 128 GB RAM) узлов: 8 (2xXeon E5-2697v3 [Acc: NVIDIA K2] 2.6 GHz 128 GB RAM) узлов: 3 (2xXeon E5-2697v3 2.6 GHz 256 GB RAM) сеть: Infiniband FDR/Gigabit Ethernet/Gigabit Ethernet,715.94 1015.10,Группа компаний РСК
4,Москва МСЦ РАН 2016 г.,416/28704,узлов: 208 (2xXeon E5-2690 [Acc: 2x Xeon Phi 7110X] 2.9 GHz 80 GB RAM) сеть: Infiniband FDR/Gigabit Ethernet/Fast Ethernet,383.21 523.83,Группа компаний РСК
5,"Москва Суперкомпьютерный вычислительный комплекс НИЦ ""Курчатовский институт"" 2015 г.",296/10064,узлов: 148 (2xXeon E5-2650v2 [Acc: 2x Tesla K80] 2.6 GHz 128 GB RAM) сеть: Infiniband FDR/Gigabit Ethernet/Gigabit Ethernet,381.40 601.00,Т-Платформы
6,"Москва Центр обработки данных НИЦ ""Курчатовский институт"" 2015 г.",774/11082,узлов: 364 (2xXeon E5-2680v3 2.5 GHz 128 GB RAM) узлов: 23 (2xXeon E5-2680v3 [Acc: 3x Tesla K80] 2.5 GHz 128 GB RAM) сеть: Infiniband FDR/Gigabit Ethernet/Gigabit Ethernet,374.13 500.55,"SuperMicro, Борлас"
7,Нижний Новгород Нижегородский государственный университет им. Н.И. Лобачевского 2014 г.,360/30760,узлов: 100 (2xXeon E5-2660 [Acc: 3x Kepler K20X] 2.2 GHz 65.536 GB RAM) узлов: 50 (2xXeon E5-2660 [Acc: 2x Fermi 2090] 2.2 GHz 65.536 GB RAM) узлов: 10 (2xXeon E5-2660 [Acc: 2x Phi 5110P] 2.2 GHz 65.536 GB RAM) узлов: 10 (2xXeon E5-2660 [Acc: 3x Fermi 2090] 2.2 GHz 65.536 GB RAM) узлов: 10 (2xXeon E5-2660 2.2 GHz 65.536 GB RAM) сеть: Infiniband QDR/Infiniband QDR/Gigabit Ethernet,289.50 573.00,Ниагара Компьютерс
8,Челябинск Южно-Уральский государственный университет 2013 г.,768/28032,узлов: 384 (2xXeon X5680 [Acc: Xeon Phi SE10X] 3.33 GHz 24.576 GB RAM) сеть: Infiniband QDR/Infiniband QDR/Gigabit Ethernet,288.20 473.64,Группа компаний РСК
9,"Гатчина ОИВРТ НИЦ ""Курчатовский институт"" - ПИЯФ 2017 г.",496/9024,узлов: 160 (2xXeon E5-2680v4 2.4 GHz 128 GB RAM) узлов: 40 (Xeon Phi 7250 1.4 GHz 112 GB RAM) узлов: 30 (2xXeon E5-2680v4 2.4 GHz 256 GB RAM) узлов: 20 (2xXeon E5-2650v4 2.2 GHz 256 GB RAM) узлов: 16 (2xXeon E5-2680v4 2.4 GHz 1024 GB RAM) узлов: 2 (2xXeon E5-2680v4 2.4 GHz 1540 GB RAM) сеть: Infiniband EDR/Gigabit Ethernet/Gigabit Ethernet,200.44 362.38,"NP-IT, Ниагара компьютерс"
10,Санкт-Петербург Суперкомпьютерный центр Санкт-Петербургский политехнический университет 2017 г.,288/17280,узлов: 288 (Acc: Xeon Phi 5120D 1.053 GHz 8 GB RAM) сеть: Infiniband FDR/Infiniband FDR/Gigabit Ethernet,191.60 291.10,Группа компаний РСК
11,не указан IT Services Provider 2014 г.,1318/13180,узлы: (Xeon E5-2680v2 2.8 GHz) сеть: 10 Gigabit Ethernet,189.29 295.23,Hewlett-Packard
12,не указан IT Services Provider 2012 г.,2254/18032,узлы: (Xeon E5-2660 2.2 GHz) сеть: Gigabit Ethernet,160.90 317.40,Hewlett-Packard
13,Москва МСЦ РАН МСЦ РАН 2017 г.,260/3992,узлов: 42 (2xXeon E5-2697v3 2.6 GHz 128 GB RAM) узлов: 88 (2xXeon E5-2697Av4 2.6 GHz 128 GB RAM) сеть: OmniPath/Gigabit Ethernet/Gigabit Ethernet,130.23 166.62,Группа компаний РСК
14,Нижний Новгород Нижегородская лаборатория Intel 2016 г.,200/3600,узлов: 100 (2xXeon E5-2697v4 2.3 GHz 128 GB RAM) сеть: Infiniband FDR/Gigabit Ethernet/Gigabit Ethernet,119.98 132.48,Intel
15,Москва ФГБУН Межведомственный суперкомпьютерный центр Российская академия наук 2009 г.,2370/13004,узлов: 74 (2xXeon X5670 2.93 GHz 12.288 GB RAM) узлов: 192 (2xXeon 5365 3 GHz 8.192 GB RAM) узлов: 990 (2xXeon E5450 3 GHz 8.192 GB RAM) узлов: 19 (2xXeon X5675 [Acc: 8x Tesla M2090] 3 GHz 196.608 GB RAM) сеть: Infiniband 4x DDR/2xGigabit Ethernet/Gigabit Ethernet,119.93 227.84,Hewlett-Packard
16,Екатеринбург Вычислительный центр ИММ УрО РАН 2008 г.,92/6184,узлов: 20 (2xXeon X5675 [Acc: 8x Tesla M2050] 3.06 GHz 49.152 GB RAM) узлов: 10 (2xXeon X5675 [Acc: 8x Tesla M2090] 3.06 GHz 196.608 GB RAM) узлов: 16 (2xXeon E5-2660 [Acc: 8x Tesla M2090] 2.2 GHz 98.304 GB RAM) сеть: Infiniband 4x DDR/Gigabit Ethernet/Gigabit Ethernet,109.88 225.85,"Hewlett Packard, Открытые технологии"
