N,Место,Кол-во CPU/ядер,Архитектура(тип процессора / сеть),Производительность Linpack Пиковая,Разработчик
17,Москва РНЦ Курчатовский институт 2010 г.,2576/10304,узлы: (Xeon E5472 3 GHz) сеть: Infiniband 4x DDR/Gigabit Ethernet/Gigabit Ethernet,101.21 123.65,Hewlett-Packard
18,Челябинск Южно-Уральский государственный университет 2010 г.,1472/8832,"СКИФ ряд 4 Xeon X5680 3.33 GHz Трехмерный тор 60 Gbits, макс. задержка 1 мкс, InfiniBand QDR 40 Gbits",100.35 117.64,Группа компаний РСК
19,Москва Промышленный сектор 2016 г.,204/2808,узлов: 90 (2xXeon E5-2697v3 2.6 GHz 128 GB RAM) узлов: 6 (4xXeon E7-4830v3 2.1 GHz 512 GB RAM) сеть: Infiniband EDR/Gigabit Ethernet/Gigabit Ethernet,97.32 114.51,"Т-Платформы, Ай-Теко"
20,Москва Т-Нано 2013 г.,640/5564,узлов: 70 (2xXeon E5-2670 2.6 GHz 128 GB RAM) узлов: 25 (2xXeon E5-2670 2.6 GHz 64 GB RAM) узлов: 50 (2xXeon E5-2680v2 2.8 GHz 128 GB RAM) узлов: 61 (2xXeon E5-2670v2 2.5 GHz 128 GB RAM) узлов: 114 (2xXeon E5-2650v2 2.6 GHz 128 GB RAM) сеть: Infiniband FDR/Gigabit Ethernet/Gigabit Ethernet,93.14 116.36,Т-Платформы
21,Санкт-Петербург Институт прикладной астрономии РАН 2014 г.,80/1680,узлов: 32 (2xXeon E5-2670 [Acc: 2x Tesla K20] 2.6 GHz 64 GB RAM) узлов: 8 (2xXeon E5-2670 [Acc: 2x Tesla K20] 2.6 GHz 64 GB RAM) сеть: Infiniband FDR/Gigabit Ethernet/Gigabit Ethernet,85.34 106.91,Т-Платформы
22,не указан IT Services Provider 2012 г.,956/7648,узлы: (Xeon E5-2670 2.6 GHz) сеть: Gigabit Ethernet,83.81 159.08,Hewlett-Packard
23,"Томск Межрегиональный супервычислительный центр ТГУ ""Томский государственный университет"" 2015 г.",1330/6384,узлов: 282 (2xXeon 5150 2.66 GHz 8 GB RAM) узлов: 230 (2xXeon 5670 2.93 GHz 48 GB RAM) узлов: 128 (2xXeon 5670 2.93 GHz 24 GB RAM) узлов: 20 (2xXeon E5-2695v3 2.3 GHz 256 GB RAM) узлов: 5 (2xXeon E5-2695v3 [Acc: 2x Tesla K80] 2.3 GHz 256 GB RAM) сеть: Infiniband QDR/Gigabit Ethernet/Gigabit Ethernet,78.29 106.82,Т-Платформы
24,"Москва ООО ""Технологическая компания Шлюмберже"" 2015 г.",104/2472,узлов: 16 (2xXeon X5560 [Acc: 1x Tesla S2050] 2.8 GHz 24 GB RAM) узлов: 20 (2xXeon E5-2620 [Acc: 3x Tesla K20X] 2 GHz 64 GB RAM) узлов: 16 (2xXeon E5-2670v2 [Acc: 3x Tesla K40] 2.5 GHz 96 GB RAM) сеть: Infiniband FDR/Gigabit Ethernet/Gigabit Ethernet,78.12 150.24,Hewlett Packard
25,Москва PetroTrace 2017 г.,320/3840,узлов: 64 (2xXeon E5-2680 2.7 GHz 256 GB RAM) узлов: 32 (2xXeon E5-2698v3 2.3 GHz 256 GB RAM) узлов: 32 (2xXeon E5-2680v2 2.8 GHz 256 GB RAM) узлов: 32 (2xXeon E5-2643v3 3.4 GHz 384 GB RAM) узлов: 32 (2xXeon E5-2698v4 2.2 GHz 512 GB RAM) сеть: 10 Gigabit Ethernet/10 Gigabit Ethernet/10 Gigabit Ethernet,70.32 129.02,Hewlett-Packard
26,Долгопрудный Лаборатория iScalare Московский физико-технический институт государственный университет 2012 г.,448/3584,узлов: 224 (2xXeon E5-2690 2.9 GHz 64 GB RAM) сеть: Infiniband QDR/Gigabit Ethernet,70.12 83.15,Группа компаний РСК
27,"Москва НИЦ ""Курчатовский институт"" 2012 г.",160/4320,узлов: 76 (2xXeon X5650 [Acc: 3xTesla M2070] 2.67 GHz 24 GB RAM) узлов: 4 (2xXeon X5670 [Acc: 3x Tesla M2050] 2.93 GHz 24 GB RAM) сеть: Gigabit Ethernet/Infiniband QDR/Fast Ethernet,69.60 133.90,Hewlett-Packard
28,Иркутск ИДСТУ СО РАН 2017 г.,120/2160,узлов: 60 (2xXeon E5-2695v4 2.1 GHz 128 GB RAM) сеть: Infiniband QDR/Gigabit Ethernet/Gigabit Ethernet,60.13 72.58,Ниагара Компьютерс
29,не указан Web Content Provider,2004/12024,узлов: 1002 (2xXeon E5645 2.4 GHz) сеть: Gigabit Ethernet,59.90 115.43,Hewlett-Packard
30,Пермь Промышленность 2015 г.,556/4420,узлов: 167 (2xXeon E5-2680 2.7 GHz 32 GB RAM) узлов: 24 (2xXeon E5-2690v2 3 GHz 64 GB RAM) узлов: 12 (2xXeon E5-2660v3 2.6 GHz 64 GB RAM) узлов: 21 (2xOpteron 2435 2.6 GHz 32 GB RAM) узлов: 54 (2xXeon X5670 2.93 GHz 24 GB RAM) узлов: 54 ([Acc: 4x Tesla M2090] 24 GB RAM) сеть: Infiniband QDR/Gigabit Ethernet/Gigabit Ethernet,56.84 70.24,IBM/Lenovo
31,Москва ЛНСиГО МФТИ 2017 г.,4/976,узлов: 2 (2xXeon E5-2698v4 [Acc: 8x Tesla P100] 2.2 GHz 512 GB RAM) сеть: Infiniband EDR/10 Gigabit Ethernet Copper/Fast Ethernet,56.58 87.68,NVIDIA
32,Москва Сколковский Институт Науки и Технологий 2017 г.,4/976,узлов: 2 (2xXeon E5-2698v4 [Acc: 8x Tesla P100] 2.2 GHz 512 GB RAM) сеть: Infiniband EDR/10 Gigabit Ethernet Optical/Fast Ethernet,56.58 87.68,NVIDIA
33,Москва Межведомственный Суперкомпьютерный Центр Россйиской Академии Наук 2014 г.,64/3904,узлов: 64 (Acc: Xeon Phi 7120D 1.238 GHz 2 GB RAM) сеть: Infiniband FDR/Infiniband FDR/Gigabit Ethernet,53.51 77.33,Группа компаний РСК
34,Новосибирск Сибирский суперкомпьютерный центр ИВМиМГ СО РАН2017 г.,56/1792,узлов: 16 (Xeon Phi 7290 1.5 GHz 96 GB RAM) узлов: 20 (2xXeon E5-2697Av4 2.6 GHz 128 GB RAM) сеть: OmniPath/Gigabit Ethernet/Fast Ethernet,50.50 75.34,Группа компаний РСК
35,"Тюмень ООО ""ИНГЕОСЕРВИС"" 2014 г.",452/4584,узлов: 16 (2xXeon E5-2670 2.6 GHz 72 GB RAM) узлов: 8 (2xXeon E5-2695v2 2.4 GHz 128 GB RAM) узлов: 48 (2xXeon E5-2695v2 2.4 GHz 256 GB RAM) узлов: 70 (2xXeon E5-2660v2 2.2 GHz 192 GB RAM) узлов: 64 (2xXeon E5-2670 2.6 GHz 64 GB RAM) узлов: 20 (2xXeon E5-2690v4 2.6 GHz 512 GB RAM) сеть: Infiniband FDR/10 Gigabit Ethernet/Gigabit Ethernet,50.34 88.70,"Hewlett-Packard, Dell, Sky Technics Group"
36,Москва Государственный сектор 2011 г.,1462/8772,узлы: (Xeon X5630 2.53 GHz) сеть: Gigabit Ethernet,49.43 88.77,IBM
37,Москва МСЦ РАН МСЦ РАН 2017 г.,22/1584,узлов: 22 (Xeon Phi 7290 1.5 GHz 96 GB RAM) сеть: OmniPath/Gigabit Ethernet/Gigabit Ethernet,47.83 76.03,Группа компаний РСК
38,Москва Московский государственный университет имени М.В.Ломоносова 2008 г.,1250/5000,узлов: 529 (2xXeon E5472 3 GHz 8.192 GB RAM) узлов: 64 (2xXeon E5472 3 GHz 8.192 GB RAM) узлов: 32 (2xXeon E5472 3 GHz 16.384 GB RAM) узлов: 8 (2xXeon E5472 3 GHz 32.768 GB RAM) сеть: InfiniBand/Gigabit Ethernet/СКИФ-ServNet + IPMI,47.32 60.00,СКИФ
39,"Москва ПАО ТМКБ ""Союз"" 2017 г.",90/1440,узлов: 45 (2xXeon E5-2697Av4 2.6 GHz 256 GB RAM) сеть: OmniPath/10 Gigabit Ethernet/I2C-IPMI,45.82 59.90,Нэтберг
40,Москва Государственный сектор 2011 г.,1346/8076,узлы: (Xeon X5630 2.53 GHz) сеть: Gigabit Ethernet,45.51 81.73,IBM
41,Москва Банковский сектор 2011 г.,1320/7920,узлы: (Xeon X5630 2.53 GHz) сеть: Gigabit Ethernet,44.63 80.15,IBM
42,Москва Банковский сектор 2011 г.,1320/7920,узлы: (Xeon X5630 2.53 GHz) сеть: Gigabit Ethernet,44.63 80.15,IBM
43,Владивосток ЦКП ДВВР ИАПУ ДВО РАН 2017 г.,80/1600,узлов: 40 (2xXeon E5-2698v4 2.2 GHz 256 GB RAM) сеть: OmniPath/Infiniband FDR/Gigabit Ethernet,42.58 56.30,iRU
44,Москва Промышленность 2014 г.,230/2300,узлов: 115 (2xXeon E5-2680v2 2.8 GHz 128 GB RAM) сеть: Infiniband FDR/Gigabit Ethernet/Gigabit Ethernet,41.63 51.52,IBM
45,Москва ИПМ им. М.В.Келдыша РАН 2010 г.,128/3456,"узлов: 64 (2xXeon X5670 [Acc: 3xTesla C2050] 2.93 GHz 96 GB RAM) сеть: ""МВС-экспресс""/InfiniBand/Gigabit Ethernet",41.14 107.90,"ИПМ им. М.В.Келдыша РАН, ООО НПО ""Роста"", ФГУП ""НИИ ""КВАНТ"""
46,Хабаровск Вычислительный центр ДВО РАН 2017 г.,10/660,узлов: 5 (2xPOWER8 [Acc: 2x Tesla P100] 3.492 GHz 256 GB RAM) сеть: InfiniBand EDR/Gigabit Ethernet/Gigabit Ethernet,40.39 55.84,Ситоника
47,"Волгоград Факультет электроники и вычислительной техники ФГБОУ ВО ""Волгоградский государственный технический университет"" 2017 г.",40/2672,узлов: 11 (2xXeon E5-2650v3 [Acc: 2x Xeon Phi 31S1P] 2.3 GHz 128 GB RAM) узлов: 2 (2xXeon E5-2660 [Acc: 2x Phi 5110P] 2.2 GHz 128 GB RAM) узлов: 3 (2xXeon E5-2650v4 [Acc: 2x Xeon Phi 31S1P] 2.2 GHz 256 GB RAM) узлов: 8 (Xeon Phi 7210 1.3 GHz 196 GB RAM) сеть: Infiniband FDR/Infiniband FDR/Gigabit Ethernet,39.44 60.20,"ВолгГТУ, Ниагара компьютерс, Группа компаний РСК"
48,"Москва Национальный исследовательский технологический университет ""МИСиС"" 2017 г.",244/2128,узлов: 56 (2xXeon E5-2670 2.6 GHz 32 GB RAM) узлов: 8 (2xXeon E5-2670 2.6 GHz 128 GB RAM) узлов: 32 (2xXeon E5-2650v2 2.6 GHz 32 GB RAM) узлов: 4 (2xXeon E5-2650v2 2.6 GHz 128 GB RAM) узлов: 22 (2xXeon E5-2650v4 2.2 GHz 64 GB RAM) сеть: Infiniband FDR/Gigabit Ethernet/Gigabit Ethernet,38.55 48.49,Hewlett Packard Enterprise
49,Новосибирск ССКЦ ИВМиМГ СО РАН 2011 г.,80/2400,узлов: 40 (2xXeon X5670 [Acc: 3xTesla M2090] 3.07 GHz 98.304 GB RAM) сеть: Infiniband QDR/Gigabit Ethernet/Gigabit Ethernet,38.21 85.69,"Hewlett-Packard, Нонолет"
50,Москва Банковский сектор 2009 г.,1650/6600,узлы: (Xeon E5540 2.53 GHz) сеть: Gigabit Ethernet,38.10 66.79,IBM
