,Affiliation,Year,Cpu,Cores,Nodes,Memory,Nets,Linpack,Peak,GRPperCapita,Num of Systems,Q1,Q2,Q3,Q4,Top10
0,БФУ имени И. Канта,2009,136.0,544.0,68.0,557.056,2.5,3.75,5.07,180797.2,1,1,3,2,9,0
1,ВлГУ,2009,140.0,620.0,70.0,561.152,20.0,3.76,4.77,127815.1,1,2,1,7,23,1
2,ВятГУ,2009,480.0,1920.0,240.0,983.04,20.0,13.96,17.89,107680.4,1,0,0,3,11,0
3,ИВМ РАН,2009,46.0,184.0,23.0,196.608,20.0,1.51,1.98,628930.3,1,9,5,3,37,8
4,ИВМиМГ СО РАН,2009,100.0,400.0,50.0,819.2,20.0,3.41,4.8,160210.4,1,10,6,19,59,5
5,ИММ УРО РАН,2009,64.0,256.0,32.0,512.0,20.0,2.21,3.0,191415.0,1,8,5,6,68,5
6,ИПРИМ РАН,2009,48.0,192.0,24.0,192.0,2.5,1.34,1.79,628930.3,1,2,0,2,1,1
7,ИПХФ РАН,2009,504.0,504.0,252.0,516.096,2.0,2.92,4.44,217339.7,1,73,71,126,182,35
8,КБГУ,2009,44.0,176.0,22.0,180.224,20.0,1.47,1.9,76451.1,1,0,3,11,31,0
9,КазНЦ РАН,2009,252.0,252.0,126.0,516.096,2.0,1.47,2.22,234206.4,1,3,4,11,27,2
10,Курчатовский институт,2009,864.0,3456.0,432.0,4849.664000000001,20.0,25.08,34.27,628930.3,1,127,111,115,198,74
11,ЛИТ ОИЯИ,2009,200.0,560.0,100.0,1120.0,1.0,2.98,6.07,217339.7,1,390,203,213,322,197
12,МГТУ им. Н. Э.Баумана,2009,206.0,412.0,103.0,421.88800000000003,2.5,2.13,3.07,628930.3,1,7,13,42,108,3
13,МГУ,2009,3298.0,13192.0,633.0,5644.2880000000005,12.5,70.53999999999999,87.6,628930.3,2,997,687,1164,2043,516
14,МГУПС,2009,128.0,512.0,64.0,1048.576,20.0,3.89,4.71,628930.3,1,2,1,1,11,1
15,МФТИ,2009,272.0,544.0,136.0,544.0,2.0,4.53,6.53,628930.3,1,86,62,79,127,45
16,НГУ,2009,128.0,512.0,64.0,1048.576,20.0,4.09,5.45,160210.4,1,140,128,184,195,81
17,ННГУ,2009,128.0,256.0,64.0,0.25,1.0,1.34,2.72,164071.8,1,54,52,81,166,27
18,ОИВТ РАН,2009,48.0,192.0,24.0,192.0,2.5,1.4,1.79,628930.3,1,82,65,59,92,46
19,ПНИПУ,2009,128.0,512.0,64.0,524.288,2.5,3.17,4.1,203364.2,1,2,5,12,21,2
20,РГУ им. Губкина,2009,84.0,168.0,42.0,86.016,20.0,1.09,1.57,628930.3,1,2,6,27,53,2
21,СПбГПУ,2009,130.0,260.0,65.0,532.48,2.5,1.04,1.25,306454.8,1,75,51,113,171,38
22,СПбГУ,2009,96.0,384.0,48.0,192.0,2.5,2.17,3.07,306454.8,1,323,238,299,522,167
23,СФУ,2009,452.0,1808.0,226.0,0.0,2.5,13.06,16.87,264478.7,1,37,36,69,89,14
24,ТГУ,2009,564.0,1128.0,282.0,1155.0720000000001,10.0,9.01,12.0,237293.3,1,36,40,71,136,24
25,УГАТУ,2009,532.0,2128.0,266.0,2179.072,2.5,15.33,19.86,159428.7,1,16,8,22,39,15
26,ЮУрГУ,2009,332.0,1328.0,166.0,1359.872,2.5,12.36,15.94,159901.0,1,3,5,17,42,1
27,ЮФУ,2009,618.0,2472.0,181.0,4920.0,22.5,18.06,23.64,129626.0,2,62,61,158,197,29
