,Affiliation,Year,Q1,Q2,Q3,Q4,Top10
0,МГУ,2009,997,687,1164,2043,516
1,Курчатовский институт,2009,127,111,115,198,74
2,УГАТУ,2009,16,8,22,39,15
3,ЮФУ,2009,62,61,158,197,29
4,ВятГУ,2009,0,0,3,11,0
5,СФУ,2009,37,36,69,89,14
6,ЮУрГУ,2009,3,5,17,42,1
7,ТГУ,2009,36,40,71,136,24
8,МФТИ,2009,86,62,79,127,45
9,НГУ,2009,140,128,184,195,81
10,МГУПС,2009,2,1,1,11,1
11,ВлГУ,2009,2,1,7,23,1
12,БФУ имени И. Канта,2009,1,3,2,9,0
13,ИВМиМГ СО РАН,2009,10,6,19,59,5
14,ПНИПУ,2009,2,5,12,21,2
15,ЛИТ ОИЯИ,2009,390,203,213,322,197
16,ИПХФ РАН,2009,73,71,126,182,35
17,ИММ УРО РАН,2009,8,5,6,68,5
18,СПбГУ,2009,323,238,299,522,167
19,МГТУ им. Н. Э.Баумана,2009,7,13,42,108,3
20,ИВМ РАН,2009,9,5,3,37,8
21,КБГУ,2009,0,3,11,31,0
22,КазНЦ РАН,2009,3,4,11,27,2
23,ОИВТ РАН,2009,82,65,59,92,46
24,ИПРИМ РАН,2009,2,0,2,1,1
25,ННГУ,2009,54,52,81,166,27
26,РГУ им. Губкина,2009,2,6,27,53,2
27,СПбГПУ,2009,75,51,113,171,38
