,Affiliation,Year,Q1,Q2,Q3,Q4,Top10
0,Московский государственный университет имени М.В.Ломоносова,2018,2199,1515,1924,1609,1152
1,"НИЦ ""Курчатовский институт""",2018,437,266,275,237,269
2,Санкт-Петербургский политехнический университет,2018,372,200,403,478,259
3,Сколковский Институт Науки и Технологий,2018,367,164,99,61,234
4,Нижегородский государственный университет им. Н.И. Лобачевского,2018,227,207,255,228,90
5,Южно-Уральский государственный университет,2018,146,84,141,208,83
6,ЛИТ ОИЯИ,2018,629,238,199,395,487
7,ИММ УРО РАН,2018,15,31,80,50,5
8,РНЦ Курчатовский институт,2018,437,266,275,237,269
9,Институт прикладной астрономии РАН,2018,8,4,15,1,2
10,ТГУ,2018,610,356,403,381,391
11,ИДСТУ СО РАН,2018,14,20,25,36,6
12,Московский физико-технический институт,2018,790,446,470,465,520
13,ИВМиМГ СО РАН,2018,12,22,38,42,4
14,МФТИ,2018,790,446,470,465,520
15,ОИВТ РАН,2018,89,139,149,177,38
