,Affiliation,Year,Q1,Q2,Q3,Q4,Top10
0,Московский государственный университет имени М.В.Ломоносова,2013,1555,865,1278,1841,1035
1,Южно-Уральский государственный университет,2013,19,19,30,85,3
2,ИММ УРО РАН,2013,3,12,39,51,1
3,РНЦ Курчатовский институт,2013,186,127,169,168,114
4,Московский физико-технический институт,2013,356,193,239,231,251
5,"НИЦ ""Курчатовский институт""",2013,186,127,169,168,114
6,Нижегородский государственный университет им. Н.И. Лобачевского,2013,102,98,159,193,49
7,ТГУ,2013,93,58,191,135,59
8,ИПМ им. М.В.Келдыша РАН,2013,18,20,60,51,10
9,ИВМиМГ СО РАН,2013,11,5,11,40,6
10,ИДСТУ СО РАН,2013,2,5,10,17,2
11,МГУ,2013,1555,865,1278,1841,1035
12,ССКЦ ИВМиМГ,2013,11,5,11,40,6
13,Северо-Восточный федеральный университет имени М.К.Аммосова,2013,14,13,20,24,10
14,СПбГУ,2013,554,321,453,614,313
15,ФГУП ЦНИИ,2013,1,3,7,8,0
16,Новосибирский государственный университет,2013,496,252,297,342,354
17,Уфимский государственный авиационный технический университет,2013,31,7,33,52,20
18,Таганрогский Технологический Институт Южного Федерального Университета,2013,90,88,131,163,44
19,Вятский государственный университет,2013,0,2,11,17,0
20,Пермский государственный национальный исследовательский университет,2013,38,25,35,80,21
