,Affiliation,Year,Q1,Q2,Q3,Q4,Top10
0,МГУ,2010,998,644,1191,2074,530
1,Курчатовский институт,2010,131,109,123,185,81
2,ЮУрГУ,2010,3,2,26,71,3
3,УГАТУ,2010,20,19,29,35,10
4,ИММ УРО РАН,2010,5,7,6,101,1
5,ЮФУ,2010,60,47,94,162,30
6,ВятГУ,2010,0,1,3,9,0
7,СФУ,2010,42,46,77,87,20
8,ТГУ,2010,41,46,79,146,26
9,СГАУ,2010,13,10,42,93,10
10,КазНЦ РАН,2010,2,5,15,23,0
11,МФТИ,2010,90,76,160,181,45
12,ИВМиМГ СО РАН,2010,9,9,22,55,4
13,НГУ,2010,180,137,221,250,114
14,МГУПС,2010,1,3,2,8,1
15,ВлГУ,2010,1,1,14,34,0
16,БФУ имени И. Канта,2010,1,1,4,3,0
17,ЦИАМ им. П.И. Баранова,2010,5,5,7,13,2
18,ПНИПУ,2010,2,6,8,39,1
19,МАИ,2010,2,11,35,77,1
20,ЛИТ ОИЯИ,2010,408,158,238,288,208
21,ТГУ,2010,25,26,76,109,8
22,ИПХФ РАН,2010,61,62,141,171,34
23,ФГУП НИИР,2010,0,0,0,0,0
