,Affiliation,Year,Cpu,Cores,Nodes,Memory,Nets,Linpack,Peak,GRPperCapita,Num of Systems,Q1,Q2,Q3,Q4,Top10
0,ВолгГТУ,2017,40.0,2672.0,24.0,4000.0,56.25,39.44,60.2,0.0,1,10,49,134,195,6
1,ИАПУ ДВО РАН,2017,80.0,1600.0,40.0,10240.0,100.0,42.58,56.3,0.0,1,24,15,49,72,15
2,ИВМиМГ СО РАН,2017,136.0,4192.0,76.0,8028.16,110.0,88.71000000000001,161.03,0.0,2,11,29,55,66,6
3,ИДСТУ СО РАН,2017,120.0,2160.0,60.0,7680.0,10.0,60.13,72.58,0.0,1,9,24,36,41,5
4,ИММ УРО РАН,2017,92.0,6184.0,46.0,4521.984,20.0,109.88,225.85,0.0,1,11,25,124,110,2
5,ИПА РАН,2017,80.0,1680.0,40.0,2560.0,56.25,85.34,106.91,0.0,1,1,5,7,4,1
6,ИПМ им. М.В.Келдыша РАН,2017,128.0,3456.0,64.0,6144.0,32.0,41.14,107.9,0.0,1,40,56,108,139,16
7,Курчатовский институт,2017,4302.0,44794.0,883.0,127624.0,236.625,1126.78,1721.48,0.0,5,382,269,358,353,226
8,МГУ,2017,15144.0,130156.0,8304.0,192056.288,68.75,3051.2200000000003,4722.51,0.0,3,2041,1414,2322,2177,1138
9,МИСиС,2017,244.0,2128.0,122.0,5760.0,56.25,38.55,48.49,0.0,1,439,214,382,311,245
10,МФТИ,2017,452.0,4560.0,226.0,15360.0,113.125,126.7,170.83,0.0,2,695,414,511,458,472
11,ННГУ,2017,360.0,30760.0,180.0,11796.480000000003,10.0,289.5,573.0,0.0,1,160,202,403,341,81
12,СПбГПУ,2017,1756.0,37832.0,1022.0,53184.0,112.5,907.5400000000001,1306.2,0.0,2,414,291,553,529,269
13,Сколтех,2017,4.0,976.0,2.0,1024.0,103.125,56.58,87.68,0.0,1,249,102,87,69,169
14,ТГУ,2017,1330.0,6384.0,665.0,22768.0,10.0,78.29,106.82,0.0,1,537,351,537,663,364
15,ЮУрГУ,2017,2240.0,36864.0,384.0,9437.184000000001,70.0,388.54999999999995,591.28,0.0,2,93,166,243,191,57
