N,Место,Кол-во CPU/ядер,Архитектура(тип процессора / сеть),Производительность Linpack Пиковая,Разработчик
1,Москва Московский государственный университет имени М.В.Ломоносова 2009 г.,8840/35360,узлов: 4160 (2xXeon X5570 2.933 GHz 12.28 GB RAM) узлов: 260 (2xXeon X5570 2.933 GHz 24.576 GB RAM) сеть: Infiniband QDR/Infiniband QDR/Fast Ethernet,350.10 414.42,Т-Платформы
2,Москва РНЦ Курчатовский институт 2010 г.,2576/10304,узлы: (Xeon E5472 3 GHz) сеть: Infiniband 4x DDR/Gigabit Ethernet/Gigabit Ethernet,101.21 123.65,Hewlett-Packard
3,Москва Межведомственный суперкомьютерный центр Российская академия наук 2009 г.,2556/10224,узлов: 288 (2xXeon 5365 3 GHz 8.192 GB RAM) узлов: 990 (2xXeon E5450 3 GHz 8.192 GB RAM) сеть: Infiniband 4x DDR/2xGigabit Ethernet/Gigabit Ethernet,94.05 122.69,Hewlett-Packard
4,Москва Московский государственный университет имени М.В.Ломоносова 2008 г.,1250/5000,узлов: 529 (2xXeon E5472 3 GHz 8.192 GB RAM) узлов: 64 (2xXeon E5472 3 GHz 8.192 GB RAM) узлов: 32 (2xXeon E5472 3 GHz 16.384 GB RAM) узлов: 8 (2xXeon E5472 3 GHz 32.768 GB RAM) сеть: InfiniBand/Gigabit Ethernet/СКИФ-ServNet + IPMI,47.32 60.00,СКИФ
5,Москва Банковский сектор 2009 г.,1650/6600,узлы: (Xeon E5540 2.53 GHz) сеть: Gigabit Ethernet,38.10 66.79,IBM
6,Москва Государственный сектор 2009 г.,1414/5656,узлы: (Xeon E5540 2.53 GHz) сеть: Gigabit Ethernet,32.65 57.24,IBM
7,Москва Государственный сектор 2010 г.,1272/5088,узлы: (Xeon E5540 2.53 GHz) сеть: Gigabit Ethernet,29.37 51.49,IBM
8,Москва Телекоммуникационная компания 2010 г.,1252/5008,узлы: (Xeon E5540 2.53 GHz) сеть: Gigabit Ethernet,28.91 50.68,IBM
9,Москва Государственный сектор 2010 г.,1216/4864,узлы: (Xeon E5540 2.53 GHz) сеть: Gigabit Ethernet,28.08 49.22,IBM
10,Москва Classified 2010 г.,1152/4608,узлы: (Xeon E5540 2.53 GHz) сеть: Gigabit Ethernet,26.60 46.63,IBM
11,Москва РНЦ Курчатовский институт 2008 г.,864/3456,узлов: 32 (2xXeon 5365 3 GHz 32.768 GB RAM) узлов: 64 (2xXeon 5365 3 GHz 16.384 GB RAM) узлов: 336 (2xXeon 5345 2.333 GHz 8.192 GB RAM) сеть: Infiniband 4x DDR/Gigabit Ethernet/Gigabit Ethernet,25.08 34.27,Hewlett-Packard
12,Москва Факультет Вычислительной математики и кибернетики МГУ имени М.В.Ломоносова 2008 г.,2048/8192,Blue Gene/P IBM Power PC 850 MHz BlueGene/P proprietary,23.86 27.85,IBM
13,Челябинск Суперкомпьютерный центр Южно-Уральский государственный университет 2009 г.,512/2048,"СКИФ ряд 4 Intel Xeon X5570 2.93 GHz Трехмерный тор 60 Gbits, макс. задержка 1 мкс InfiniBand QDR 40 Gbits",21.86 24.00,РСК СКИФ
14,Уфа УГАТУ 2007 г.,532/2128,узлов: 266 (2xXeon 5345 2.333 GHz 8.192 GB RAM) сеть: InfiniBand/Gigabit Ethernet/Gigabit Ethernet,15.33 19.86,АйТи/IBM
15,Екатеринбург Отдел вычислительной техники Институт математики и механики УрО РАН 2009 г.,416/1664,узлов: 192 (2xXeon E5450 3 GHz 16 GB RAM) узлов: 16 (2xXeon E5450 3 GHz 32 GB RAM) сеть: Infiniband 4x DDR/Gigabit Ethernet/Gigabit Ethernet,14.62 19.50,Hewlett Packard
16,Таганрог РОЦ НИТ Таганрогский Технологический Институт Южного Федерального Университета 2008 г.,518/2072,узлов: 128 (4xOpteron 8356 2.3 GHz 32 GB RAM) узлов: 2 (2xOpteron 2356 2.3 GHz 8 GB RAM) узлов: 1 (2xXeon E5430 2.66 GHz 8 GB RAM) сеть: Infiniband 4x DDR/Gigabit Ethernet/Gigabit Ethernet,14.51 18.84,Hewlett Packard / КРОК
17,"Киров ""Междисциплинарный центр компетенций в области аэробиологии, микробиологии и нанотехнологий"" ГОУ ВПО ""Вятский государственный университет"" 2008 г.",480/1920,узлов: 240 (2xXeon 5345 2.33 GHz 4.096 GB RAM) сеть: Infiniband 4x DDR/2xGigabit Ethernet/Gigabit Ethernet,13.96 17.89,Hewlett-Packard
18,Москва Росгидромет 2008 г.,354/1416,узлы: (Xeon E5440 2.83 GHz) сеть: Infiniband 4x DDR,13.68 16.03,SGI
19,Красноярск СФУ 2007 г.,452/1808,узлов: 226 (2xXeon 53xx 2.333 GHz) сеть: InfiniBand/Gigabit Ethernet/Gigabit Ethernet,13.06 16.87,IBM
20,Челябинск Южно-Уральский государственный университет 2008 г.,332/1328,узлов: 166 (2xXeon E5472 3 GHz 8.192 GB RAM) сеть: InfiniBand/Gigabit Ethernet/СКИФ-ServNet,12.36 15.94,Т-Платформы
21,Рыбинск НПО Сатурн 2008 г.,336/1344,узлов: 168 (2xXeon 5355 2.66 GHz 8.192 GB RAM) узлов: 3 (2xXeon 7350 2.86 GHz 131.072 GB RAM) сеть: Infiniband 4x DDR/Gigabit Ethernet/Gigabit Ethernet,10.60 14.30,IBM/Крок
22,Москва Росгидромет 2008 г.,832/1664,узлы: (Itanium 2 1.66 GHz) сеть: NUMALink,10.29 11.05,SGI
